Id,modularity_class
36|9,4
12|,5
11|25,0
36|,0
13|11,0
37|,0
16|12,5
5|16,1
36|18,5
7|,3
18|31,2
7|18,2
36|19,5
20|36,3
12|27,8
16|36,0
12|29,2
1|,2
18|36,0
25|18,4
36|25,5
25|6,0
17|12,6
32|17,6
12|17,6
36|17,6
21|36,0
12|31,3
29|,2
25|,3
18|,4
15|36,5
36|15,5
0|15,5
21|15,5
12|18,4
12|8,5
13|36,0
12|32,6
11|13,0
25|11,0
12|11,0
11|9,4
15|0,5
17|25,6
6|12,0
19|6,0
36|6,5
20|6,7
3|,8
27|3,8
25|3,8
12|3,8
24|3,3
36|3,8
6|36,0
23|,1
5|23,1
16|23,1
24|27,8
34|22,10
28|34,10
0|12,5
36|0,5
12|0,5
21|,5
29|36,2
31|25,3
22|34,10
28|,10
11|,0
0|,5
2|36,9
26|,9
32|25,3
17|32,3
34|,10
36|34,5
12|34,0
25|34,0
36|8,5
20|19,3
6|20,3
26|36,9
33|,9
4|12,11
12|4,11
10|4,11
30|4,11
12|2,9
26|12,9
19|,3
12|19,0
6|19,7
12|6,0
0|25,5
25|7,0
12|25,0
10|36,11
30|,11
18|7,3
31|7,3
12|7,3
22|36,10
12|20,7
20|,7
12|16,1
10|25,3
12|28,10
19|36,0
15|25,5
16|37,0
2|,9
36|2,9
25|2,9
33|2,9
0|21,5
12|21,5
23|25,1
19|9,4
24|12,8
27|,8
36|24,8
30|12,11
4|,11
10|30,11
36|32,5
17|36,0
22|25,3
24|,8
0|36,5
16|,1
31|,2
10|,11
15|,5
13|,0
3|24,8
22|28,10
29|1,2
36|29,5
25|27,8
23|5,1
32|,6
25|29,2
1|25,2
2|26,9
12|26,9
36|26,9
12|15,5
21|12,5
26|33,9
2|33,9
25|33,9
12|33,0
25|1,2
29|25,2
27|36,0
25|16,1
8|,5
9|,4
12|22,10
28|12,10
27|12,5
12|1,2
9|36,0
1|36,0
25|4,0
26|25,9
5|,1
6|25,7
20|25,3
34|28,0
36|30,11
25|30,11
12|30,11
19|20,7
25|17,0
18|25,3
2|25,9
19|25,3
3|25,3
16|25,3
8|25,3
34|25,10
25|21,5
11|36,0
29|31,2
23|36,1
8|36,0
25|36,0
32|36,3
6|,0
12|13,0
25|13,0
22|,10
12|9,4
11|18,4
33|12,0
17|,6
12|10,11
