Id,modularity_class
10|36,0
30|10.36,0
2|36,2
26|2,2
10|4,0
30|,0
37|15,5
12|37.15,5
36|30,5
12|36,5
4|,0
1|29,3
36|1,1
25|1.29,3
12|1,10
37|1,1
37|28,4
12|37.28,10
12|37.22,4
37|,10
37|30,0
12|37.30,10
1|29.25,1
11|25,6
13|11.25,6
36|11,6
37|11,6
29|,1
25|29,1
36|29,10
15|,5
0|,5
12|29,1
12|37.11,10
25|,11
36|,2
13|,6
18|,6
7|18,3
11|18,6
37|18,6
12|18,10
25|18,10
36|18,6
32|,5
31|,3
11|9,6
29|36,3
25|33,2
10|,0
37|10,0
12|10,0
36|12.36,5
34|12,4
12|34,10
22|34,4
36|34,4
28|34,4
37|34,4
25|34.12,4
21|0.12,5
37|21,5
37|22,4
12|36.21,5
22|28,4
12|32,10
17|12,5
12|37.8,10
8|,10
9|,7
37|0,5
12|37.0,10
36|25,11
13|36,6
12|36.25,10
6|36,7
37|6,7
17|25,5
32|17,5
37|32,5
28|,4
17|32,2
36|32,5
25|12.31,10
29|25,1
0|12.36,5
12|37.6,10
12|31,3
7|12.31,3
1|12,1
29|12.31,3
18|12.31,3
1|,1
29|1,10
3|,9
16|37,8
5|,8
12|37,0
37|13,6
12|37.13,10
24|12,9
27|24.12,9
3|24.12,9
37|24,9
17|32.25,2
37|17,2
12|17,10
1|12.29,1
12|37.24,10
12|13,10
25|12.13,10
11|12,6
37|9,7
36|9,7
20|,7
12|9,10
19|9,7
25|11,10
12|25.11,10
18|12.36,6
12|37.21,10
19|12,7
21|,5
19|25,7
33|,2
16|25,8
0|25,5
15|25,5
31|25,3
26|25,2
8|25,11
18|25,6
3|25,9
24|,9
1|25,1
34|25,4
12|25,6
20|25,11
2|25,11
6|25,7
23|25,8
22|25,11
7|,3
32|25,11
10|25,11
12|11,6
18|36,6
12|36.7,3
12|37.1,10
15|12,5
3|12.36,9
24|3,9
20|36,7
6|20,7
25|1.12,1
2|33,2
36|8,10
12|36.8,10
27|36,9
37|27,9
15|12.36,5
0|15,5
36|0,5
15|0,5
19|,7
12|0,10
0|21,5
25|21,5
36|21,5
12|21,5
12|36.31,3
28|22.34,4
12|28,4
29|12.36,3
13|12.25,6
3|12,9
29|12.25,6
2|12,2
21|15.12,5
12|36.29,10
36|17,2
25|17,10
36|28,4
12|36.28,4
9|36,7
28|22.25,11
19|36,7
37|19,7
12|37.4,10
23|,8
21|15.0,5
27|12,9
12|25.34,10
18|31,3
12|36.0,5
15|36.0,5
21|36,5
20|19,7
12|36.9,10
25|12.36,10
12|37.16,10
25|13,10
37|4,0
25|4,10
36|4,0
12|4,0
30|4,0
25|7,10
18|7,3
37|7,3
16|36,8
37|16,8
34|28,11
36|19,7
12|36.19,7
27|,10
12|37.34,10
22|12,9
12|26,2
20|12,7
12|20,7
36|20,7
37|20,7
6|20.12,7
25|3,9
0|12,5
26|12.37,0
28|12,4
30|12,0
33|12,2
21|12,5
6|12,7
16|12,8
4|12.37,0
1|12.37,10
26|12,2
2|26,0
37|26,2
33|26.12,2
36|27,10
12|36.27,10
12|3,9
22|36,4
12|36.34,4
34|22,4
12|22,4
28|22.12,11
12|36.20,7
12|,9
0|36.15,5
29|31,3
31|7,3
11|,6
21|15.36,5
12|6,7
6|19.12,7
20|6,7
26|,2
12|16,8
6|20.25,7
19|6,7
12|37.18,10
5|16,8
23|5.16,8
36|33,2
12|36.33,2
34|,4
25|34,10
6|,7
12|19,7
19|20.6,7
36|31,3
16|,8
37|5,8
12|37.10,10
12|37.20,10
26|2.25,11
12|36.16,8
12|30,0
17|12.36,5
12|36.18,6
37|33,2
12|37.33,10
12|37.19,10
10|30,0
12|15.12,5
12|37.32,10
12|37.7,10
25|16,8
1|12.36,1
1|36,1
36|16,8
12|37.27,10
25|30,0
8|36,11
37|8,11
12|33,10
32|36,2
17|36,2
5|23,8
37|23,8
16|23,8
27|3.12,9
24|27,9
12|36.17,2
11|13,6
36|13,6
12|36.13,6
25|2,2
26|33,2
12|36.11,6
12|34.28,11
13|11.12,6
36|7,3
25|6,7
36|6,7
12|37.2,2
17|,2
12|37.26,2
12|7,10
30|10.25,0
12|37.23,10
33|2.12,2
25|11.12,6
12|37.5,10
37|2,2
23|36,8
15|36,5
36|15,5
36|26.2,2
11|12.36,5
36|2,2
26|36,2
12|36.1,1
36|3,9
37|3,9
36|24.3,9
25|12.7,10
12|8,10
12|2,2
12|27,10
12|36.6,7
12|37.17,10
22|,4
11|36,2
12|36.4,0
12|37.9,10
20|12.19,7
2|,2
12|37.3,9
25|36,10
25|27,10
12|25.17,10
