36|17,12|,61
25|11,37|,38
25|11,12|25,21
25|11,36|25,17
30|,12|30,22
30|,36|30,12
30|,25|30,10
30|,37|,123
30|,10|30,24
30|,4|,252
23|36,5|23,12
3|25,24|3,51
21|12,12|21,11
21|12,37|,32
26|25,33|,15
32|17,37|,65
32|17,36|32,13
32|17,12|32,18
6|19,20|6,42
6|19,37|,19
6|19,12|6,14
25|3,24|,10
4|12,37|,20
4|12,30|4,12
4|12,10|4,14
4|12,12|4,13
23|,37|,64
23|,12|,16
23|,16|23,26
23|,36|,21
23|,5|23,15
15|25,21|15,11
15|25,0|15,31
25|18,37|,31
25|18,36|25,13
36|6,19|36,10
36|6,12|,43
36|26,33|,12
36|26,12|,12
0|21,12|0,13
0|21,37|,35
5|16,23|5,13
3|,12|3,14
3|,36|3,11
3|,37|,70
3|,27|3,34
3|,24|3,201
3|,25|3,10
11|25,37|,18
11|25,36|,10
11|25,13|11,18
27|12,37|,20
22|34,28|,88
36|32,17|36,17
36|32,12|,30
20|25,6|20,41
36|18,7|,12
36|18,12|,63
24|12,3|24,23
24|12,36|24,19
24|12,37|,43
24|12,27|,28
12|1,37|,55
12|1,29|,10
34|25,22|34,37
34|25,37|,22
34|25,12|34,12
34|25,36|34,10
34|25,28|34,12
36|2,26|36,16
36|2,12|,12
20|,12|20,26
20|,6|20,50
20|,37|,135
20|,25|,18
20|,19|20,18
20|,36|,65
2|,12|2,14
2|,37|,53
2|,36|2,16
2|,25|2,10
2|,26|,354
2|,33|2,13
17|,32|17,13
17|,37|,203
17|,36|17,61
17|,25|17,14
17|,12|17,65
37|,16|37,14
37|,15|,11
37|,12|,25819
37|,5|,15
37|,32|,10
37|,25|,12
37|,8|,11
37|,3|,14
16|,37|,200
16|,5|16,13
16|,25|16,21
16|,36|,35
16|,12|16,24
16|,23|,15
25|17,37|,52
25|17,12|25,29
25|17,36|25,14
25|7,37|,52
25|7,12|25,12
25|7,36|25,18
34|,22|34,88
34|,25|34,10
34|,37|,178
34|,12|34,20
34|,36|34,19
34|,28|34,12
16|25,37|,10
36|24,27|36,24
36|24,3|,10
36|24,12|,16
22|36,28|,20
22|36,37|,10
25|1,29|25,10
25|1,37|,20
25|1,12|25,11
29|36,1|,16
29|36,37|,10
36|29,1|36,10
36|29,12|,45
36|9,12|,154
31|25,12|31,14
10|30,37|,24
6|25,20|6,21
33|12,37|,25
33|12,26|33,12
33|12,12|33,16
33|12,2|33,17
12|11,37|,39
12|11,25|,21
28|34,37|,16
28|34,22|28,12
12|18,37|,29
12|18,25|,10
10|4,30|,16
2|25,26|,63
8|25,37|,12
15|,36|15,13
15|,21|15,13
15|,25|,17
15|,37|,84
15|,12|15,11
15|,0|15,14
15|,19|,16
29|31,1|,12
20|19,6|20,185
19|9,20|19,21
20|36,6|20,15
33|,37|,244
33|,12|33,10
33|,26|33,14
33|,36|,45
33|,25|33,39
33|,2|33,20
2|33,26|,20
21|,15|,23
21|,0|21,35
21|,37|,237
21|,12|21,53
21|,36|,56
21|,25|21,30
25|4,12|25,11
25|4,37|,28
10|25,30|,51
12|0,21|12,18
12|0,37|,43
12|34,37|,43
12|34,22|,20
12|34,25|,11
36|34,22|36,19
36|34,12|,44
19|,12|19,12
19|,20|19,185
19|,36|19,14
19|,37|,162
19|,25|,17
19|,6|19,19
25|30,37|,10
16|12,5|16,16
16|12,37|,28
1|,0|,13
1|,37|,291
1|,12|1,55
1|,36|,72
1|,25|1,11
1|,29|1,13
36|19,20|36,14
36|19,12|,36
24|,36|24,10
24|,3|24,14
24|,12|,20
24|,37|,114
24|,25|,21
24|,27|,243
25|2,26|25,10
2|26,37|,17
2|26,33|2,10
28|12,37|,11
28|12,34|28,10
28|12,22|28,12
36|8,12|,129
21|15,37|,57
21|15,0|21,46
