36|3,24|,11
36|8,12|36.8,62
12|36.0,37|,17
12|36.0,36|12.36,15
23|5.16,37|23,12
12|37.22,37|,19
25|6,37|,17
13|12.25,37|13,11
15|0,21|15.0,25
37|7,12|37.7,62
1|12,29|1,48
1|12,37|1,69
1|12,36|1,29
1|12,25|1.12,10
1|12,12|1,18
37|9,12|37.9,294
25|17,37|,52
25|17,12|25.17,23
25|17,36|25,14
2|33,26|2,20
12|36.7,37|,28
20|36,6|20,15
0|12.36,37|0,10
25|2,26|25,10
12|37.5,37|,23
12|37.5,8|,10
7|12.31,37|7,15
7|12.31,25|7,12
7|12.31,18|7,12
13|36,37|13,20
22|34,28|22.34,21
2|25,26|2.25,47
32|17,12|32,18
32|17,36|32,13
32|17,37|32,65
36|31,12|36.31,21
28|22.34,12|28,21
28|22.34,37|28,53
12|31,1|12,14
12|31,37|,94
12|31,29|12.31,29
12|31,18|12.31,15
12|31,7|12.31,15
12|31,36|,23
12|31,25|12.31,13
33|12,2|33,17
33|12,12|33,16
33|12,26|33,12
33|12,37|33,25
24|12,3|24.12,13
24|12,27|24.12,13
24|12,36|,19
24|12,37|24,43
29|1,37|,37
29|1,12|29,11
29|1,36|29,13
12|36.21,37|,28
24|,3|,31
24|,25|,21
24|,12|,20
24|,36|,55
24|,27|,243
24|,37|24,107
36|1,12|36.1,29
18|31,7|18,20
12|36.13,37|,23
26|,25|,16
26|,12|26,12
26|,37|26,76
26|,2|26,17
26|,36|,27
26|,33|,323
37|2,12|37.2,27
12|25.17,37|,23
29|31,1|29,12
6|20.25,19|6,23
6|20.25,37|6,13
12|37.24,37|,56
12|37.24,3|12,13
12|37.16,37|,122
12|37.16,8|,42
11|12.36,37|11,13
12|37.33,2|12,12
12|37.33,25|,16
12|37.33,37|,161
12|37.33,3|12,20
12|37.33,36|,13
12|1,37|,55
12|1,29|,10
12|18,25|,10
12|18,37|,29
22|28,37|22,12
4|,10|4,16
4|,25|4,11
4|,12|4,42
4|,36|4,31
4|,37|4,159
4|,30|4,10
12|29,37|,11
12|29,1|12.29,21
1|25,29|1,16
1|25,37|1,23
0|,21|,231
0|,25|,19
0|,20|,18
0|,19|,14
0|,12|0,43
0|,36|0,53
0|,37|0,158
0|,15|0,48
30|12,4|,16
30|12,10|30,22
30|12,37|30,29
17|25,32|17,34
22|,25|,12
22|,12|22,12
22|,37|22,38
22|,36|,15
22|,34|22,12
22|,28|,363
37|15,12|37.15,33
12|27,37|,36
25|18,37|,31
25|18,36|25,13
33|26.12,37|33,12
34|12,28|34,10
34|12,37|34,52
34|12,36|34,35
34|12,22|34,53
34|12,12|34,42
34|12,25|34.12,14
2|26,33|,10
2|26,37|2,17
26|25,33|,15
27|36,37|27,18
15|,21|,160
15|,25|,17
15|,12|,58
15|,37|15,77
15|,19|,16
15|,0|15,11
15|,36|15,28
37|4,12|37.4,92
37|19,12|37.19,91
36|13,12|36.13,23
12|36.28,37|,22
19|12,37|19,40
19|12,12|19,33
19|12,25|,11
19|12,36|19,29
19|12,20|19,142
19|12,6|19.12,34
15|12.36,0|15,11
15|12.36,37|15,14
29|12.36,1|29,26
28|,22|28,12
28|,36|28,34
28|,12|28,33
28|,37|28,146
28|,34|28,81
3|24.12,27|,13
12|10,37|,14
2|36,26|2,16
12|8,25|,11
12|8,37|,66
12|8,36|,12
12|37.32,36|,13
12|37.32,37|,80
12|11,25|,21
12|11,37|,39
3|,36|3,11
3|,12|3,14
3|,37|3,67
3|,25|3,10
3|,27|,81
3|,24|3,25
12|28,37|,33
12|6,37|,45
10|,4|,19
10|,25|,16
10|,37|10,69
10|,12|10,14
10|,30|,372
10|,36|,17
28|34,22|28,12
28|34,37|28,16
21|,0|21,35
21|,36|21,42
21|,15|,23
21|,37|21,235
21|,25|21,30
21|,12|21,53
37|6,12|37.6,127
12|36.19,37|,24
36|19,12|36.19,24
36|19,20|36,14
12|37.26,37|,46
13|11.12,37|13,21
25|34,12|25.34,12
25|34,37|,35
25|34,22|25,10
28|12,22|28,12
28|12,37|28,11
28|12,34|28,10
20|12,6|20.12,15
20|12,12|20,28
20|12,19|,20
20|12,37|20,45
20|12,36|20,25
2|,25|2,10
2|,12|2,14
2|,37|2,52
2|,26|2,36
2|,36|2,12
2|,33|,34
12|36.4,37|,24
20|12.19,6|20.12,10
32|25,17|32.25,38
12|36.9,37|,71
12|36.9,36|12.36,22
12|36.9,9|,12
12|36.9,25|12.36,11
36|7,12|36.7,28
23|,12|,16
23|,37|23,64
23|,36|,21
23|,5|23,15
23|,16|23,26
28|22.25,34|28,26
37|3,12|37.3,28
0|21,37|0,35
0|21,12|0,13
15|12,25|,15
15|12,36|15,22
15|12,12|15.12,12
15|12,0|15,159
15|12,21|15.12,16
15|12,37|15,38
13|11.25,37|13,10
12|13,25|12.13,12
12|13,37|,45
12|13,11|12,17
12|13,36|,12
37|16,12|37.16,122
18|12.36,36|18,10
18|12.36,37|18,14
3|12.36,24|3,14
26|12.37,2|26,14
23|36,5|23,12
31|,25|,21
31|,7|,15
31|,29|31,12
31|,37|,125
31|,12|31,94
31|,18|31,20
31|,36|31,44
1|29,36|1,34
1|29,25|1.29,17
1|29,12|1,49
1|29,37|1,165
37|20,12|37.20,67
17|12.36,32|17,10
37|,3|,14
37|,25|,12
37|,5|,15
37|,8|,11
37|,15|,11
37|,32|,10
37|,12|37,15563
37|,16|37,14
12|36.6,37|,26
3|12,36|3,15
