source,target,value
36|34.36.11,29|36.34,1
36|12.37.6.12,18|36,1
36|12.19,11|36.12,1
36|12.19,20|36.12,1
36|12.19,12|36.12.19,1
37|12.37.26.2.12.37.33,12|37.12.37.26.2.12.37.33,2
37|12.15.6,12|37.12.15.6,2
36|31,16|36.31,1
36|31,6|36.31,1
36|31,25|36,1
36|31,12|36.31,2
12|15.21,0|12.15,1
12|15.21,25|12.15,1
25|12.30,12|25.12,1
25|12.30,37|25.12.30,2
18|31,12|18,2
18|31,7|18.31,1
18|31,25|18.31,2
18|31,37|18.31,6
10|30.27,36|10.30,1
10|30.27,12|10,1
18|12.9,6|18,1
18|12.9,0|18,1
18|12.9,36|18.12.9,2
18|12.9,11|18,5
22|20,15|22,1
22|20,19|22,2
19|36.13,37|19,1
19|36.13,29|19,1
12|37.4.37,37|12.37.4.37,1
0|28,37|0.28,1
12|37.12.37.8.4,37|12.37.12.37.8.4,1
37|12.37.6.19,32|37,1
37|12.37.6.19,12|37.12.37.6.19,3
28|12,12|28.12,1
28|12,22|28.12,2
28|12,33|28,1
28|12,24|28,2
28|12,26|28,1
28|12,37|28.12,11
28|12,3|28,2
28|12,0|28,1
28|12,5|28,2
28|12,25|28,3
28|12,34|28,10
28|12,20|28,1
28|12,36|28,5
5|36.16,23|5.36,1
6|36.9,0|6,1
37|15.0.19,12|37.15.0.19,1
17|12.9,36|17.12,1
37|12.37.12.1.12,12|37.12.37.12.1.12,1
12|37.12.37.12.37.25.27,4|12.37.12,1
12|37.12.37.12.37.25.27,10|12.37.12,3
12|37.12.37.12.37.25.27,37|12.37.12.37.12.37.25,3
12|37.12.37.12.37.25.27,30|12.37,1
9|12.37.23,8|9,1
12|25.12.37.9,36|12.25.12.37,2
12|25.12.37.9,17|12,1
8|12.37.12.37.10.17,37|8.12.37.12.37.10.17,1
12|25.12.37.12.36.12.25,4|12,2
36|12.26.12,12|36.12.26.12,1
12|3.25.24,36|12.3,1
37|1.11,12|37.1.11,2
22|12.37.29,16|22,1
37|12.37.19.12.0,12|37.12.37.19.12.0,1
12|37.13.11.36,37|12.37.13.11.36,1
17|12.37.7,25|17.12.37,1
37|12.37.12.11.13,12|37.12.37.12.11.13,2
22|28.30,32|22,1
8|36.12,25|8,1
8|36.12,32|8.36,1
8|36.12,37|8.36.12,3
8|36.12,36|8.36,5
8|36.12,21|8,1
8|28,37|8.28,1
8|28,2|8,1
8|28,12|8.28,1
36|16.12,5|36.16,1
36|16.12,12|36.16.12,1
2|12.25.12.37.12.36,27|2,1
33|26.2.12.36.25,10|33,1
12|37.25.20,9|12.37.25,1
12|37.25.20,37|12.37.25.20,3
12|37.25.20,19|12.37.25,2
2|33,12|2,2
2|33,37|2,6
2|33,24|2,1
2|33,36|2.33,1
2|33,26|2.33,1
12|37.0.25,37|12.37.0,3
12|37.0.25,8|12.37.0,1
12|37.0.25,25|12.37.0,1
12|37.0.25,15|12.37,3
12|37.0.25,19|12.37.0.25,1
6|23,10|6,1
25|12.37.12.1,15|25,3
25|12.37.12.1,12|25.12.37,1
25|12.37.12.1,0|25,2
25|12.37.12.1,37|25.12.37,1
25|12.37.12.1,17|25,1
12|37.8.12.37.0,37|12.37.8.12.37.0,1
12|37.25.36,8|12.37.25,1
12|37.25.36,36|12.37.25.36,2
12|37.25.36,25|12.37.25.36,1
12|37.25.36,24|12.37.25,1
12|37.25.36,33|12.37,1
12|37.25.36,32|12,1
12|37.25.36,18|12.37,1
12|37.25.36,20|12.37,1
12|37.25.36,37|12.37.25.36,25
12|37.25.36,31|12.37.25,1
12|37.25.36,1|12.37,2
12|37.25.36,34|12.37.25,1
13|0,12|13,1
13|0,18|13,1
13|0,36|13,3
13|0,37|13,2
24|33,3|24,1
24|33,10|24,1
24|33,37|24.33,1
12|17.36.24,8|12.17,1
25|12.37.12.36.12.25,12|25.12.37.12.36.12.25,2
25|12.37.12.36.12.25,29|25.12,1
37|12.37.12.37.12.37.12.37.19.25,9|37,1
25|36.18.36.25,29|25,1
37|12.37.2,12|37.12.37.2,1
10|8,25|10,1
10|8,12|10.8,1
10|8,37|10,2
10|8,30|10.8,3
32|10,0|32,1
12|37.0.15,37|12.37.0,3
12|37.0.15,36|12.37.0,1
12|37.0.15,21|12,2
12|37.0.15,25|12.37.0,1
12|37.21.12.13,32|12,1
11|18.8,34|11,1
12|37.12.37.17,17|12.37,2
12|37.12.37.17,2|12,1
12|37.12.37.17,36|12.37.12,7
12|37.12.37.17,9|12.37.12,3
12|37.12.37.17,25|12.37,1
12|37.12.37.17,34|12,6
12|37.12.37.17,32|12,4
