source,target,value
12|36.25,25|12.36,12
12|36.25,13|12.36.25,8
12|36.25,37|12.36,141
12|36.25,36|12.36,31
12|37.7,37|12.37,62
12|37.7,36|12,10
12|37.7,31|,12
12|37.7,25|12.37,9
12|37.7,18|,12
25|13,11|25,10
25|13,37|25,17
12|34.12,37|12,11
12|34.12,22|12.34,16
18|11,12|18,9
18|11,37|18,8
18|11,36|18,9
0|15,36|0.15,8
0|15,37|0,9
0|15,21|,166
0|15,12|0.15,8
12|37.12.37.13,37|12.37.12.37.13,67
12|37.12.37.13,36|12,10
12|37.12.37.13,7|,8
12|37.12.37.13,25|12.37.12.37,8
12|37.12.37.13,31|,10
12|37.12.37.13,18|,10
25|,4|,18
25|,28|25,8
25|,2|25,63
25|,13|25,10
25|,1|25,16
25|,30|25,8
25|,18|25,19
25|,37|25,1117
25|,33|25,9
25|,0|25,15
25|,8|25,12
25|,26|25,15
25|,15|25,31
25|,36|25,275
25|,9|,12
25|,3|25,51
25|,31|25,14
25|,11|25,10
25|,6|25,21
25|,22|25,42
25|,23|25,26
25|,12|25,11
25|,20|25,41
25|,34|25,10
25|,17|25,34
25|,5|,10
25|,7|,19
25|,16|25,10
25|,32|25,58
25|,19|25,24
25|,24|25,8
25|,29|25,58
25|,21|,11
25|,10|25,51
30|25,10|30,8
30|25,37|30,8
12|31,25|12.31,10
12|31,36|12,23
12|31,7|12.31,12
12|31,1|12,14
12|31,18|12.31,47
12|31,37|12,94
12|31,29|12.31,29
33|,2|33,20
33|,26|33,10
33|,36|33,39
33|,37|33,242
33|,25|33,39
33|,3|,9
33|,12|33,10
37|12.37.12.37.12.37.28,12|37.12.37.12.37.12.37.28,9
37|12.37.27,12|37.12.37.27,70
25|12.7,37|25.12,10
26|36,33|26.36,8
3|24.12,27|3,13
8|25,37|8,12
21|36,37|21,16
1|12.36,29|1,8
1|12.36,37|1,13
37|1,12|37.1,11
29|12.36,1|,26
12|37.9,0|12,13
12|37.9,32|,23
12|37.9,18|,14
12|37.9,36|12,85
12|37.9,11|12.37,9
12|37.9,25|12.37,14
12|37.9,9|,101
12|37.9,37|12.37,294
12|16,37|12.16,24
11|12.36,37|11,13
11|12.36,13|11.12,9
27|36,37|27,18
12|37.12.6,37|12.37.12,28
12|37.12.6,9|,10
2|26,33|,10
2|26,37|2,17
37|12.37.13,12|37.12.37.13,8
12|34,25|12,11
12|34,36|12,8
12|34,22|12.34,19
12|34,37|12,43
12|34,28|12,8
36|32,17|36,17
36|32,12|36,30
19|20.12,6|19.20,8
10|12.36,30|10.12.36,13
19|6,37|19.6,44
19|6,12|19,14
37|12.37.6,12|37.12.37.6,10
12|11,25|12,21
12|11,13|,9
12|11,37|12,39
6|19.20,37|6,8
4|12.37.12,10|4,10
13|11.12,25|13,8
13|11.12,37|13,21
12|36,4|,12
12|36,21|12,18
12|36,20|12.36,9
12|36,23|,20
12|36,26|12,13
12|36,36|12.36,416
12|36,1|12.36,8
12|36,31|12.36,17
12|36,29|12.36,26
12|36,13|,71
12|36,25|12.36,19
12|36,2|12,38
12|36,10|12.36,23
12|36,32|,68
12|36,15|12.36,11
12|36,6|,16
12|36,34|12.36,9
12|36,19|12,64
12|36,18|12.36,10
12|36,16|12,8
12|36,30|12,12
12|36,3|12.36,14
12|36,22|,29
12|36,0|12.36,10
12|36,17|12.36,10
12|36,33|12,10
12|36,8|,123
12|36,7|,17
12|36,28|12,10
12|36,9|,151
12|36,5|12,9
12|36,37|12.36,2102
12|36,24|12,11
12|36,11|12.36,13
12|36,27|12,9
6|25,20|6.25,9
33|26.36,37|33,8
19|12,6|19.12,34
19|12,36|19,29
19|12,20|19,142
19|12,37|19,40
19|12,25|,11
19|12,12|19,33
12|19,20|12.19,10
12|19,37|12,34
12|19,6|,8
6|19.12,12|6,8
6|19.12,20|6.19,34
37|8,12|37.8,9
12|15.12,0|12,12
33|2.12,26|33,10
12|37.3,37|12.37,28
20|19,6|20,185
20|19,37|20,8
17|12.32,37|17,9
12|36.20,37|12.36,22
36|25,13|36,11
36|25,12|36.25,31
34|12,25|34.12,14
34|12,22|34,53
34|12,36|34,35
34|12,37|34,52
34|12,12|34.12,11
34|12,28|34,10
12|37.12.37.34,2|12,8
12|37.12.37.34,37|12.37.12.37,77
12|25.17,37|12,23
12|,4|,72
12|,18|,431
12|,8|,984
12|,23|,171
12|,26|12,18
12|,5|12,11
12|,36|12,9
12|,37|12,8
12|,13|,407
12|,21|12,9
12|,9|,1051
12|,25|12,12
12|,3|,314
12|,2|12,21
12|,11|12,24
12|,6|,93
12|,19|12,53
12|,32|,422
12|,16|12,9
12|,10|,349
12|,0|12,35
12|,17|12,17
12|,15|12,159
12|,31|,522
12|,20|12,48
12|,22|,256
12|,30|12,29
12|,33|12,17
12|,34|12,52
12|,7|,184
12|,28|12,10
12|,1|12,29
12|,29|12,32
12|,24|12,28
12|,27|12,20
34|22,37|34,9
34|22,28|34,12
28|22.12.37,37|28,14
28|22.12.37,34|28,114
28|22.12.37,12|28,12
17|32.25.12.37,37|17,29
37|12.37.12.37,12|37.12.37.12.37,31
37|12.37.23,12|37.12.37.23,10
12|37.12.17,37|12.37.12,48
12|0.15,21|12,8
1|12.37,29|1,35
1|12.37,37|1,22
1|12.37,36|1,20
1|12.37,25|1.12,9
12|37.16,8|,42
12|37.16,36|12,8
12|37.16,37|12.37.16,121
24|25,37|24,8
27|3,24|27,34
27|3,36|27,8
27|3,37|27,22
27|3,25|27,8
31|25,12|31,14
5|12,23|5.12,8
5|12,37|5,10
5|12,16|,20
7|31,25|7,8
10|25,30|10.25,11
5|16,23|5.16,12
12|0,21|12,18
12|0,15|12,8
12|0,37|12,43
37|12.37.8,12|37.12.37.8,30
25|12.37.12.37.1,15|25,8
25|12.37.12.37.1,37|25.12,9
10|36,30|10.36,12
11|12.37,37|11,22
11|12.37,13|11.12,25
11|12.37,18|11,13
