source,target,value
5|,14|,0.10371517027863777
5|,40|5,1.0
5|,25|5,0.13622291021671826
5|,100|,0.43653250773993807
5|,36|5,0.12848297213622292
5|,18|5,0.17956656346749225
9|12.28.14,100|,1.0
18|13,40|18.13,0.7674418604651163
18|13,36|18,0.23255813953488372
36|9,9|36,1.0
18|40.18.34,7|18,1.0
14|18.40,100|,0.23880597014925373
14|18.40,22|14,0.07462686567164178
14|18.40,1|14,0.12686567164179105
14|18.40,13|14,0.49333333333333335
14|18.40,15|14,0.21333333333333335
14|18.40,8|14,0.11940298507462686
14|18.40,18|14.18,0.29333333333333333
14|18.40,18|14.18.40,1.0
39|7,7|,1.0
18|40.18.14.18.40,100|,1.0
0|18.40,18|0,1.0
2|30,14|2,0.27049180327868855
2|30,100|,0.48770491803278687
2|30,18|2.30,0.5945945945945946
36|20,20|36,1.0
18|10,100|,0.2079207920792079
18|10,14|18,0.09900990099009901
18|10,40|18.10,1.0
18|10,36|18,0.1188118811881188
18|2.14,40|18.2,1.0
36|15,15|,1.0
18|9.12,40|18.9.12,1.0
18|3,40|,1.0
37|14,14|,1.0
20|21,29|20,1.0
20|21,36|20,0.08778625954198473
36|18.30,18|36.18.30,1.0
37|6,6|,1.0
18|40,17|,0.00905349794238683
18|40,30|18,0.00905349794238683
18|40,8|,0.10097719869706841
18|40,14|18.40,0.23574561403508773
18|40,9|18,0.030112923462986198
18|40,15|18,0.013991769547325103
18|40,22|18,0.051031487513572206
18|40,20|18,0.07891637220259129
18|40,23|,0.013991769547325103
18|40,0|18.40,0.1737242128121607
18|40,100|,0.2807017543859649
18|40,14|18,0.2626619552414605
18|40,24|,0.03728070175438596
18|40,32|18.40,1.0
18|40,31|18,0.010964912280701754
18|40,26|18,0.023045267489711935
18|40,5|18,0.1226215644820296
18|40,13|18.40,0.048559670781893
18|40,1|18,0.15200868621064062
18|40,25|18,0.24101479915433405
18|40,7|18,0.08881578947368421
18|40,21|18,0.01740506329113924
18|40,27|18.40,0.2777777777777778
18|40,29|18,0.03297997644287397
18|40,10|18,0.023026315789473683
18|40,13|18,0.3322784810126582
18|40,2|18,0.15706806282722513
18|40,33|18,0.02633744855967078
18|40,11|,0.02551440329218107
18|40,28|18,0.28983688833124216
18|40,19|18,0.009876543209876543
18|40,4|,0.017543859649122806
18|40,34|18.40,0.08846153846153847
18|40,6|,0.009876543209876543
18|40,12|18.40,0.10414052697616061
15|,100|,0.04504504504504504
15|,18|15,0.6
15|,14|15,0.06756756756756757
15|,36|15,1.0
15|,13|15,0.4
15|,37|15,1.0
29|14,20|29.14,1.0
18|40.18.2,14|18.40,0.2222222222222222
18|40.18.2,6|18.40.18.2,1.0
18|40.18.2,100|,0.31746031746031744
40|18.7,18|40.18.7,0.625
29|21.18,20|29.21,1.0
21|20.18,29|21.20,1.0
36|21,21|36,1.0
14|5.18,25|14,1.0
14|29,100|,0.74
14|29,18|14,0.26
7|18,18|7,0.23214285714285715
7|18,100|,0.11607142857142858
7|18,10|7,0.20535714285714285
7|18,14|7,0.1875
7|18,34|7,0.25892857142857145
40|23,23|40,1.0
14|21,29|14,1.0
40|5,5|,1.0
1|27,18|1,0.2903225806451613
1|27,14|1.27,1.0
1|27,100|,0.27419354838709675
29|36,100|,1.0
