source,target,value
13|37,100|,1.0
13|37,33|13,0.4117647058823529
40|21,21|,1.0
21|36,100|,1.0
13|38,100|,1.0
34|13,2|34,0.32432432432432434
34|13,13|34.13,1.0
13|40.13.25,100|,1.0
33|13,32|33,0.21323529411764705
33|13,100|,0.08088235294117647
33|13,13|33.13,1.0
33|13,24|33,0.4338235294117647
36|14,14|,1.0
40|13.34.13,13|40.13.34.13,1.0
1|36,25|,1.0
10|33,14|10.33,1.0
10|33,21|10,0.17391304347826086
37|25,25|,1.0
13|39,100|,1.0
13|39,33|13,0.35
36|10,10|36,1.0
10|14.33,21|10,1.0
1|13,15|1,0.4492753623188406
1|13,25|,0.2898550724637681
1|13,13|1,0.2608695652173913
40|15,15|,1.0
40|13.1,13|40.13.1,1.0
13|34,40|,1.0
13|40.13.14,100|,1.0
40|13.25.15,13|40.13.25.15,1.0
28|,6|,1.0
1|,33|,0.03896103896103896
1|,36|1,1.0
1|,15|1,0.14025974025974025
1|,13|1,0.14025974025974025
1|,37|1,1.0
1|,100|,0.11428571428571428
1|,40|1,1.0
1|,25|,0.44415584415584414
24|32,100|,0.6976744186046512
24|32,13|24,0.3023255813953488
40|13.24,13|40.13.24,1.0
1|33,15|1,0.3902439024390244
1|33,25|,0.2926829268292683
1|33,13|1,0.3170731707317073
11|,21|11,1.0
11|,13|11,1.0
11|,33|,0.16176470588235295
10|36,14|10.36,1.0
32|13,13|32,0.1891891891891892
32|13,24|32,0.6216216216216216
32|13,100|,0.1891891891891892
33|,21|33,1.0
33|,32|33,1.0
33|,14|33,1.0
33|,2|,0.03214285714285714
33|,13|33,0.37142857142857144
33|,24|33,1.0
33|,1|33,0.3902439024390244
33|,11|,0.036290322580645164
33|,15|33,0.7317073170731707
33|,100|,0.15357142857142858
33|,10|33,0.17391304347826086
33|,25|,0.025
21|14,36|21,0.3793103448275862
21|14,100|,0.6206896551724138
25|15.1,100|,1.0
13|33.13,40|13.33,1.0
40|1,1|,1.0
13|40.13.1,15|13,1.0
14|10.13,100|,1.0
21|33,10|21,1.0
37|,13|37,0.48214285714285715
37|,21|,0.19444444444444445
37|,32|,0.25
37|,15|37,1.0
37|,1|,0.16071428571428573
37|,25|,0.17857142857142858
10|21,14|10,0.8832116788321168
10|21,36|10,0.11678832116788321
40|13.2,13|40.13.2,1.0
38|25,25|,1.0
14|21,10|14.21,1.0
14|21,100|,0.22580645161290322
13|15,1|13,1.0
13|15,40|,1.0
25|36,1|25,0.24390243902439024
25|36,13|25,0.21951219512195122
25|36,100|,0.5365853658536586
21|,40|21,1.0
21|,14|21,0.22580645161290322
21|,10|21,1.0
21|,33|,0.02894736842105263
21|,39|21,1.0
21|,13|21,0.6774193548387096
21|,37|21,1.0
21|,36|21,1.0
21|,100|,0.19736842105263158
21|,38|21,1.0
13|33,21|13,0.16071428571428573
13|33,40|13.33,0.8974358974358975
13|33,39|13,0.125
13|33,15|13,0.10256410256410256
36|21,21|36,1.0
36|,32|36,1.0
36|,21|36,1.0
36|,1|36,1.0
36|,10|36,1.0
36|,15|36,1.0
36|,25|36,0.27607361963190186
36|,14|,0.1
36|,34|,0.1165644171779141
36|,13|36,1.0
15|13,33|15,0.06097560975609756
15|13,1|15,0.6341463414634146
15|13,25|15.13,1.0
15|13,13|15,0.09146341463414634
13|40.13.25.15,100|,1.0
38|,13|38,1.0
38|,21|,0.2692307692307692
38|,25|,0.4117647058823529
21|10,14|21,0.3
21|10,100|,0.7
13|2,40|13.2,1.0
36|34,34|,1.0
10|,13|10,0.5833333333333334
10|,14|10,1.0
10|,36|10,1.0
10|,21|10,0.7
10|,33|,0.03170028818443804
10|,100|,0.10951008645533142
14|10.36,100|,1.0
40|13.14,13|40.13.14,1.0
36|25,25|36,1.0
15|33,25|15,0.2682926829268293
15|33,1|15,0.7317073170731707
13|40.13.32,100|,1.0
1|15,25|1.15,0.21568627450980393
1|15,36|1,0.1223021582733813
1|15,13|1,0.07194244604316546
13|,14|13,0.006153846153846154
13|,17|,0.011210762331838564
13|,2|,0.04633781763826607
13|,16|,0.22248803827751196
13|,33|13,0.019138755980861243
13|,24|,0.0215311004784689
13|,15|13,0.06097560975609756
13|,100|,0.1382660687593423
13|,3|,0.028708133971291867
13|,31|,0.007692307692307693
13|,1|13,0.4492753623188406
13|,39|13,0.03827751196172249
13|,34|13,0.6756756756756757
13|,11|,0.0823076923076923
13|,21|13,0.00523168908819133
13|,25|13,0.02092675635276532
13|,32|13,0.019138755980861243
13|,10|13,0.014615384615384615
13|,38|13,0.01674641148325359
13|,37|13,1.0
13|,36|13,0.0430622009569378
13|,40|,0.5909090909090909
15|1,25|15.1,1.0
15|1,25|15,1.0
15|1,36|15,0.35135135135135137
37|21,21|,1.0
17|,13|17,1.0
36|15,15|36,1.0
10|14.13,21|10,1.0
13|40.13.24,24|,1.0
38|13,13|38,1.0
6|,13|,1.0
13|33.13.40,40|13.33.13.40,1.0
33|15,1|33,1.0
36|13,13|36,1.0
40|13.11,13|40.13.11,1.0
32|36,100|,1.0
33|25,100|,0.6451612903225806
33|25,13|33,0.3548387096774194
34|,36|34,1.0
34|,13|34,1.0
34|,2|34,1.0
15|37,25|15,1.0
39|15,15|,1.0
16|,13|16,1.0
12|,13|,1.0
37|15,15|37,1.0
36|1,1|36,1.0
32|24,100|,0.4369747899159664
32|24,33|32,0.25630252100840334
32|24,36|32,0.06722689075630252
32|24,13|32,0.23949579831932774
13|1,40|13.1,1.0
13|1,36|13,0.2727272727272727
24|,32|24,0.23949579831932774
24|,33|,0.04057971014492753
24|,100|,0.11884057971014493
24|,13|24,1.0
40|13.32,13|40.13.32,1.0
25|15,36|25,0.21212121212121213
25|15,1|25,0.21212121212121213
25|15,13|25.15,1.0
26|,13|,1.0
32|,33|32,0.6911764705882353
32|,100|,0.375
32|,36|32,1.0
32|,13|32,0.2549019607843137
32|,24|32,0.3023255813953488
32|,37|32,1.0
39|,21|,0.20454545454545456
39|,13|39,1.0
39|,15|,0.3225806451612903
38|21,21|,1.0
13|25,40|13.25,1.0
13|25,100|,0.20930232558139536
13|25,33|13,0.16279069767441862
13|34.13,40|13.34.13,1.0
21|11,10|21,1.0
2|34,13|2,1.0
1|13.40,13|1,1.0
3|,13|3,1.0
13|14,40|13.14,1.0
13|14,100|,0.3448275862068966
33|13.40,1|33,0.26605504587155965
33|13.40,15|33,0.3119266055045872
33|13.40,100|,0.06422018348623854
33|13.40,13|33.13.40,1.0
33|13.40,13|33.13,0.3793103448275862
33|13.40,24|33,0.6206896551724138
13|40.13.2,100|,1.0
15|,40|15,1.0
15|,1|15,0.4146341463414634
15|,39|15,1.0
15|,13|15,0.08672086720867209
15|,37|15,1.0
15|,36|15,1.0
15|,25|15,0.2845528455284553
15|,100|,0.051490514905149054
15|,33|15,1.0
13|33.32,100|,1.0
40|13.33.13.40,13|40.13.33.13.40,1.0
21|13,100|,0.06369426751592357
21|13,33|,0.044585987261146494
21|13,13|21,0.10191082802547771
21|13,10|21,0.6114649681528662
21|13,14|21,0.17834394904458598
25|13,13|25,0.4117647058823529
25|13,100|,0.5882352941176471
14|,36|14,1.0
14|,13|14,1.0
14|,100|,0.3625
14|,33|14,0.3181818181818182
14|,10|,0.184375
14|,21|14,0.6206896551724138
13|17,40|,1.0
37|13,13|37,1.0
13|40.13.33.13.40,15|13,1.0
10|14.21,100|,1.0
40|,1|,0.016055045871559634
40|,13|40,1.0
40|,21|,0.021634615384615384
40|,15|,0.022935779816513763
13|36,15|13,0.21875
13|36,100|,0.46875
13|36,33|13,0.3125
14|10,13|14,0.19487179487179487
14|10,33|14,0.13846153846153847
14|10,100|,0.47692307692307695
14|10,21|14,0.18974358974358974
32|33,24|32,1.0
14|13,10|14.13,1.0
2|,34|,0.6145833333333334
2|,13|2,1.0
10|13,14|10.13,1.0
10|13,21|10,0.41379310344827586
10|13,13|10,1.0
13|32,40|13.32,1.0
13|32,100|,0.2549019607843137
13|32,36|13,0.23529411764705882
40|13.25,13|40.13.25,1.0
37|32,32|,1.0
37|1,1|,1.0
13|40,1|13.40,0.12121212121212122
13|40,14|13,0.04580152671755725
13|40,33|13.40,0.28535353535353536
13|40,2|,0.017676767676767676
13|40,16|,1.0
13|40,15|13,0.28535353535353536
13|40,21|13,0.03048780487804878
13|40,24|,0.32926829268292684
13|40,11|,0.19817073170731708
13|40,25|13,0.03282828282828283
13|40,32|13,0.04573170731707317
13|40,100|,0.25757575757575757
13|40,10|13,0.06615776081424936
33|14,100|,0.6818181818181818
33|14,13|33,0.3181818181818182
14|33,10|14.33,1.0
13|11,36|13,0.10144927536231885
13|11,40|13.11,0.8985507246376812
13|40.13.11,21|13,1.0
24|33,32|24,1.0
25|,36|25,0.12096774193548387
25|,33|25,0.3548387096774194
25|,38|25,1.0
25|,15|,0.03225806451612903
25|,1|25,0.10752688172043011
25|,100|,0.4274193548387097
25|,37|25,1.0
25|,13|25,0.1639784946236559
13|40.13.34.13,100|,1.0
4|,13|,1.0
25|1.15,33|25,0.22549019607843138
25|1.15,13|25,0.21568627450980393
25|1.15,100|,0.5588235294117647
13|10,40|,1.0
40|13.33,13|40.13.33,0.72
15|36,25|15,1.0
39|13,13|39,1.0
13|21,40|,1.0
39|21,21|,1.0
36|32,32|36,1.0
13|16,40|,1.0
13|40.13.33,21|13,0.72
13|40.13.33,33|13.40,0.28
14|10.33,21|14,1.0
1|25,13|1,1.0
1|25,100|,1.0
25|15.13,1|25,1.0
13|25.15,40|13.25.15,1.0
13|3,40|,1.0
33|32,100|,0.6911764705882353
33|32,13|33.32,1.0
13|24,40|13.24,1.0
