source,target,value
19|13.40,29|19,0.6153846153846154
19|13.40,13|19,0.38461538461538464
18|,33|,0.20588235294117646
18|,20|,0.20588235294117646
18|,5|,0.07216494845360824
18|,13|18,0.5882352941176471
18|,36|18,1.0
33|8,36|33,0.12903225806451613
33|8,100|,0.43548387096774194
33|8,13|33.8,1.0
34|13,33|34.13,1.0
34|13,2|34,0.32432432432432434
34|13,13|34.13,0.5714285714285714
34|13,100|,0.26666666666666666
34|13,2|34.13,0.42857142857142855
36|14,14|,1.0
1|3,13|1,1.0
37|25,25|,1.0
36|10,10|36,1.0
29|19,27|29,1.0
13|34,40|13.34,1.0
13|34,39|13,0.12727272727272726
13|34,36|13,0.18181818181818182
6|28.12,100|,0.6470588235294118
6|28.12,13|6,0.35294117647058826
21|13.40,13|21,1.0
12|33,28|12,0.5633802816901409
12|33,6|12,0.1267605633802817
12|33,13|12.33,1.0
34|2.33,36|34,0.34210526315789475
34|2.33,100|,0.6578947368421053
19|,29|19,0.0673076923076923
19|,100|,0.09451219512195122
19|,33|,0.042682926829268296
19|,39|19,1.0
19|,13|19,0.48148148148148145
19|,36|19,0.09615384615384616
19|,27|,0.5185185185185185
13|40.13.3,100|,1.0
13|33.8,40|13.33.8,1.0
6|,12|6,0.5161290322580645
6|,100|,0.289198606271777
6|,36|6,1.0
6|,13|6,0.4838709677419355
6|,28|6,1.0
10|21,14|10,1.0
10|21,36|10,0.11678832116788321
9|7.13,13|9,1.0
13|40.13.33.4,3|13.40,1.0
20|,13|20,0.34782608695652173
20|,36|20,1.0
20|,18|20,1.0
20|,5|,0.1076923076923077
33|30,100|,0.42857142857142855
33|30,13|33,0.5714285714285714
33|34.13,2|33,1.0
38|,13|38,1.0
38|,21|,0.2692307692307692
38|,25|,0.4117647058823529
37|11,11|,1.0
13|2,40|13.2,1.0
30|13,9|30,0.42105263157894735
30|13,100|,0.5789473684210527
36|25,25|36,1.0
1|15,25|1.15,0.21568627450980393
1|15,36|1,0.1223021582733813
1|15,13|1,0.07194244604316546
40|13.16,13|40.13.16,1.0
17|,13|17,0.35517241379310344
17|,8|,0.0603448275862069
17|,100|,0.5827586206896552
17|,2|,0.02413793103448276
17|,3|17,1.0
4|3,13|4,1.0
34|36,13|34,0.325
34|36,100|,0.675
26|0,13|26,1.0
20|13,13|20,0.631578947368421
20|13,18|20,0.3684210526315789
31|33,13|31,1.0
3|17,8|3,1.0
32|36,100|,1.0
24|13,32|24,1.0
24|13,13|24,1.0
34|,2|34,0.16393442622950818
34|,13|34,0.4098360655737705
34|,100|,0.3114754098360656
34|,36|34,0.42105263157894735
34|,33|,0.11475409836065574
40|13.12.13,13|40.13.12.13,1.0
36|26,26|36,1.0
13|1,40|13.1,1.0
13|1,39|13,0.1206896551724138
13|1,36|13,0.15517241379310345
24|,39|24,1.0
24|,32|24,0.45098039215686275
24|,33|,0.04057971014492753
24|,36|24,1.0
24|,100|,0.11884057971014493
24|,37|24,1.0
24|,29|,0.08235294117647059
24|,6|,0.09411764705882353
24|,13|24,0.5490196078431373
13|33.13.40,40|13.33.13.40,1.0
13|29,40|,1.0
32|,33|32,0.21153846153846154
32|,100|,0.375
32|,36|32,1.0
32|,13|32,0.5961538461538461
32|,24|32,0.19230769230769232
32|,37|32,1.0
36|9,9|36,1.0
39|,24|,0.1111111111111111
39|,15|,0.3225806451612903
39|,13|39,1.0
39|,19|,0.1891891891891892
39|,21|,0.20454545454545456
39|,29|,0.21621621621621623
39|,4|,0.06542056074766354
38|21,21|,1.0
13|25,40|13.25,1.0
13|25,100|,0.20930232558139536
13|25,33|13,0.16279069767441862
30|36,100|,0.5333333333333333
30|36,13|30,0.4666666666666667
21|11,10|21,1.0
36|18,18|,1.0
2|34,100|,0.5862068965517241
2|34,13|2,0.41379310344827586
3|,17|,0.09090909090909091
3|,33|3,0.14285714285714285
3|,4|3,1.0
3|,24|,0.2631578947368421
3|,36|3,0.10909090909090909
3|,100|,0.14056224899598393
3|,13|3,0.45454545454545453
3|,8|3,0.3116883116883117
3|,37|3,1.0
3|,31|,0.06666666666666667
3|,1|3,1.0
13|14,40|13.14,1.0
13|14,100|,0.3448275862068966
36|2,2|36,1.0
15|,40|15,0.06779661016949153
15|,1|15,0.39285714285714285
15|,39|15,1.0
15|,13|15,0.2857142857142857
15|,37|15,0.06779661016949153
15|,36|15,0.1271186440677966
15|,25|15,0.32142857142857145
15|,100|,0.09322033898305085
15|,33|15,1.0
15|,21|,0.1016949152542373
36|0,0|,1.0
21|13,100|,0.06369426751592357
21|13,33|,0.044585987261146494
21|13,13|21,0.10191082802547771
21|13,10|21,0.6114649681528662
21|13,14|21,1.0
14|,36|14,0.08496732026143791
14|,13|14,0.5454545454545454
14|,100|,0.058823529411764705
14|,10|14,0.45454545454545453
14|,33|14,0.3181818181818182
14|,21|14,0.1568627450980392
13|40.13.19,29|13.40.13.19,1.0
13|40.13.19,100|,1.0
25|15.13,1|25,1.0
13|30,100|,0.21621621621621623
13|30,40|13.30,1.0
23|13,0|23,0.8970588235294118
23|13,26|,0.10294117647058823
36|13,13|36,1.0
13|40.13.31,33|13.40,0.32
13|40.13.31,17|,0.68
36|28,28|36,1.0
14|13,10|14.13,1.0
37|33,33|,1.0
40|13.9,13|40.13.9,1.0
39|29,29|,1.0
40|31,31|40,1.0
8|13,13|8,0.6111111111111112
8|13,3|8,0.3888888888888889
13|40.13.11,21|13,1.0
