NetID,Capstone,ePortfolio Link,Integration3,Prompt1,Prompt2,Prompt3,Prompt4,Prompt5,Prompt6,Prompt7,Prompt8,Prompt9,Prompt10,Prompt11
aachecar,340,20,190,20,20,20,20,20,20,20,20,20,20,20
aaldave,320,20,180,20,20,20,20,20,20,20,10,20,20,20
aalexan9,340,20,200,20,20,20,20,20,20,20,20,20,20,20
aali1,340,20,190,20,20,20,20,20,20,0,20,20,20,20
aameen,340,20,200,0,20,20,20,20,20,20,20,20,20,20
aander27,340,20,194,20,20,20,20,20,20,20,15,20,20,20
aandrade,340,20,200,20,20,20,20,20,20,20,20,20,20,20
abakeis,340,20,200,20,20,20,20,20,20,20,20,20,20,20
abanks3,340,20,200,20,20,0,20,20,20,20,20,0,10,0
abatkoff,340,20,194,20,20,20,20,20,20,20,20,20,20,20
abeacom,311,20,200,20,20,20,20,20,20,20,20,20,20,20
abellm,340,20,200,20,20,20,20,20,20,20,20,20,20,20
abenavi3,340,20,200,20,20,20,20,20,20,20,20,20,20,
abenedic,340,20,188,20,20,20,20,20,20,20,20,20,20,20
abernocc,340,10,200,20,20,20,20,20,20,20,10,20,20,10
abiondo,340,10,200,20,20,20,20,20,20,20,20,20,20,20
abjaller,340,20,200,20,20,20,20,20,20,20,20,20,20,20
ablanch2,320,20,195,20,20,20,20,20,19,19,19,20,20,20
abohling,339,20,200,20,20,20,20,20,20,20,20,20,20,20
abojczuk,340,20,200,20,20,20,20,20,20,20,20,20,20,20
abotero,340,20,198,20,20,20,20,20,20,20,20,20,20,20
aboyd2,320,20,200,20,20,20,20,20,20,20,20,20,0,20
abriggs3,340,20,200,20,20,20,20,20,20,20,20,20,20,20
acastano,340,20,200,20,20,20,20,20,20,20,20,20,20,20
acatao,340,20,200,20,0,20,20,20,20,20,20,20,20,0
acavuto,320,20,190,20,20,20,20,20,20,20,20,20,20,20
aclark13,307,20,200,20,20,20,20,20,20,20,20,20,20,20
aclaured,,,0,,,20,20,,,20,,,,
