student_assignment_grade,struc0,struc1,struc2,struc3
student1_Prompt2_1.0,0,2,0,22
student1_Prompt5_1.0,0,5,0,9
student1_Prompt6_1.0,1,1,0,6
student1_Capstone_1.0,1,0,0,5
student1_Prompt4_1.0,0,0,0,6
student1_Prompt9_1.0,1,3,0,9
student1_Prompt3_1.0,0,2,1,13
student1_Integration3_0.9,0,2,0,16
student1_Prompt11_1.0,0,2,0,12
student1_Prompt10_1.0,1,4,0,13
student1_Prompt7_1.0,0,1,0,10
student1_Prompt8_1.0,0,1,0,8
student2_Prompt2_1.0,0,1,0,4
student2_Prompt5_1.0,0,1,0,7
student2_Prompt6_1.0,1,1,0,6
student2_Capstone_1.0,1,1,0,10
student2_Prompt4_1.0,0,1,0,7
student2_Prompt9_1.0,1,1,0,10
student2_Prompt3_1.0,0,3,0,9
student2_Integration3_1.0,0,4,0,16
student2_Prompt11_1.0,0,1,0,10
student2_Prompt10_1.0,0,3,0,10
student2_Prompt7_1.0,0,1,0,5
student2_Prompt8_1.0,0,1,0,7
student3_Prompt2_1.0,0,1,0,18
student3_Prompt5_1.0,0,4,1,12
student3_Prompt6_1.0,1,1,0,8
student3_Capstone_1.0,0,0,0,6
student3_Prompt4_1.0,0,1,0,10
student3_Prompt9_1.0,0,2,0,12
student3_Prompt3_1.0,0,1,1,9
student3_Integration3_1.0,1,0,0,7
student3_Prompt11_1.0,1,2,0,14
student3_Prompt10_1.0,0,0,0,4
student3_Prompt7_1.0,0,1,0,7
student3_Prompt8_1.0,0,2,0,13
student4_Prompt2_1.0,0,1,0,4
student4_Prompt5_1.0,0,2,0,14
student4_Prompt6_1.0,1,1,0,8
student4_Capstone_0.9,0,0,0,11
student4_Prompt4_1.0,0,1,0,15
student4_Prompt9_1.0,1,2,0,10
student4_Prompt3_1.0,0,1,0,7
student4_Integration3_0.9,1,0,0,17
student4_Prompt11_1.0,2,4,0,8
student4_Prompt10_1.0,0,1,0,8
student4_Prompt7_1.0,0,1,0,11
student4_Prompt8_1.0,0,1,0,12
student5_Prompt4_1.0,0,2,0,16
student5_Prompt9_1.0,0,1,0,5
student5_Prompt3_1.0,0,1,0,2
student5_Prompt6_1.0,1,1,0,5
student5_Integration3_1.0,2,3,0,30
student5_Prompt5_1.0,0,3,0,8
student5_Prompt10_1.0,0,4,0,16
student5_Prompt2_1.0,0,2,0,11
student5_Capstone_1.0,2,6,0,17
student5_Prompt7_1.0,0,1,0,10
student5_Prompt8_1.0,0,1,0,9
student6_Prompt2_1.0,0,1,0,19
student6_Prompt5_1.0,0,2,0,19
student6_Prompt6_1.0,1,3,0,13
student6_Capstone_1.0,4,0,0,12
student6_Prompt4_1.0,0,2,0,9
student6_Prompt9_1.0,0,4,0,12
student6_Prompt3_1.0,0,1,0,13
student6_Integration3_1.0,0,1,0,28
student6_Prompt11_1.0,1,2,0,9
student6_Prompt10_1.0,0,1,0,22
student6_Prompt7_1.0,1,2,0,34
student6_Prompt8_1.0,0,1,0,10
student7_Prompt2_1.0,0,1,0,6
student7_Prompt5_1.0,0,2,0,12
student7_Prompt6_1.0,1,1,0,6
student7_Capstone_1.0,0,0,0,8
student7_Prompt4_1.0,0,3,0,11
student7_Prompt9_1.0,0,5,0,21
student7_Prompt3_1.0,0,2,0,7
student7_Integration3_1.0,0,3,0,22
student7_Prompt11_1.0,2,3,0,14
student7_Prompt10_1.0,2,2,0,8
student7_Prompt7_1.0,0,1,0,7
student7_Prompt8_1.0,0,1,0,6
student8_Prompt2_1.0,0,3,0,11
student8_Prompt5_1.0,0,1,0,5
student8_Prompt6_1.0,1,1,0,8
student8_Capstone_1.0,1,0,0,8
student8_Prompt4_1.0,0,1,0,10
student8_Prompt9_1.0,1,2,0,14
student8_Prompt3_1.0,1,0,0,3
student8_Integration3_1.0,0,5,0,22
student8_Prompt11_1.0,1,0,0,2
student8_Prompt10_1.0,0,2,0,8
student8_Prompt7_1.0,0,1,0,4
student8_Prompt8_1.0,0,1,0,12
student9_Prompt4_1.0,0,5,0,16
student9_Prompt9_1.0,3,5,0,29
student9_Prompt3_1.0,0,1,0,2
student9_Prompt6_1.0,0,1,0,4
student9_Integration3_0.9,2,6,0,35
student9_Prompt5_1.0,0,1,0,5
student9_Prompt11_1.0,2,2,0,30
student9_Prompt10_1.0,0,1,0,2
student9_Prompt2_1.0,0,2,0,29
student9_Prompt7_1.0,1,1,0,12
student9_Prompt8_1.0,0,1,0,11
student10_Prompt4_1.0,0,1,0,18
student10_Prompt9_1.0,0,2,0,8
student10_Prompt3_1.0,0,2,1,8
student10_Prompt6_1.0,1,1,0,4
student10_Integration3_1.0,0,3,0,22
student10_Prompt5_1.0,0,2,0,8
student10_Prompt10_1.0,0,0,0,2
student10_Prompt2_1.0,0,4,0,17
student10_Prompt7_1.0,0,3,0,11
student10_Prompt8_1.0,0,2,0,17
student11_Prompt2_1.0,0,2,0,10
student11_Prompt5_1.0,0,1,0,9
student11_Prompt6_1.0,0,4,0,20
student11_Capstone_1.0,0,0,0,9
student11_Prompt4_1.0,0,1,0,3
student11_Prompt9_1.0,0,1,0,10
student11_Prompt3_1.0,0,3,0,4
student11_Integration3_1.0,0,1,0,2
student11_Prompt11_0.0,1,2,0,10
student11_Prompt10_1.0,0,2,0,11
student11_Prompt7_1.0,1,1,0,6
student11_Prompt8_1.0,0,1,0,9
student12_Prompt2_1.0,0,1,0,11
student12_Prompt5_1.0,0,2,0,4
student12_Prompt6_1.0,2,3,0,12
student12_Capstone_1.0,0,0,0,3
student12_Prompt4_1.0,0,2,0,7
student12_Prompt9_1.0,0,2,0,6
student12_Prompt3_1.0,0,2,1,9
student12_Integration3_1.0,0,1,0,10
student12_Prompt11_0.0,0,4,0,26
student12_Prompt10_1.0,0,3,0,8
student12_Prompt7_1.0,0,1,0,9
student12_Prompt8_1.0,0,3,0,8
student13_Prompt2_1.0,0,3,0,10
student13_Prompt5_1.0,0,1,0,9
student13_Prompt6_1.0,0,3,0,7
student13_Capstone_1.0,4,2,0,21
student13_Prompt4_1.0,0,1,0,3
student13_Prompt9_1.0,0,1,0,7
student13_Prompt3_1.0,0,1,0,4
student13_Integration3_1.0,0,4,0,19
student13_Prompt11_1.0,0,1,0,6
student13_Prompt10_1.0,0,4,0,11
student13_Prompt7_1.0,2,1,0,15
student13_Prompt8_1.0,0,1,0,11
student14_Prompt4_1.0,0,2,0,9
student14_Prompt9_1.0,2,2,0,18
student14_Prompt3_1.0,1,1,0,22
student14_Prompt6_1.0,1,1,0,8
student14_Integration3_1.0,0,1,0,5
student14_Prompt5_1.0,0,3,0,11
student14_Prompt10_1.0,0,1,0,13
student14_Prompt2_1.0,0,2,0,19
student14_Capstone_1.0,0,0,0,9
student14_Prompt7_1.0,0,1,0,3
student14_Prompt8_1.0,0,1,0,4
student15_Prompt4_1.0,0,1,0,10
student15_Prompt9_1.0,1,3,0,16
student15_Prompt3_1.0,0,1,0,3
student15_Prompt6_1.0,0,1,0,2
student15_Integration3_0.9,0,2,0,12
student15_Prompt5_1.0,0,1,0,8
student15_Prompt10_1.0,0,0,0,11
