student_assignment_grade,struc0,struc1,struc10,struc11,struc12,struc13,struc2,struc3,struc4,struc5,struc6,struc7,struc8,struc9
student1_Prompt5_1.0,5,2,4,0,0,0,0,0,1,0,0,0,0,0
student1_Capstone_1.0,20,11,0,0,2,0,7,0,12,0,1,4,0,0
student1_Prompt7_1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
student1_Prompt9_1.0,4,2,0,0,0,0,0,0,1,0,0,1,9,0
student1_Prompt6_1.0,4,0,0,0,0,0,1,0,1,0,0,0,0,0
student1_Prompt10_1.0,8,5,0,0,0,0,0,0,0,0,0,0,0,0
student1_Prompt3_1.0,4,3,0,0,0,0,0,0,0,0,2,2,0,0
student1_Integration3_0.9,4,1,2,0,0,0,3,0,5,0,0,0,0,0
student1_Prompt4_1.0,11,3,0,0,0,0,2,0,13,0,0,2,0,0
student1_Prompt2_1.0,15,4,0,0,0,0,9,0,2,5,0,0,0,0
student1_Prompt8_1.0,7,3,0,0,0,0,3,0,0,0,0,2,0,0
student2_Prompt7_1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
student2_Prompt9_1.0,15,3,0,0,0,0,1,0,1,0,0,0,8,0
student2_Prompt6_1.0,3,1,0,0,3,0,0,0,4,0,0,0,0,0
student2_Prompt10_1.0,3,8,0,0,0,0,0,0,1,0,0,1,0,0
student2_Prompt4_1.0,5,2,0,0,0,0,0,0,6,0,0,0,0,0
student2_Prompt8_1.0,8,2,0,0,0,0,1,5,0,0,0,0,0,0
student2_Prompt5_1.0,9,3,5,0,0,0,2,0,3,0,0,0,0,0
student2_Capstone_0.9,12,4,0,0,0,0,4,0,3,0,0,0,0,0
student2_Prompt2_0.0,15,8,0,0,0,0,11,0,5,6,0,2,0,0
student2_Prompt3_1.0,6,3,0,0,0,0,0,0,1,0,4,1,0,0
student2_Prompt11_1.0,3,0,0,0,0,0,2,0,1,0,0,0,0,0
student2_Integration3_1.0,10,1,1,0,0,0,2,0,4,0,0,0,0,0
student3_Prompt5_1.0,6,0,3,0,0,0,0,0,1,0,0,1,0,0
student3_Capstone_1.0,38,13,1,0,0,0,6,2,9,2,0,1,2,0
student3_Prompt7_1.0,10,0,0,0,0,0,2,5,1,0,0,0,0,0
student3_Prompt9_1.0,7,1,0,0,0,0,0,0,0,0,0,0,2,0
student3_Prompt6_1.0,6,0,0,0,1,0,0,0,2,0,0,0,0,0
student3_Prompt10_1.0,15,5,0,0,0,0,0,0,0,0,0,0,5,0
student3_Prompt3_1.0,4,0,0,0,0,0,1,0,1,0,0,0,0,0
student3_Integration3_1.0,25,3,1,0,0,0,3,0,6,1,0,0,0,0
student3_Prompt4_1.0,12,2,0,0,0,0,2,0,6,0,1,1,0,0
student3_Prompt2_1.0,18,1,0,0,0,0,8,0,3,0,0,1,0,0
student3_Prompt8_1.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
student4_Prompt5_1.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
student4_Prompt4_1.0,10,3,0,0,0,0,2,0,1,0,2,1,0,0
student4_Prompt7_1.0,10,1,0,0,0,0,0,0,3,0,0,0,0,0
student4_Prompt2_0.2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
student4_Prompt6_1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
student4_Prompt10_1.0,23,3,0,3,0,0,2,0,0,0,0,0,0,0
student4_Prompt3_1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
student4_Integration3_0.9,25,2,4,0,0,0,4,0,10,0,0,0,0,0
student4_Prompt11_1.0,9,5,0,0,0,0,1,0,0,0,0,0,0,0
