student_assignment_grade,struc0,struc1,struc10,struc11,struc12,struc13,struc14,struc15,struc2,struc3,struc4,struc5,struc6,struc7,struc8,struc9
student1_Capstone_1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6
student1_ePortfolio_Link_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
student1_Prompt5_1.0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2
student1_Prompt6_1.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
student1_Prompt10_1.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
student1_Prompt9_1.0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,4
student1_Prompt2_1.0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,5
student1_Prompt3_1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
student1_Prompt4_1.0,0,0,0,0,0,0,4,1,0,0,0,0,3,0,0,6
student1_Prompt8_1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3
student1_Prompt7_1.0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,2
student1_Integration3_1.0,3,1,2,0,0,0,0,3,0,0,0,2,0,0,0,9
student2_Capstone_1.0,2,0,0,0,0,0,0,3,0,0,1,2,2,0,0,6
student2_ePortfolio_Link_1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
student2_Prompt5_1.0,0,0,4,0,0,0,4,1,0,0,0,0,3,0,0,7
student2_Prompt6_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
student2_Prompt10_1.0,1,0,0,0,0,4,0,0,0,0,0,8,0,0,0,3
student2_Prompt9_1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,5
student2_Prompt2_0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
student2_Prompt3_0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
student2_Prompt4_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
student2_Prompt8_1.0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,3
student2_Prompt7_1.0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4
student2_Integration3_0.9,2,0,5,0,0,0,5,2,0,0,0,3,0,0,0,5
student3_Capstone_0.9,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,5
student3_ePortfolio_Link_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
student3_Prompt5_1.0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4
student3_Prompt6_1.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
student3_Prompt10_1.0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,7
student3_Prompt9_1.0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8
student3_Prompt2_1.0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,8
student3_Prompt3_1.0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,4
student3_Prompt4_1.0,2,0,0,0,0,0,8,0,0,0,0,2,2,0,0,8
student3_Prompt8_1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4
student3_Prompt7_1.0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,4
student3_Integration3_0.9,2,2,0,0,0,0,0,1,4,0,0,1,0,0,0,9
student4_Capstone_1.0,0,0,0,0,0,0,0,1,0,1,1,0,4,2,0,4
student4_ePortfolio_Link_1.0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,9
student4_Prompt5_1.0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4
student4_Prompt6_1.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
student4_Prompt10_1.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2
student4_Prompt9_1.0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
student4_Prompt2_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
student4_Prompt3_1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2
student4_Prompt4_1.0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,2
student4_Prompt8_1.0,3,0,0,3,0,0,0,1,0,0,0,3,0,0,5,4
student4_Prompt7_1.0,1,0,0,1,8,0,0,0,0,0,0,1,0,0,0,4
student4_Integration3_1.0,1,0,0,0,0,0,0,4,0,0,0,0,4,0,0,6
student5_Capstone_1.0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,4
student5_ePortfolio_Link_1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
student5_Prompt5_1.0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,4
student5_Prompt6_1.0,1,0,0,0,5,0,0,1,0,5,0,1,0,0,0,3
student5_Prompt10_1.0,0,0,0,0,0,6,0,1,0,0,0,1,0,0,0,4
student5_Prompt9_1.0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2
student5_Prompt2_1.0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,6
student5_Prompt3_1.0,2,0,0,0,0,0,0,0,0,0,0,3,7,0,0,2
student5_Prompt4_1.0,0,0,0,0,0,0,6,0,0,0,0,1,3,0,0,2
student5_Prompt8_1.0,1,0,0,3,0,0,0,3,0,0,0,1,2,0,6,3
student5_Prompt7_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
student5_Integration3_1.0,3,0,4,0,0,0,3,3,2,0,0,3,1,0,0,8
student6_Capstone_1.0,1,0,0,0,0,4,0,2,0,0,1,1,0,0,0,5
student6_ePortfolio_Link_1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
student6_Prompt5_1.0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,4
student6_Prompt6_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
