student_assignment_grade,struc0,struc1,struc2,struc3
student1_Capstone_1.0,1,0,4,8
student1_Prompt7_1.0,1,2,2,8
student1_Prompt2_1.0,2,0,6,11
student1_Prompt5_1.0,1,2,1,13
student1_Prompt8_1.0,1,1,1,8
student1_Prompt3_1.0,0,2,0,6
student1_Prompt4_1.0,1,1,2,19
student1_Prompt6_1.0,2,1,2,13
student1_Integration3_1.0,4,0,3,28
student1_Prompt10_1.0,1,4,1,12
student2_Capstone_1.0,2,2,11,17
student2_Prompt7_1.0,2,2,1,11
student2_Prompt5_1.0,0,2,1,10
student2_Prompt4_1.0,1,0,1,13
student2_Prompt3_1.0,0,0,0,10
student2_Prompt6_1.0,0,1,2,7
student2_Prompt10_1.0,0,0,0,5
student3_Prompt9_1.0,2,1,0,14
student3_Prompt2_1.0,3,3,9,27
student3_Prompt5_1.0,0,2,1,11
student3_Prompt7_1.0,2,6,0,17
student3_Prompt3_1.0,1,1,2,8
student3_Prompt8_1.0,3,1,2,12
student3_Prompt4_1.0,1,2,2,12
student3_Integration3_1.0,1,1,7,24
student4_Capstone_1.0,6,6,7,19
student4_Prompt7_1.0,0,3,2,16
student4_Prompt2_1.0,1,0,6,17
student4_Prompt5_1.0,1,1,0,6
student4_Prompt9_1.0,0,3,2,13
student4_Prompt3_1.0,1,3,1,9
student4_Prompt11_1.0,2,2,2,8
student4_Prompt8_1.0,1,1,1,7
student4_Prompt4_1.0,1,3,2,19
student4_Prompt10_1.0,1,2,1,5
student4_Integration3_1.0,2,5,3,21
student5_Capstone_1.0,3,3,8,12
student5_Prompt7_1.0,2,3,5,22
student5_Prompt2_1.0,1,0,1,7
student5_Prompt5_1.0,1,2,1,21
student5_Prompt8_1.0,2,1,2,13
student5_Prompt3_1.0,1,2,2,14
student5_Prompt4_1.0,1,2,1,11
student5_Prompt6_1.0,0,1,1,8
student5_Integration3_1.0,2,1,2,14
student5_Prompt10_1.0,0,0,0,5
student6_Capstone_1.0,1,0,6,16
student6_Prompt7_1.0,0,0,0,2
student6_Prompt2_1.0,0,0,0,2
student6_Prompt8_1.0,1,4,3,16
student6_Prompt3_1.0,3,5,4,19
student6_Prompt11_1.0,3,1,3,8
student6_Prompt4_1.0,0,1,1,8
student7_Prompt9_1.0,0,2,1,11
student7_Prompt2_1.0,0,0,1,3
student7_Prompt5_1.0,1,1,1,11
student7_Prompt7_1.0,0,2,1,13
student7_Integration3_1.0,0,1,1,12
student7_Prompt11_1.0,2,1,1,9
student7_Prompt8_1.0,1,0,1,8
student7_Prompt4_1.0,1,2,2,14
student7_Prompt6_1.0,2,2,2,19
student7_Prompt10_1.0,1,1,3,8
student8_Prompt9_0.5,2,1,0,7
student8_Prompt5_1.0,1,3,2,23
student8_Prompt7_1.0,3,7,5,21
student8_Integration3_1.0,1,1,3,16
student8_Prompt11_1.0,0,0,2,8
student8_Prompt8_1.0,3,2,2,13
student8_Prompt4_1.0,5,7,1,18
student8_Prompt6_1.0,1,4,1,14
student8_Prompt10_1.0,0,0,0,5
student9_Capstone_1.0,2,1,7,13
student9_Prompt7_1.0,0,2,3,9
student9_Prompt2_1.0,3,0,5,10
student9_Prompt5_1.0,0,2,0,6
student9_Prompt8_1.0,2,1,2,8
student9_Prompt3_1.0,0,0,2,4
student9_Prompt11_1.0,3,4,3,7
student9_Prompt4_1.0,2,4,2,19
student9_Prompt10_1.0,3,2,1,8
student9_Integration3_1.0,3,1,10,20
student10_Capstone_1.0,7,4,3,13
student10_Prompt7_1.0,1,2,0,6
student10_Prompt2_1.0,1,0,10,17
student10_Prompt5_1.0,3,4,4,14
student10_Prompt9_1.0,0,0,0,3
student10_Integration3_1.0,5,4,2,26
student10_Prompt11_1.0,2,3,1,7
student10_Prompt8_1.0,0,0,0,6
student10_Prompt4_1.0,4,4,1,9
student10_Prompt6_1.0,0,1,0,5
student10_Prompt10_1.0,0,0,0,2
student11_Capstone_1.0,3,1,4,9
student11_Prompt7_1.0,1,3,0,9
student11_Prompt2_1.0,3,1,5,10
student11_Prompt5_1.0,1,3,1,11
student11_Prompt9_1.0,2,2,1,10
student11_Prompt3_1.0,0,0,2,4
student11_Prompt8_1.0,0,3,3,9
student11_Prompt4_1.0,0,0,0,3
student11_Prompt10_1.0,2,4,1,12
student11_Integration3_1.0,0,0,0,2
student12_Capstone_1.0,6,3,6,16
student12_Prompt8_1.0,3,4,4,24
student12_Prompt5_1.0,3,7,3,23
student12_Prompt3_1.0,4,5,1,10
student12_Prompt11_1.0,1,4,1,9
student12_Prompt2_1.0,3,2,11,44
student12_Prompt6_1.0,1,4,2,13
student12_Integration3_1.0,3,1,0,18
student12_Prompt10_1.0,4,4,7,26
student13_Capstone_1.0,2,1,4,7
student13_Prompt7_1.0,0,2,0,8
student13_Prompt2_1.0,3,2,6,12
student13_Prompt5_1.0,0,2,1,11
student13_Prompt9_1.0,3,3,3,14
student13_Prompt3_1.0,4,4,1,14
student13_Prompt4_1.0,1,2,1,13
student13_Prompt6_1.0,0,1,0,10
student13_Prompt10_1.0,1,3,3,10
student14_Capstone_1.0,4,5,8,15
student14_Prompt7_1.0,2,2,1,14
student14_Prompt2_1.0,2,1,9,12
student14_Prompt9_1.0,0,0,0,7
student14_Prompt3_1.0,0,0,1,15
student14_Prompt8_1.0,1,0,1,14
student14_Prompt4_1.0,1,4,1,15
student14_Prompt6_1.0,0,1,1,6
student14_Integration3_1.0,2,1,6,25
student14_Prompt10_1.0,3,5,2,17
student15_Prompt7_1.0,1,2,4,11
student15_Prompt5_1.0,3,2,1,22
student15_Prompt8_1.0,1,0,4,14
student15_Prompt3_1.0,1,2,1,6
student15_Prompt2_1.0,9,3,16,30
student15_Prompt6_1.0,0,2,2,17
student15_Integration3_1.0,1,0,2,14
student15_Prompt10_1.0,4,4,3,15
student16_Capstone_0.9,2,1,4,10
student16_Prompt7_1.0,0,0,0,5
student16_Prompt9_1.0,0,2,1,9
student16_Prompt3_1.0,0,0,0,8
student16_Prompt11_1.0,0,0,0,6
student16_Prompt6_1.0,0,2,0,6
student16_Prompt8_1.0,4,3,2,12
student16_Prompt5_1.0,2,1,1,11
student16_Prompt4_1.0,1,3,1,12
student16_Prompt2_1.0,1,0,3,6
student16_Prompt10_1.0,1,1,1,7
student16_Integration3_0.9,1,0,0,15
student17_Capstone_0.0,2,1,2,7
student17_Prompt7_1.0,1,2,2,10
student17_Prompt5_1.0,3,1,2,12
student17_Prompt9_1.0,4,3,3,20
student17_Prompt3_1.0,1,2,3,14
student17_Prompt8_1.0,7,5,5,21
student17_Prompt4_1.0,2,2,3,16
student17_Prompt10_1.0,2,3,1,10
student17_Integration3_0.9,1,0,2,13
student18_Capstone_1.0,2,1,4,10
student18_Prompt7_1.0,1,3,4,13
student18_Prompt2_1.0,1,1,2,12
student18_Prompt5_1.0,2,6,0,17
student18_Prompt9_1.0,4,3,2,14
student18_Integration3_1.0,1,0,0,9
student18_Prompt8_1.0,2,2,1,13
student18_Prompt4_1.0,0,1,1,7
student18_Prompt6_1.0,1,2,1,7
student18_Prompt10_1.0,2,4,2,11
student19_Capstone_1.0,3,1,6,15
student19_Prompt7_1.0,1,2,0,9
student19_Prompt2_1.0,1,1,3,8
student19_Prompt5_1.0,0,3,1,17
student19_Prompt9_1.0,3,1,3,17
student19_Integration3_1.0,2,1,2,19
student19_Prompt11_1.0,1,2,4,15
student19_Prompt8_1.0,1,0,1,11
student19_Prompt4_1.0,0,1,0,9
student19_Prompt6_1.0,1,2,3,16
student19_Prompt10_1.0,1,1,1,10
student20_Prompt9_1.0,7,4,5,33
student20_Prompt5_1.0,5,7,6,31
student20_Prompt3_1.0,6,4,3,31
student20_Prompt11_1.0,0,0,0,2
student20_Prompt6_1.0,0,0,0,6
student20_Integration3_0.9,0,0,0,2
student20_Prompt10_1.0,0,0,0,4
student21_Capstone_1.0,0,0,0,1
student21_Prompt7_1.0,1,3,0,11
student21_Prompt2_1.0,0,1,3,8
student21_Prompt5_1.0,0,2,1,10
student21_Prompt8_1.0,1,0,1,6
student21_Prompt3_1.0,0,2,0,7
student21_Prompt4_1.0,1,0,1,14
student21_Prompt6_1.0,0,2,2,15
student21_Integration3_0.9,0,2,4,22
student21_Prompt10_1.0,4,3,3,16
student22_Capstone_0.9,6,6,7,16
student22_Prompt7_1.0,1,2,2,12
student22_Prompt2_1.0,4,2,9,24
student22_Prompt5_1.0,1,3,0,9
student22_Prompt9_1.0,0,0,1,11
student22_Prompt3_1.0,0,0,2,6
student22_Prompt8_1.0,0,0,0,5
student22_Prompt4_1.0,0,0,0,5
student22_Prompt6_1.0,0,2,1,15
student22_Integration3_1.0,2,2,2,24
student22_Prompt10_1.0,2,1,0,8
student23_Prompt9_1.0,6,2,4,25
student23_Prompt2_1.0,5,1,8,9
student23_Prompt5_1.0,1,3,2,15
student23_Prompt7_1.0,1,2,2,10
student23_Prompt3_1.0,1,2,1,16
student23_Prompt11_1.0,3,5,3,21
student23_Prompt8_1.0,2,1,2,12
student23_Prompt4_1.0,0,1,2,7
student23_Integration3_1.0,4,1,2,16
student24_Prompt9_1.0,0,0,1,9
student24_Prompt2_1.0,2,2,5,9
student24_Prompt7_1.0,0,3,1,14
student24_Integration3_0.9,5,4,11,33
student24_Prompt11_1.0,2,1,1,10
student24_Prompt8_1.0,2,2,2,14
student24_Prompt4_1.0,3,0,2,11
student24_Prompt6_1.0,0,1,1,8
student24_Prompt10_1.0,0,2,0,11
student25_Capstone_1.0,2,1,2,11
student25_Prompt9_1.0,0,0,0,2
student25_Prompt3_1.0,0,0,0,3
student25_Prompt2_1.0,0,0,0,5
student25_Prompt6_1.0,0,0,0,5
student25_Prompt10_1.0,2,7,3,16
student26_Capstone_1.0,7,6,10,25
student26_Prompt7_1.0,0,3,2,8
student26_Prompt2_1.0,0,0,0,5
student26_Prompt5_1.0,2,2,2,8
student26_Prompt9_1.0,0,4,1,9
student26_Prompt3_1.0,0,0,0,8
student26_Prompt11_1.0,2,1,1,7
student26_Prompt8_1.0,1,1,2,14
student26_Prompt4_1.0,2,2,1,8
student26_Prompt6_1.0,0,2,0,6
student26_Integration3_1.0,6,6,7,31
student27_Capstone_1.0,3,6,4,18
student27_Prompt7_1.0,0,2,1,8
student27_Prompt2_1.0,0,0,0,5
student27_Prompt5_1.0,1,1,0,13
student27_Prompt9_1.0,0,3,3,10
student27_Prompt3_1.0,1,1,0,5
student27_Prompt4_1.0,2,3,3,16
student27_Prompt6_1.0,0,1,0,8
student27_Integration3_1.0,6,1,4,32
student27_Prompt10_1.0,2,4,2,12
student28_Capstone_1.0,5,4,6,19
student28_Prompt7_1.0,2,5,4,21
student28_Prompt2_1.0,1,0,3,7
student28_Prompt5_1.0,2,3,2,9
student28_Prompt9_1.0,2,2,2,15
student28_Prompt3_1.0,0,0,0,5
student28_Prompt11_1.0,0,0,0,5
student28_Prompt4_1.0,4,5,1,9
student28_Prompt10_1.0,1,1,1,12
student28_Integration3_1.0,10,6,13,46
student29_Capstone_0.9,1,0,3,8
student29_Prompt7_1.0,1,5,1,12
student29_Prompt6_1.0,0,1,4,13
student29_Prompt3_1.0,0,0,0,2
student29_Prompt9_1.0,0,2,1,10
student30_Capstone_1.0,1,0,4,10
student30_Prompt7_1.0,0,2,1,8
student30_Prompt5_1.0,2,2,2,7
student30_Prompt8_1.0,1,0,1,8
student30_Prompt3_1.0,0,0,0,2
student30_Prompt11_1.0,2,2,2,7
student30_Prompt6_1.0,3,4,6,22
student30_Integration3_1.0,2,2,2,22
student30_Prompt10_1.0,0,0,0,2
student31_Prompt8_1.0,1,2,0,12
student31_Prompt2_1.0,1,1,3,9
student31_Prompt9_1.0,3,2,3,9
student31_Integration3_1.0,2,3,6,26
student31_Prompt11_1.0,0,3,1,6
student31_Prompt4_1.0,2,3,1,9
student31_Prompt6_1.0,0,0,0,3
student32_Capstone_1.0,0,1,1,8
student32_Prompt7_1.0,2,6,3,14
student32_Prompt9_1.0,0,2,1,9
student32_Prompt3_1.0,0,1,0,9
student32_Prompt8_1.0,1,0,1,8
student32_Prompt2_1.0,0,0,1,5
student32_Prompt6_1.0,0,0,0,2
student33_Prompt9_1.0,0,0,0,6
student33_Prompt5_1.0,3,2,1,16
student33_Prompt4_1.0,1,3,0,8
student33_Prompt3_1.0,0,0,0,2
student33_Prompt2_1.0,2,2,4,9
student33_Prompt6_1.0,4,6,8,36
student33_Integration3_1.0,2,4,1,17
student33_Prompt10_1.0,3,4,4,15
student34_Prompt7_1.0,0,0,1,5
student34_Prompt5_1.0,0,0,0,4
student34_Prompt8_1.0,1,4,1,8
student34_Prompt3_1.0,0,0,0,2
student34_Prompt6_1.0,2,2,5,25
student34_Integration3_1.0,0,3,4,16
student34_Prompt10_1.0,2,1,0,7
student35_Capstone_1.0,6,7,3,26
student35_Prompt8_1.0,3,6,4,13
student35_Prompt9_1.0,0,0,0,3
student35_Prompt3_1.0,0,0,0,6
student35_Prompt2_1.0,0,1,1,4
student35_Prompt6_1.0,0,0,0,7
student35_Integration3_1.0,6,9,18,45
student36_Prompt7_1.0,0,3,4,9
student36_Prompt2_1.0,0,0,0,4
student36_Prompt5_1.0,1,2,0,9
student36_Prompt8_1.0,4,2,4,15
student36_Prompt3_1.0,0,1,3,13
student36_Prompt4_1.0,0,1,1,9
student36_Prompt6_1.0,1,3,1,12
student36_Integration3_1.0,7,8,9,34
student36_Prompt10_1.0,1,1,1,4
student37_Capstone_1.0,6,2,14,24
student37_Prompt7_1.0,1,7,6,28
student37_Prompt5_1.0,1,1,1,11
student37_Prompt9_1.0,1,2,2,15
student37_Integration3_1.0,5,2,9,23
student37_Prompt8_0.8,2,0,2,12
student37_Prompt4_1.0,1,1,1,5
student37_Prompt10_1.0,1,1,4,18
student38_Prompt7_1.0,0,2,1,10
student38_Prompt5_1.0,1,1,0,10
student38_Prompt8_1.0,1,1,1,10
student38_Integration3_1.0,2,3,8,21
student38_Prompt1_1.0,0,0,1,8
student38_Prompt4_1.0,4,7,2,16
student38_Prompt6_1.0,1,1,1,7
student38_Prompt10_1.0,0,0,0,7
student39_Capstone_0.9,5,5,7,14
student39_Prompt7_1.0,1,5,1,10
student39_Prompt2_1.0,2,1,6,20
student39_Prompt5_1.0,3,2,1,13
student39_Prompt9_1.0,2,2,0,10
student39_Prompt3_1.0,0,0,0,2
student39_Prompt8_1.0,0,0,0,5
student39_Prompt4_1.0,1,3,0,11
student39_Prompt6_1.0,0,0,0,3
student39_Prompt10_1.0,2,1,0,9
student40_Capstone_1.0,6,6,10,30
student40_Prompt8_1.0,3,4,2,11
student40_Prompt2_1.0,0,0,3,4
student40_Prompt5_1.0,0,0,0,7
student40_Prompt9_1.0,2,2,0,7
student40_Prompt3_1.0,0,0,0,2
student40_Prompt11_1.0,3,3,0,8
student40_Prompt4_1.0,1,4,1,13
student40_Prompt6_1.0,0,1,1,6
student40_Integration3_1.0,5,4,1,34
student40_Prompt10_1.0,3,2,1,10
student41_Capstone_1.0,3,1,10,29
student41_Prompt7_1.0,2,7,4,31
student41_Prompt2_1.0,0,0,0,8
student41_Prompt5_1.0,2,2,3,15
student41_Prompt9_1.0,3,3,2,13
student41_Prompt3_1.0,3,2,2,15
student41_Prompt11_1.0,1,1,3,16
student41_Prompt4_1.0,7,4,2,17
student41_Prompt6_1.0,0,0,0,2
student41_Prompt10_1.0,2,5,6,20
student42_Capstone_1.0,0,0,4,6
student42_Prompt7_1.0,0,2,1,8
student42_Prompt9_1.0,3,1,2,9
student42_Prompt3_1.0,0,0,2,4
student42_Prompt11_1.0,3,4,3,14
student42_Prompt6_1.0,1,1,1,10
student42_Prompt8_1.0,1,0,1,9
student42_Prompt5_1.0,3,3,1,12
student42_Prompt4_1.0,0,0,0,5
student42_Prompt2_1.0,1,0,7,10
student42_Prompt10_1.0,2,4,7,16
student42_Integration3_1.0,2,2,4,23
student43_Capstone_1.0,9,8,13,21
student43_Prompt7_1.0,2,2,2,10
student43_Prompt5_1.0,2,3,2,11
student43_Prompt9_1.0,1,3,2,6
student43_Prompt11_1.0,2,2,4,10
student43_Prompt8_1.0,4,3,6,16
student43_Prompt4_1.0,3,2,3,13
student44_Capstone_0.9,4,4,4,12
student44_Prompt7_1.0,0,1,0,4
student44_Prompt5_1.0,2,1,0,11
student44_Prompt9_1.0,0,2,2,10
student44_Prompt3_1.0,0,1,0,5
student44_Prompt8_1.0,2,2,3,14
student44_Prompt4_1.0,0,2,1,11
student44_Prompt6_1.0,0,1,1,8
student44_Integration3_0.9,1,0,0,14
student44_Prompt10_1.0,1,1,2,8
student45_Prompt9_1.0,4,7,3,22
student45_Prompt2_1.0,1,1,1,8
student45_Prompt5_0.0,2,3,2,10
student45_Prompt7_1.0,1,2,0,10
student45_Prompt3_1.0,1,2,2,8
student45_Prompt8_1.0,1,0,5,14
student45_Prompt4_1.0,2,3,4,13
student45_Prompt6_1.0,0,1,1,10
student45_Integration3_1.0,0,0,5,19
student45_Prompt10_1.0,1,1,1,5
student46_Capstone_1.0,2,4,1,5
student46_Prompt7_1.0,2,4,1,13
student46_Prompt9_1.0,0,1,1,7
student46_Prompt3_1.0,1,2,1,6
student46_Prompt8_1.0,2,2,3,13
student46_Prompt6_1.0,3,2,3,17
student46_Prompt10_1.0,2,2,2,8
student47_Capstone_0.9,8,4,8,23
student47_Prompt7_1.0,4,2,2,17
student47_Prompt2_1.0,1,1,5,14
student47_Prompt5_1.0,0,3,3,14
