source,target,value
82|1000.1003,1000|82,1.0
91|,92|91,1.0
91|,1000|,0.18937644341801385
1001|41,41|,1.0
1000|1002,71|,0.0922242314647378
1000|1002,121|,0.13743218806509946
1000|1002,33|,0.11030741410488246
1000|1002,53|,0.19168173598553345
1000|1002,32|,0.09945750452079566
1000|1002,0|1000.1002,1.0
51|,52|51,1.0
51|,54|,0.14568345323741008
51|,1000|51,1.0
1002|43,43|,1.0
83|81.82,1000|83,1.0
32|1000.1003,1000|32,1.0
112|,1000|112,1.0
112|,113|,0.7937915742793792
1000|1003.1000.11,33|1000.1003,1.0
1000|22,1003|,1.0
0|12,1000|0,1.0
41|43,1000|41,1.0
101|,1000|101,1.0
1000|32,1003|1000.32,1.0
1000|32,1002|1000,0.15677966101694915
1000|43,1003|,1.0
1000|93.92,1003|1000.93.92,1.0
1000|1003.1000.51,53|,1.0
1000|72,1003|,1.0
71|1000.1003,72|71,1.0
123|,122|123,1.0
123|,1000|123,1.0
71|,72|71,0.24752475247524752
71|,1000|71,1.0
33|,1000|33,0.1976401179941003
1000|54,1003|1000.54,1.0
12|11,1000|12,0.6312056737588653
12|11,0|12,0.36879432624113473
42|43,41|42,1.0
1003|1000.32,1000|1003.1000.32,0.4128113879003559
82|,0|82,1.0
82|,1000|82,1.0
82|,81|82,1.0
22|1000,1000|22,1.0
71|72,1000|71,1.0
1000|1003.1000.121,121|,1.0
1000|112,1003|,1.0
103|0,102|103,1.0
113|,1000|113,1.0
113|,111|,0.5951807228915663
0|1000.1003,32|0,0.09408194233687406
0|1000.1003,103|0,0.07738998482549317
0|1000.1003,1000|0.1000,0.7344461305007587
0|1000.1003,82|,0.09408194233687406
124|,1000|124,1.0
1003|1000.11,1000|1003.1000.11,1.0
122|123,124|,1.0
1003|1000.52,1000|1003.1000.52,1.0
42|,1000|42,1.0
42|,1001|42,1.0
42|,43|,0.13122171945701358
42|,41|42,1.0
0|22,1000|0,1.0
1000|42,1003|,1.0
102|,101|,0.6684073107049608
102|,1000|102,1.0
112|1000.1003,113|112.1000.1003,1.0
1000|1003.1000.83,0|1000.1003,1.0
1000|53,1003|1000.53,1.0
1000|53,1002|1000,0.15256797583081572
1003|1000.41,1000|1003.1000.41,0.4697986577181208
52|,1000|52,1.0
52|,51|,0.11419249592169657
52|,54|52,0.7695473251028807
52|,1001|52,1.0
1000|1003,82|1000.1003,1.0
1000|1003,11|,0.01765650080256822
1000|1003,21|1000.1003,1.0
1000|1003,53|,0.12430889958979846
1000|1003,123|1000,0.019439985732120562
1000|1003,112|1000.1003,1.0
1000|1003,52|1000,0.016764758337792045
1000|1003,91|1000,0.0345996076333155
1000|1003,12|1000,0.01462457642232923
1000|1003,32|1000.1003,1.0
1000|1003,72|1000,0.010879258070269307
1000|1003,71|1000.1003,1.0
1000|1003,121|,0.10807918673087212
1000|1003,51|1000.1003,1.0
1000|1003,22|1000,0.01462457642232923
1000|1003,42|1000.1003,1.0
1000|1003,103|1000,0.0392366684501516
1000|1003,81|1000.1003,1.0
1000|1003,0|1000.1003,0.09408194233687406
1000|1003,33|1000.1003,1.0
1000|1003,43|1000.1003,1.0
1000|1003,102|,0.013911182450508293
42|1000.1003,1000|42,1.0
1000|1001,0|1000,0.6839080459770115
1000|1001,53|,0.3160919540229885
0|1000,11|,0.04403318442884493
0|1000,91|,0.047862156987874924
0|1000,32|0,0.07211231652839821
0|1000,82|,0.053605615826419914
0|1000,1000|0.1000,0.8571428571428571
0|1000,71|0,0.042118698149329926
0|1000,112|,0.0408423739629866
0|1000,43|,0.03765156349712827
0|1000,42|,0.03318442884492661
0|1000,103|0,0.04594767070835992
1000|102,1003|,1.0
52|1000,1000|52,1.0
1000|1003.1000.53,71|1000.1003,0.2319277108433735
1000|1003.1000.53,0|1000.1003,0.1716867469879518
1000|1003.1000.53,53|,0.5963855421686747
54|,1000|54,1.0
