23|20 36|23 0.06830309498399147
23|20 40|23.20 1.0
23|20 37|23 0.09284951974386339
23|100.23.100 16|23.100.23.100 1.0
23|100.23.100 2|23.100.23.100 1.0
23|100.23.100 12| 0.09538784067085954
23|100.23.100 4|23.100 0.12264150943396226
23|100.23.100 100|23.100.23.100 1.0
23|100.23.100 24|23.100.23 0.07651991614255765
23|100.23.100 26|23.100 0.05660377358490566
4|0 23|4 0.44623655913978494
4|0 100|4.0 1.0
23|2 40|23.2 1.0
40|23.27 23|40.23.27 0.24759615384615385
40|23.100.7 23|40.23.100.7 1.0
23|40.23.18 100|23.40 1.0
3|23.100.23 30|3.23.100.23 1.0
23|8 40|23.8 1.0
23|8 37|23 0.18211920529801323
1|32.23.100 0|1.32.23.100 1.0
26|2.4 100|26 1.0
36|16 16| 1.0
100|26 23|100.26 1.0
25|9 23|25 1.0
40|23.4 23|40.23.4 0.05071428571428571
1|32.4 0|1 1.0
25|23.15 8|25.23 1.0
37|10 10| 1.0
7|36 100|7 0.4774774774774775
7|36 23|7 0.5225225225225225
23|100.5 40|23.100 1.0
100|31 23|100.31 1.0
21|7.23.40 29|21.7.23.40 1.0
7|29 100|7 0.3728813559322034
7|29 23|7 0.3813559322033898
7|29 36|7 0.2457627118644068
36|32 32|36 1.0
3|23 33| 0.051440329218107
3|23 23|3 0.11419753086419752
3|23 30|3.23 0.0968208092485549
23|40.23.100.4.0 3|23.40 1.0
37|21 21| 1.0
36|26 26| 1.0
36|29 29| 1.0
31|14.5.23.100 23|31 1.0
23|100.24 40|23.100 1.0
20|23.4 23|20.23 1.0
23|100.33 40|23.100.33 1.0
23|15 8|23 0.10215827338129496
23|15 40|23.15 1.0
23|15 100|23.15 1.0
23|15 4|23 0.08776978417266187
23|15 25|23.15 1.0
11|36.11.24 27|11 1.0
4|20 23|4.20 1.0
100|23.40.23.20 23|100.23.40.23.20 1.0
23|100.23.40.23.22 100|23.100 0.30745341614906835
23|100.23.40.23.22 4|23.100.23.40 0.20186335403726707
23|100.23.40.23.22 2|23 0.4906832298136646
18|23.100 23|18 1.0
23|100.4.0 40|23.100.4.0 1.0
100|6 23|100.6 1.0
7|23.40 29|7.23 0.18975332068311196
7|23.40 21|7.23.40 1.0
7|23.40 100|7 0.0967741935483871
7|23.40 23|7 0.1461100569259962
30| 23|30 1.0
30| 37|30 1.0
30| 100|30 1.0
30| 33|30 0.07516650808753568
30| 36|30 1.0
30| 3| 0.07786259541984733
100|23 2|100 0.009438854890571518
100|23 10| 0.007779276008712789
100|23 17|100 0.009231407530339176
100|23 3|100 0.010164920651384711
100|23 0| 0.009438854890571518
100|23 21| 0.008505341769525982
