sequence,struc2vec128D,community
40|23.1,2,12
23|100.1,2,12
5|23.100,1,11
18|17.23.100,2,7
32|23.100,1,11
40|23.100.28,2,7
40|23.100.18,2,7
100|22.23,1,11
23|40.23.100.4.29,1,14
23|40.23.100.21,1,10
23|40.23.100.29,1,10
23|40.23.100.7,1,10
23|100.23.40.23.33,2,3
18|23.100,1,11
40|23.100.21,2,10
40|23.100.29,2,10
30|3.23.100.23,2,3
17|23.100,1,11
0|23.100,1,11
29|21.4,1,10
23|100.33,2,3
37|25,1,4
40|17,1,12
36|25,1,4
37|17,1,12
36|17,1,12
7|23.100,1,11
36|30,1,3
11|24.23.100.23,2,0
23|40.23.100.30,1,3
23|40.23.100.11,1,0
23|40.23.100.16,1,5
23|40.23.100.2,1,13
14|5.4,1,6
37|11,1,0
36|11,1,0
3|23.100.23,1,11
36|23.100,1,11
26|23.100,1,11
37|23.100,1,11
23|40.23.3,1,3
36|27.11,2,0
11|36.11.24,2,0
37|2,1,9
36|2,1,9
23|40.23.24,1,0
23|40.23.30,1,3
4|23.40.23.100.33,1,13
32|4,3,13
23|40.23.0.23,1,12
23|40.23.18,1,7
23|40.23.16,1,5
21|29.4,1,10
33|30.3.4,2,3
29|4,3,13
5|4,3,13
36|16,1,5
37|16,1,5
13|4,3,13
26|2.4,1,9
100|4.26,2,9
23|100.23.40.23.10,2,5
40|23.26,1,9
23|40.23.100.0,1,12
40|23.28,1,7
6|23,3,7
23|40.23.100.18,1,7
23|40.23.100.28,1,7
37|8,1,4
36|8,1,4
15|23.40.23.100.4,1,4
40|23.100.4.29,2,14
10|23.100.23,1,11
40|23.100.4,1,11
31|23,3,7
7|4,3,13
37|14,1,6
29|23.100,1,11
23|40.23.25,1,10
33|30.3.23.100.23,1,3
23|100.14,2,6
100|33,1,3
23|40.23.8,1,10
23|40.23.15,1,10
40|23.31,1,6
36|33,1,3
30|3.4,1,3
4|23.40.23.100.27,1,13
24|36,1,0
37|29,1,10
40|23.100.6,2,2
36|29,1,10
4|23.40.23.100.1,1,12
37|24,1,0
40|23.100.2,2,13
40|23.100.16,2,5
40|23.14,1,6
40|23.100.14,2,6
100|14,1,6
1|32.4,1,12
21|4,3,13
23|1,1,12
29|23,3,7
21|36,1,10
20|23,3,7
40|23.21,1,10
40|23.100.0,2,12
100|18,1,7
23|40.23.4.9,1,8
36|9,1,8
100|28,1,7
40|23.16,1,5
36|4,3,13
9|20.4,1,8
37|30,1,3
6|40,1,2
23|100.5,2,6
21|7.23.100,2,10
4|27,1,0
4|28,1,7
11|4,3,13
11|27,1,0
17|4,3,13
10|16.4,1,5
27|23,3,7
23|36.23.4,2,1
24|4,3,13
4|23.40.23.100.10,1,15
40|23.100.7,2,10
23|40.23.14,0,6
28|18.17.23.100,1,7
20|9,1,8
23|40.23.7,1,10
23|40.23.21,1,10
40|23.100.33,2,3
23|40.23.6,0,2
23|40.23.31,0,6
27|36.27.11,2,0
4|9,1,8
23|100.23.40.23.1,2,12
23|40.23.29,1,10
