sequence,struc2vec128D,community
51|1002,3,10
1001|1000.54,0,8
1002|1000.101,2,12
1001|1000.101,2,12
1002|1000.54,0,8
1002|42.43,0,2
1001|42.43,0,2
124|1001,3,7
1000|1003.1000.0.101,3,6
1000|1002.1000.101,3,12
1000|1001.1000.101,3,12
1000|1003.1000.102.101,3,12
41|1002,3,2
101|1001,3,12
51|1001,3,8
0|1000.1003.1000.83,3,0
11|1002,3,4
1000|0.101,2,6
1000|1002.1000.121,3,0
1000|1003.1000.0.124,3,7
72|1002,3,13
0|1000.1003.1000.101,3,10
1000|1003.1000.103,3,12
54|1001,3,8
1003|1000.54,0,8
1000|1002.1000.124,3,7
1000|102.101,2,12
101|1002,3,12
1000|1003.1000.123,3,7
111|1002,3,10
1000|1003.1000.122,3,7
0|1000.1003.1000.93,3,12
54|1002,3,8
0|1000.1003.1000.82,3,0
93|1002,3,0
123|1001,3,4
1003|1000.0.1002,2,3
1003|1000.0.101,2,6
1002|112,3,10
11|1001,3,4
71|1002,3,13
91|1002,3,0
1003|1000.102.101,2,12
1003|1000.83,0,1
1003|1000.0.1001,2,3
82|83.81.1000.1003.1000.0,2,3
92|1002,3,0
83|81.1000.82,0,1
1002|124,0,7
1001|124,0,7
1002|1000.82,0,1
1003|124,0,7
0|1000.1003.1000.41,3,8
1000|0.82,2,1
111|1001,3,10
81|1000.82,0,1
1003|1000.92,0,12
0|1000.22,3,5
1003|1000.124,0,7
52|1001,3,4
102|103.1000.1003.1000.0,2,6
1001|81,0,1
52|1002,3,8
1002|111,0,10
1000|0.1000.1003.1000.0,0,3
83|81.1000.1003.1000.72,2,1
1003|1000.32.1000.33,2,4
1001|82,0,1
1000|1003.1000.0.1001,0,3
1000|1003.1000.0.1002,0,3
1002|82,0,1
1003|1000.0.1000.1003.1000.32,2,2
83|81.1000.72,2,13
1001|72,0,13
1000|1003.1000.0.21,0,4
1002|1000.0,3,4
123|1000.0,3,7
1002|72,0,13
42|1002.42.43,2,2
21|1001,3,9
42|1001.42.43,2,2
1000|1003.1000.0.93,2,6
1000|1003.1000.32.1000.33,3,4
93|1001,3,0
1003|1000.111,0,10
1001|103,3,12
124|1002,3,7
1002|41,0,2
72|1000.71,0,13
1003|103,3,12
1000|1003.1000.0.1000.1003.1000.32,3,2
1000|1003.1000.0.32,3,5
22|1001,3,9
1001|111,0,10
1002|103,3,12
111|1000,3,11
124|1003,3,7
83|81.82,0,1
1000|112,3,11
1002|81,0,1
43|1001,3,2
83|81.1001,0,1
32|1002,3,5
32|1001,3,5
0|124,0,7
92|1000,3,0
1000|1003.1000.21.1000.1003,0,4
1003|1000.72,0,13
1000|1003.1000.12.11.1000,0,4
72|1000,3,11
1000|1003.1000.0.1000.1003.1000.0,3,3
1002|52,3,8
1001|52,3,8
1001|101,0,12
0|54,3,8
82|1000.1001,3,1
1000|1003.1000.0.22,3,3
1002|101,0,12
1003|1000.71,0,13
71|1001,3,4
54|1000,3,11
1000|1002.1000.54,2,8
72|1001,3,13
0|1000.1003.1000.71,0,1
83|81.1000.1003.1000.0,2,3
41|1001,3,2
1000|1003.1000.0.41,2,8
1002|32,3,5
33|1000.1003.1000.32,0,0
1000|1001.1000.54,3,8
1001|93,0,0
12|1000.1001,3,11
81|1000.1003.1000.72,0,1
112|0,1,10
1000|1003.1000.53.1000.1002,3,8
51|1003,3,4
1001|102,0,12
1000|53.1000.1002,2,8
1003|1000.93,0,0
21|1002,3,9
82|1000.1002,3,1
0|1000.12,3,4
1002|102,0,12
52|54.51,0,8
1000|1003.1000.81,0,1
113|111,0,10
0|111,3,10
0|1000.11,3,4
11|1000.0,3,4
0|1000.32,3,5
12|1000.1002,3,11
54|51.52,0,8
1000|1003.1000.124,3,11
0|41,0,2
1002|1000.124,0,7
1001|1000.0,3,5
1000|1003.1000.33.1000.1003,1,0
113|1000,3,11
1002|93,0,0
1003|1000.101,0,12
1002|0,1,3
81|1000.1003.1000.0,3,3
51|1000.1003.1000.41,0,8
1000|1003.1000.72,3,11
71|1000.1001,3,13
0|32,3,5
124|1000,3,11
72|0,1,13
1000|22,3,9
1000|1003.1000.32,3,11
1001|92,0,0
1000|1003.1000.0.82,0,1
103|0,1,12
1003|81,0,1
81|1000.72,0,13
92|91.93,0,0
1002|92,0,0
51|0,1,0
1003|1000.0.32,2,5
1002|42,3,2
103|1000.93,0,0
1003|1000.22,0,9
1001|42,3,2
1003|1000.41,0,8
43|1000.0,3,2
1000|52,3,4
32|1003,3,5
12|1000.1003,3,11
1000|1003.1000.71,3,11
42|1000.1003,3,11
103|1000.1003.1000.0,3,6
1002|1000.72,0,13
1000|0.124,2,7
1003|121,3,11
1000|71,3,4
1000|1002.1000.82,3,1
1002|121,3,11
1001|54,0,8
1002|91,3,0
1000|1003.1000.0.72,0,3
1003|1000.113,0,10
1003|1000.52,0,4
103|1000.1002,3,12
1002|1000.53,0,8
0|1000.41,3,5
1001|121,3,11
0|1000.1003.1000.111,0,7
1000|1003.1000.12.1000,3,11
1003|1000.51,0,4
0|72,0,13
92|93,0,0
21|33,3,4
52|0,1,8
1003|91,3,0
12|1001,3,4
12|1000,3,4
0|1000.1003.1000.53,3,5
1001|91,3,0
1002|1000.32,0,5
1000|82.0,0,0
1002|51,3,10
1003|1000.43,0,0
93|91,3,0
1000|43,3,4
93|1000,3,11
42|1000.1003.1000.0,3,2
12|1002,3,4
21|1000.1003,3,9
71|1000.53,0,13
102|1000,3,11
122|1000,3,11
1000|0.22,2,3
92|1001,3,0
1001|1000.32,0,5
1000|0.41,2,8
1001|113,0,10
1002|113,0,10
1003|1000.32,0,5
54|0,1,8
1003|1000.112,2,11
1000|1003.1000.101,3,11
21|22,3,9
1003|0,1,5
1001|51,3,8
0|22,3,9
1000|1003.1000.54,3,11
1000|1003.1000.0.12,0,4
1001|53,3,11
1002|1000.22,0,9
43|41,0,2
1003|1000.12.11.1000,2,4
1002|123,3,11
1003|123,3,11
72|71,3,13
1003|1000.102,0,12
41|43.42,0,2
42|1000,3,2
71|0,1,5
81|0,1,1
1002|54,0,8
1002|53,3,11
91|0,1,0
122|123,3,7
1003|1000.82,0,0
1000|103,3,12
54|52.0,0,8
43|0,1,2
1003|1000.21.1000.1003,2,4
1001|113.112,2,10
123|0,1,7
0|1002,3,3
1003|1000.0.72,2,3
1000|32.0,0,5
1000|1003.1000.111,3,11
11|0,1,4
1001|0,1,3
1000|1003.1000.41,3,8
11|1000.1002,3,5
42|41,0,2
0|93,0,6
103|1000.1003.1000.102,0,12
52|1000.1003,3,11
1002|1000.41,0,2
1002|71,3,13
0|1000.1003.1000.72,3,1
1003|32,3,5
113|112.1002,0,10
1000|1002.1000.32,3,5
1000|0.1000.1003.1000.32,2,2
32|1000.1002,3,5
1000|33.1000.1003,3,4
1000|51,3,4
1000|1003.1000.102.1000,2,12
12|0,1,4
72|71.0,0,1
102|103,3,12
54|51.1000.1003,0,8
11|12,3,4
1000|1003.1000.52,1,11
1000|1002.1000.41,3,2
1003|1000.0.21,2,4
1002|43.42,0,2
32|0,1,5
0|12,0,4
1001|12,0,4
124|,1,7
1003|1000.53,0,13
1003|1000.102.1000,2,12
81|1003,3,1
0|1000.33,3,4
1000|1003.1000.113,1,11
51|1000.1003.1000.0,3,8
1001|71,3,4
41|43,3,2
81|82,3,1
113|112,3,10
111|,1,10
1001|41,0,2
82|0,1,1
1003|1000.0.124,2,7
51|1000.1003,3,11
1003|51,3,2
1000|1003.1000.102,1,11
1000|101,3,12
1000|42,3,2
1003|1000.103,2,12
1000|83,1,1
1000|102.1000,0,12
21|12,3,4
1003|1000.0.22,2,3
1000|1003.1000.82.1000,0,1
1003|1000.11,0,4
1003|1000.81,2,1
1003|1000.123,0,7
113|112.111,0,10
54|51,3,8
42|43,3,2
1002|12,0,4
52|54.0,0,8
53|1000.1002,3,8
101|102.103.1000.1003.1000.0,2,6
54|52,3,8
1000|72.71.0,2,1
0|1001,3,3
81|,1,1
0|1000.1002,3,5
0|1000.1003.1000.32,0,2
112|111,3,10
1000|54,3,8
21|1000,3,9
1003|1000.42,0,2
42|0,1,2
1000|1003.1000.112,3,11
0|82,3,1
1000|0.1002,2,3
1000|1003.1000.72.71.0,2,1
1003|1000.121,0,0
43|1002.43.42,0,2
81|1001,3,1
1000|113,3,10
1000|0.1001,2,3
33|1000.1002,3,5
1000|72.1000,0,13
1000|1003.1000.93,3,12
1003|1000.122,2,7
83|81.0,0,1
21|1000.1002,3,9
92|91.1000.1003,0,0
1000|1003.1000.51,1,11
1002|21,3,9
1001|32,3,5
1000|92,3,0
0|113,3,10
1003|1000.53.1000.1002,2,8
1000|1003.1000.22.21.1000,2,9
112|1002,3,10
21|1000.1001,3,9
33|1000.1003.1000.11,0,11
0|1003,3,5
32|1000.33,0,4
1003|1000.33.1000.1003,0,0
1000|1003.1000.42,1,11
21|1000.1003.1000.53,0,4
43|,1,4
1000|0.72,2,3
91|93,0,0
113|1001.113.112,2,10
1003|1000.0.1000.1003.1000.0,2,3
0|21,3,9
1000|1002.1000.53,3,8
51|53,3,8
1000|1001.1000.32,0,5
1000|121,1,0
12|,3,4
1000|33.1000.1003.1000.32,2,0
1003|1000.0.82,2,1
1002|43,3,4
91|92,3,0
81|1000,1,11
103|102.1000,0,12
92|91.0,0,0
1000|1001.1000.0,0,5
1003|43,3,4
1001|,1,4
101|103,3,12
52|,1,8
1000|72,1,13
1000|1002.1000.72,0,13
122|124,0,7
42|,1,2
1002|11,3,4
1000|1003.1000.43,1,0
1001|21,3,9
81|83,0,1
51|52,3,8
1000|93,1,0
1000|33,3,4
92|,1,0
1000|111,1,10
1000|1003.1000.83,0,0
33|1000.1003.1000.22,0,9
1003|42,3,2
41|,1,2
1000|53,1,13
1000|91,3,0
42|1000.43,0,2
1003|1000.12.1000,2,11
1002|,1,10
1001|22,0,9
43|42.1000.1003,0,2
54|,3,8
11|,1,4
42|32,3,2
33|,1,4
71|,1,11
102|,1,12
51|54,3,8
0|103,3,12
82|83,3,1
1000|41,3,2
1000|1003.1000.92,1,12
82|81,3,1
43|42,3,2
1000|22.1000,0,9
123|,1,11
91|1000.1003,3,0
1003|1000.0.93,2,6
101|1000,3,11
1003|1000.0.41,2,8
81|1002,3,1
1000|1002,1,11
1000|82,1,1
124|123,3,7
1003|52,3,8
1000|11,3,4
112|,1,11
1000|123,3,7
32|,1,11
1000|12.1000,0,11
1001|123,3,4
1000|0.32,2,5
1000|1003.1000.22,1,9
1003|1000.0.12,2,4
72|,0,13
1001|122,0,7
92|0,3,0
0|33,3,4
1002|33,3,4
21|1000.1003.1000.11,0,9
1000|124,3,7
91|,1,0
1000|42.41,2,2
1000|1003.1000.11,1,11
1000|33.1000.1003.1000.11,0,11
112|113,3,11
111|113,3,10
102|101,2,12
43|1000,1,11
124|122,3,7
1003|,1,4
1000|1003.1000.82,0,0
1000|1003.1000.0,1,11
1000|0.12,0,4
1000|0.93,2,6
1000|12,3,4
21|1000.33,3,4
1000|122,0,7
1003|1000.82.1000,2,1
22|1000,1,11
1000|1003.1000.121,1,11
21|0,3,0
52|54,3,8
1001|11,3,4
103|,1,12
1000|0.21,0,4
52|51,3,8
1000|21,1,9
32|1000.32,0,5
1000|1002.1000.0,0,5
1003|11,0,4
1003|71,3,11
1003|1000.72.71.0,2,1
12|21,3,9
1001|83,0,1
0|1000.1001,3,5
53|,1,11
51|,1,2
122|,3,7
1000|1003.1000.53,1,11
1000|71.72,2,13
12|11,3,4
1000|1003,1,11
1001|112,3,11
1000|1002.1000.22,0,5
1000|102,3,12
22|21,3,9
21|,1,9
33|1000.1003,1,4
1000|33.1000.1003.1000.22,2,9
11|1000,1,11
93|,1,0
0|101,2,6
1000|1001,1,11
1000|81,3,1
1000|32,3,5
1000|22.21.1000,2,9
42|21,3,2
1001|43,3,2
1003|21,0,9
41|42.1000,0,2
1000|32.1000.33,2,4
0|11,3,4
1000|,1,11
82|,3,1
1003|1000.0,3,5
1002|1000.121,0,0
1000|33.1000.1002,3,4
0|71,3,5
83|82,0,1
121|,1,11
123|122,0,7
12|11.1000,0,4
1003|122,0,7
0|1000.1003.1000.0,3,3
22|,1,9
22|21.1000,3,9
41|42,3,2
1000|21.1000.1003,3,4
1000|12.11.1000,3,4
101|,3,12
1002|22,0,9
83|,1,1
0|1000.0,3,5
71|72,0,13
1000|82.1000,0,1
82|1000,3,11
113|,1,10
41|1000,3,11
1000|0,1,5
1003|1000.22.21.1000,2,9
1002|1000,1,4
1001|1000,1,4
0|,1,0
