sequence,struc2vec128D,community
7|36,2,13
10|36,2,1
26|36,2,3
16|5.40.5.26,0,3
16|5.40.5.1,0,16
16|5.40.5.0,0,9
5|37.5.29,2,14
5|40.5.33,2,14
5|40.5.30.10,2,1
5|40.5.34.11,2,1
7|37,2,13
5|40.5.13,2,5
5|40.5.32,2,14
5|40.5.30.7,2,5
6|36,2,5
7|24.5,2,1
34|36,2,1
40|5.8.15.14,3,7
17|36,2,0
3|36,2,12
27|36,2,13
5|40.5.30.12,2,11
36|18,0,12
40|5.30.8,3,7
37|18,0,12
18|36,2,12
5|40.5.3,2,14
37|20,0,15
2|37,2,10
28|17.5,0,10
40|5.8.5,3,7
37|13,0,5
28|17.23,0,0
11|37,2,1
36|20,0,15
12|30,1,11
36|13,0,5
9|4.5,2,6
26|37,2,3
7|27.24.5,0,13
22|30,1,9
23|30,1,8
30|5.40.5.8,0,1
5|40.5.7,2,5
40|5.7,0,5
5|40.5.22.12.5,2,4
30|5.40.5.22,0,11
5|8.5,2,7
40|5.34.11,3,1
24|5.10,0,13
28|30,1,0
40|5.1,0,16
40|5.22.12.5,3,4
14|30,1,7
5|40.5.30.8,2,7
5|11,2,1
40|5.30.10,3,1
24|30,1,13
5|40.5.4.9,0,10
40|5.30.7,3,13
28|36,2,0
13|30,1,5
5|8.15.14,2,7
40|5.10,0,13
30|5.40.5.15,0,1
32|30,1,9
40|5.18.5,3,6
40|5.30.5.40,0,9
40|5.33,3,14
36|19,2,2
40|5.28,0,0
23|36,2,0
12|36,2,11
3|5,1,14
30|5.40.5.7,0,5
7|5,1,14
5|18.5,2,6
37|9,0,10
40|5.15,0,1
5|40.5.1,2,16
14|37,2,7
6|5,1,5
5|8.30,0,7
5|40.5.26,2,3
37|7,0,13
5|40.5.8.15.14,3,7
37|26,2,3
19|36,2,2
15|14.8,0,7
36|26,2,3
5|40.5.8.5,3,7
5|8.15,2,7
40|5.9.4,0,8
30|28,0,0
40|5.20,0,16
23|5.40.5.9,0,8
36|30,1,0
37|24,0,13
19|20.30,0,8
36|10,0,1
23|28.30,0,0
36|24,0,13
40|24,0,13
30|12,0,11
22|12.5,0,4
37|30,1,3
30|10,0,1
9|36,2,10
11|30,1,1
22|5,1,11
40|5.32,3,14
2|36,2,10
2|4.5,2,10
5|37.5.21.5,2,11
9|2.4,0,10
5|0.5.40.5.19,3,16
36|9,0,10
15|14.30,0,7
34|11.30,0,1
17|30,1,8
5|30.28,3,0
36|28,0,0
14|5,1,7
30|19,2,15
36|12,0,11
5|40.5.28,2,0
9|5,1,10
18|37,2,12
5|0.5.40.5.20,3,16
17|5.40.5.9.4,0,8
