Id,modularity_class
36|2,12
10|36.2,12
24|36,6
18|36.2,4
37|18.37.31,8
18|37.18.37.31,8
37|18.37.34,3
18|37.18.37.34,3
33|21.18,9
37|33,9
24|18.37.24,12
36|24,12
37|24,12
23|18.36.18,1
36|23,0
26|23,0
23|18.37.18,11
16|23.18,0
37|18.37.23,3
18|37.18.37.23,3
37|18.37.18.37.16,3
18|37.18.37.18.37.16,3
18|16,0
36|18,4
37|18,5
36|7,6
18|36.7,6
16|26.24,0
37|16,0
23|16,0
36|16.26.24,0
36|8,5
18|36.8,5
30|36,5
18|37.18.37.30,4
37|18.37.18.37.30,4
8|18,5
30|8,5
37|8,5
13|8,5
36|16,0
18|36.16,1
23|36.16,0
2|36,12
10|2,12
37|2,12
30|18.36,5
37|30,5
36|30,5
18|37.0,2
37|18.37,1
11|,2
36|21.36.4,9
33|36.21,9
37|18.37.28.27,15
18|37.18.37.28.27,15
24|20,2
37|18.37.33,9
18|37.18.37.33,9
3|18.37.18.37,11
37|3,10
5|3.18,11
11|36,2
20|,2
36|11,2
37|11,2
37|5,1
18|37.5,1
36|6.18,7
34|36,7
18|36.6.18,7
16|26.36,0
18|37.23,3
29|,3
18|36.23,0
37|18.36,4
16|18.36,0
18|37.18,11
37|9,14
18|37.9,14
4|18,11
37|4,1
18|4,11
33|4.18,9
21|4,9
24|,13
36|4,9
18|,11
32|18,11
25|,6
3|18,11
17|18,11
13|,5
2|18,12
6|18,11
22|18,14
28|,13
16|18,11
0|,11
5|,10
34|,7
33|18,4
12|18,13
15|,11
14|,11
10|18,11
19|,3
31|18,11
9|,11
7|18,11
26|18,11
27|,15
23|18,0
21|18,11
30|18,5
24|18,13
6|36,7
36|6,7
34|6.36,7
37|,0
18|6,7
34|18.6,7
0|24,13
11|0.24,2
18|36.9,14
27|28,13
37|27,15
18|37.16,3
7|37,6
4|,0
18|37,11
17|,8
17|18.36,8
37|17,8
31|17,8
36|18.37.19,3
18|36.18.37.19,4
33|36.4,9
21|33,9
36|33,9
18|37.3,10
36|19,3
37|19,3
18|19,4
6|,0
24|6,7
13|18.37,11
30|13,5
8|13.18.37,5
18|36.18.37.29,4
32|31.18,8
36|31,8
37|31,8
17|31,8
27|12.18.37,15
28|27,15
36|27.12,15
37|22,14
18|37.22,14
33|,9
24|33,9
18|33,9
37|18.37.18.37.32,2
18|37.18.37.18.37.32,2
7|15,6
37|7,6
37|18.37.32,2
18|37.18.37.32,2
7|24,13
24|3,10
18|37.27,15
18|37.11,2
22|9.24,14
36|22,14
23|36,0
