sequence,struc2vec128D,struc2vec2D,node2vec128D,node2vec2D
36|14.27,6,6,1,11
18|14.27,6,6,1,1
27|1.0,6,6,1,1
40|18.14.3,0,6,1,1
40|18.5.36,0,6,1,11
40|18.31.36,0,6,1,1
18|40.18.5.36,2,9,1,7
18|39.18.14,9,1,1,1
40|18.9.36,0,6,6,3
23|32.14,6,6,1,7
18|40.18.9.36,2,9,1,1
33|23.32.14,2,9,1,1
20|21.14,6,6,1,11
18|40.18.1.18,2,9,1,11
18|40.18.31.36,2,9,6,13
18|40.18.14.31,2,9,9,10
18|40.18.12.18,2,9,11,9
18|40.18.1,2,9,1,1
18|36.18.30,2,9,1,11
18|40.18.3,2,9,6,13
32|14,1,0,1,1
18|40.18.9.28,2,9,6,5
29|20.21.14,2,9,1,1
14|36.14.27,2,9,1,11
21|14,1,0,1,7
18|40.18.14.3,2,9,1,7
18|40.18.6,2,9,2,5
18|40.18.22.18,9,1,1,1
18|40.18.14.27,2,9,6,5
18|40.18.28,2,9,1,11
39|4,3,7,1,1
18|40.18.4,2,9,1,1
40|4,3,7,1,7
18|40.18.33,2,9,1,7
18|40.18.15,2,9,6,3
36|4,3,7,1,1
18|36.18.11,2,9,2,3
40|21,3,7,6,0
9|12.28.14,2,9,11,0
14|22,9,1,1,7
18|30.6.2,2,9,1,11
37|21,3,7,6,13
30|6.18.40.18.2,2,9,1,11
38|21,3,7,1,1
39|21,3,7,6,5
40|18.12.18,0,6,6,13
19|26.3,2,9,1,7
30|6.36,2,9,6,2
6|14,1,0,3,0
40|18.14.27,0,6,1,1
36|34,3,7,1,1
29|20.36,2,9,1,1
39|34,3,7,6,9
39|28,3,7,6,3
30|14,1,0,1,11
40|28,3,7,1,7
40|18.14.31,0,6,6,5
40|18.1.18,0,6,1,1
40|34,3,7,1,11
31|17.14,2,9,0,4
15|36.15.13.18,6,6,1,1
40|18.31,6,6,5,12
18|40.18.14.22,9,1,1,1
40|18.34,6,1,10,6
39|13,3,7,1,1
40|18.10,6,6,1,11
36|13,3,7,1,7
20|14,1,0,1,11
37|13,3,7,1,10
30|6.2,2,2,5,12
18|2.30,2,2,1,1
40|18.26,6,1,1,1
20|29.21,2,2,1,7
18|40.18.0,2,2,1,11
18|40.18.2.30,2,2,0,4
40|18.28,6,6,1,1
5|25.18,2,2,1,7
18|2.14,6,6,1,7
18|40.18.25,2,2,6,10
28|14,1,0,1,7
37|12,3,7,1,7
40|12,3,7,1,7
40|1,3,7,1,11
39|12,3,7,6,13
18|40.18.19,2,2,6,13
29|21.20,2,2,6,9
39|1,3,7,1,11
18|40.18.31,2,2,6,10
29|14,1,0,1,1
37|1,3,7,1,7
18|5.36,6,6,1,11
18|40.18.2.18,2,9,6,5
37|11,3,7,6,10
18|40.18.10,2,2,1,1
36|11,3,7,6,3
40|18.9.28,0,6,6,3
4|14,1,0,1,11
26|14,1,0,6,3
27|1.14,2,9,9,4
39|11,3,7,9,10
20|18.40,8,5,1,7
36|19,6,6,10,6
9|38,2,9,1,11
17|4.31,2,9,1,1
14|1.27,2,2,9,4
40|11,3,7,6,10
31|17.36,2,9,1,7
31|14,1,0,1,1
13|18.40,8,5,6,13
9|28.14,6,6,1,7
15|18.40,8,5,0,4
30|18,8,5,6,0
18|40.18.7,2,2,1,7
39|25,3,7,6,3
30|6.14,6,6,1,1
31|4,5,3,6,2
40|25,3,7,2,3
40|6,5,3,6,13
36|32,3,7,1,7
18|31.36,6,6,9,3
18|40.18.5,2,2,6,10
40|32,3,7,8,6
14|4,5,3,1,7
36|6,5,3,1,7
10|18,8,5,3,0
9|28.12,2,9,5,12
39|9,3,7,6,5
40|18.19,6,6,1,11
1|14,1,0,1,7
10|36,7,8,1,11
40|9,3,7,6,13
27|1.18.0,6,6,6,13
36|31,5,3,1,11
40|18.2.30,0,6,6,10
40|7,3,7,6,5
29|36,7,8,6,0
17|14.18,1,0,9,4
19|14.18,1,0,6,0
39|7,3,7,6,4
18|23,1,0,1,11
40|18.13,6,6,9,5
36|22,9,1,7,8
17|4.14,5,3,0,4
23|18,8,5,1,1
2|18.40,8,5,1,7
40|18.9,6,6,1,11
25|18.40,8,5,11,0
18|40.18.13,7,8,7,8
40|18.27,6,6,6,13
18|40.18.30,7,8,11,9
9|12.18,5,3,6,10
18|40.18.12,2,2,3,0
25|36,1,5,7,13
21|20.29,2,9,0,2
7|36,7,8,9,8
14|5.18,5,3,1,11
14|34,5,3,1,11
14|3,2,2,4,2
9|28.18,2,2,6,13
29|20.14,2,2,6,5
18|14.3,0,6,6,12
40|18.17,6,6,2,3
18|40.18.14.18.40,2,2,1,1
18|9.36,6,6,1,7
40|18.15,6,6,3,12
40|18.14,8,5,1,11
37|10,3,7,6,3
40|18.30,6,6,9,4
27|36,1,5,6,8
40|18.33,6,6,1,11
6|18,8,5,6,3
6|36,1,3,1,7
40|5,3,7,1,7
40|26,3,7,1,7
40|18.9.12,0,6,4,6
36|14,3,7,1,11
36|26,3,7,0,2
22|11,1,0,0,4
37|6,3,7,6,3
6|40,1,0,6,10
36|28,5,3,0,4
6|18.40.18.2,6,6,1,11
14|15,7,8,6,3
6|18.40,8,5,6,3
20|36,1,3,1,7
40|18.2,6,6,6,2
18|40.18.9.12,2,2,5,12
18|28,1,0,1,1
39|6,3,7,1,1
37|14,3,7,6,12
40|18.29,6,6,2,9
18|14.31,0,6,6,10
36|33,6,6,1,7
25|18.14,8,5,6,5
37|27,3,7,6,3
18|40.18.27,7,8,7,13
40|14,3,7,1,11
14|6,5,3,6,12
12|11,1,0,6,2
33|18,8,5,1,11
21|11,1,0,1,7
18|32,1,0,0,2
9|36,7,8,7,8
40|18.25,0,6,1,11
36|27,5,3,6,4
40|18.6,0,6,6,13
38|,5,3,9,10
36|10,5,3,6,10
32|18,8,5,0,2
14|29,7,8,6,3
15|13,7,2,1,11
37|18,8,5,6,13
12|36,7,8,6,3
38|18,8,5,1,1
36|8,9,1,1,11
18|31,7,8,1,11
25|14,7,8,6,0
14|18.36,8,5,1,7
40|18.0,6,6,3,0
2|6,5,3,6,13
14|21,5,3,9,8
40|18.21,6,6,1,7
25|0,5,3,6,8
5|36,7,8,12,4
40|18.14.22,6,1,2,9
18|40.18.24,7,8,6,10
29|21.18,6,3,6,3
33|36,7,8,1,11
21|20,7,2,6,9
29|18,8,5,6,12
1|36,1,5,6,12
36|30,3,7,1,7
18|40.18.9.18,6,3,3,0
40|8,9,1,10,6
36|7,5,3,6,13
18|26,1,0,7,2
4|17,2,2,1,11
29|21,7,2,3,0
18|4,5,3,1,11
33|40,1,0,1,11
18|2,7,8,1,7
40|18.2.18,6,6,6,13
27|0,5,3,6,3
32|23,2,2,6,2
38|10,5,3,6,13
30|6.18,5,3,1,11
31|36,7,8,9,4
37|31,3,7,7,10
18|40.18.17,7,8,6,2
18|40.18.2,7,8,7,8
19|18,8,5,3,0
34|7,5,3,2,9
40|18.7,0,6,13,5
18|29,7,8,6,12
22|14,1,0,1,7
18|28.18,5,3,0,4
17|36,7,8,2,5
1|27,7,2,6,3
27|18,8,5,0,4
15|,4,4,6,13
40|18.22.18,6,1,3,0
18|19,7,8,1,7
14|2,7,8,9,8
7|34.18,5,3,6,10
0|27,5,3,1,11
1|22,1,0,1,1
14|9,7,8,1,7
10|,4,4,1,11
19|,7,8,6,13
30|,4,4,1,7
36|5,5,3,6,6
14|26,5,3,0,4
1|18.0,6,6,6,0
40|18.3,6,6,9,4
3|36,7,8,9,10
23|33,5,3,12,4
5|,4,4,4,6
20|29,7,2,0,2
21|36,7,8,6,3
19|36,1,5,3,0
37|15,3,7,2,5
18|12.18,5,3,10,6
37|28,5,3,13,5
2|14,7,8,6,13
14|31,2,2,13,5
15|13.14,7,2,4,9
18|14.22,6,1,6,0
21|29,7,2,9,10
27|18.0,6,6,1,1
18|40.18.9,7,8,7,8
12|9,7,8,2,3
39|18,8,5,6,12
6|30,2,2,13,5
10|34.18,5,3,6,3
18|6,5,3,4,9
18|10,7,8,2,5
32|18.40,8,5,6,5
12|14.18,1,0,1,11
40|18.11,6,6,1,11
27|,4,4,12,4
18|15,7,8,4,10
14|28,5,3,6,10
4|31,5,3,0,2
4|,4,4,6,0
12|18.40,8,5,1,11
13|,4,4,0,2
40|18.14.18.40,6,6,6,9
14|10,7,8,4,9
22|36,9,1,3,0
39|22,3,7,7,8
18|34,1,0,7,8
22|8,9,1,2,9
40|18.24,6,6,9,10
17|31,7,2,0,4
18|30,2,2,6,13
36|15,5,3,2,9
7|14,7,8,9,8
14|2.18,1,0,7,8
8|14,1,0,1,1
19|3,5,3,6,5
36|18.30,0,6,6,5
15|13.18,7,2,8,6
29|20.18,2,2,6,13
8|18.14,8,5,4,9
18|9,7,8,6,13
12|28,1,0,6,6
37|22,3,7,7,8
31|,4,4,6,10
20|29.18,6,3,9,4
22|1,1,0,1,11
18|5.18,6,3,9,4
18|38,7,8,4,9
5|18,7,4,6,9
20|21,5,3,6,12
37|20,5,3,6,6
15|14,7,8,1,1
14|18.40.18.9,6,6,7,2
28|,4,4,6,13
18|5.25,6,6,6,3
14|27,7,8,3,4
21|20.18,6,3,2,3
18|3,7,8,6,0
25|18,7,4,6,10
39|18.14,8,5,7,5
19|26,5,3,6,13
36|23,3,7,1,1
18|40.18.21,1,0,7,10
26|3,5,3,8,6
37|9,3,7,1,1
36|3,5,3,6,3
37|29,3,7,6,3
30|6.18.40,6,6,6,13
29|20,7,2,6,10
12|18,4,4,1,1
14|25.18,5,3,1,10
33|23,5,3,4,9
20|29.14,6,6,6,0
7|10,2,2,0,2
8|36,9,1,2,5
13|15,7,2,5,12
40|33,5,3,6,13
21|,4,4,1,7
14|18.40.18.14,6,6,6,3
12|1,1,0,2,3
