sequence,Gephi,KMeans_15D
8|13.36.30,12,3
18|37.18.37.31,5,1
18|37.18.37.32,13,1
18|37.18.37.18.37.32,13,1
8|13.18.30,12,3
26|36,10,1
37|17,5,1
18|37.18.32,13,1
18|37.18.37.28.27,8,1
37|9,3,1
18|37.15,7,1
18|37.25,11,1
9|36,3,1
18|17,5,1
24|7,9,1
37|18.37.26,4,3
11|0.18.36,13,1
37|18.37.23,4,3
33|4.18,6,1
11|0.18.37.32,13,1
24|32,9,1
36|20,0,1
32|36,5,1
18|37.18.37.7,4,1
18|37.18.37.18.37.30,12,1
18|37.18.37.20,4,1
22|24,3,0
18|12,8,1
15|24,7,0
30|8.13.24,12,3
36|23.24,10,3
18|37.31,5,1
7|36,7,1
18|36.28,0,1
27|12.18.37,8,1
18|37.13,11,1
31|17,5,1
37|30,12,1
0|24,13,0
18|37.17,5,0
19|24,4,0
24|30.18,9,1
11|0.36,13,1
18|36.22,0,1
16|24,10,0
18|37.4,14,0
37|18.37.33,4,3
18|36.33,0,1
4|24,14,0
18|37.9,3,0
24|6,6,1
13|24,12,0
8|36,12,1
18|36.4,0,0
37|18.37.32,13,3
21|24,14,0
32|17.18,5,1
18|36.8,0,1
37|18.37.7,4,3
36|21.24,14,3
20|36.11,13,3
18|36.10,0,0
25|7,7,1
2|24,2,0
8|30,12,1
5|36.18,1,0
24|10.18,9,1
18|37.27,11,1
9|36.18,3,0
18|26,15,1
18|36.11,0,1
18|37.12,11,1
36|27.12,11,1
18|37.18.37.18.37.16,4,1
29|36.18,0,0
18|37.18.37.26,4,1
16|26.18,10,1
32|31.18,5,1
18|36.3,0,1
20|11.0.24,13,3
18|37.18.37.23,4,1
12|27,11,1
30|13,12,1
36|9,3,1
18|4,6,1
24|16,9,1
18|37.0,13,1
18|16,15,0
18|20,15,1
16|26.23.24,10,3
37|18.37.2,2,3
33|21.18,14,1
27|12.24,8,3
18|9,15,1
21|18,6,2
7|15,7,1
26|23.24,10,3
18|36.34,0,1
18|37.18.37.18.37.2,2,1
37|18.37.34,6,3
18|37.18.36.16,11,1
10|24,2,0
24|18.14,9,1
34|18.6,6,3
30|18,15,2
15|36,7,0
32|31.17.24,5,3
8|13.18.37,12,1
18|37.23,10,0
22|9,3,1
28|36,11,1
18|37.18.37.18.37.34,4,1
17|24,5,0
37|12,11,1
37|18.37.16,10,3
18|37.26,10,0
5|10,0,1
36|22,0,1
37|18.37.20,4,3
18|37.16,10,0
36|18.37.29,0,3
36|6.18,6,1
12|18.37,8,2
5|24,1,0
37|18.37.30,12,3
24|28,9,1
