502 2
410 0.89702004 1.0160418
348 0.8387049 0.9392371
164 0.8267613 0.9913247
74 0.63070685 0.8705196
182 0.54751384 1.1855619
176 0.39788905 1.075482
338 0.15559149 1.2247379
105 0.77393234 0.514301
487 0.5199763 1.0948799
84 1.221772 0.6320485
271 0.55778235 1.3148233
38 0.6313373 1.1807064
275 0.5448516 0.8468067
61 0.31805032 1.1050093
461 0.4471195 1.2353204
103 0.41651213 1.2362583
312 0.51417357 1.2934034
248 0.9139004 0.37373447
100 0.27435067 1.4528089
55 0.7596265 0.7889777
8 0.47331232 0.98588693
405 0.29833177 1.2613239
66 0.35307643 1.4943092
192 0.8704908 0.83361316
184 0.5910262 0.9642506
151 0.18894812 1.0837783
332 0.2838807 1.3711271
460 0.47105733 1.1566063
408 0.64541864 1.0508829
253 0.37603462 0.97548527
114 0.6949683 1.1107293
39 0.6307135 0.785913
118 0.44986764 1.2849828
54 1.0581671 1.265557
222 0.387813 1.3882092
475 0.5665694 1.1351889
482 0.5095336 1.541482
333 0.7847626 0.9050145
385 0.45376617 0.8987465
437 0.23744369 1.1217582
211 0.39653045 1.1226332
470 0.6890381 1.1921887
267 0.68155694 0.72080964
153 0.52870387 1.0852817
485 0.62428516 0.4704216
441 0.6197934 1.2194717
256 0.48810524 0.9513106
431 0.648802 0.79398113
395 0.39919034 1.4201847
168 1.3244255 0.42214936
481 0.20571837 1.3064854
181 0.74515826 1.0783588
224 0.52582556 1.1903211
235 0.85424304 0.8265165
406 0.31954527 1.0212976
425 0.8683408 0.6374079
200 0.4029292 0.94463485
169 0.36511904 1.2091001
273 0.95324785 1.0925057
242 0.6166978 0.97184384
41 0.9457078 1.1412758
145 0.5864551 1.0416831
257 0.32470185 1.0553684
19 0.42175773 0.95955527
393 0.48074126 1.1621815
48 0.6489142 0.8562388
131 0.68252605 0.736965
345 0.57192165 0.96225864
89 0.77126783 0.9803577
34 0.703058 0.91864306
282 0.80214506 0.6223963
195 0.48745972 0.86642
293 0.48319125 1.0352523
180 0.5871395 0.99487793
60 0.42439675 1.016828
3 0.82921976 1.528167
147 0.56647116 1.0852314
391 0.73890316 1.1462215
390 0.5093436 1.3764079
263 0.4202978 0.83718514
196 0.34000582 0.8324922
303 0.38532203 1.1510726
369 0.7631361 0.8825835
207 0.60851073 1.3724934
85 0.52211285 1.004117
341 0.73575425 0.856351
123 0.45754284 1.1990768
358 0.36018187 1.2720937
474 0.53886145 0.84202296
25 0.29082194 1.0348955
294 0.29676396 1.0806438
243 0.4769865 1.4062619
466 0.35448405 1.2992704
213 0.6809613 1.1903622
98 0.2482777 1.0650539
144 0.579725 0.9678092
300 0.3537162 1.0502229
281 1.3309625 0.92773104
26 0.38214737 1.0298799
185 0.6395369 1.242001
412 0.8553228 1.0182425
404 0.6621977 0.8772503
287 0.7389377 0.9462339
367 0.7795047 0.8154527
320 0.61236614 1.0973991
375 0.9540969 0.9413907
389 0.71502835 0.93193024
143 0.6889827 0.97554505
24 0.68288165 0.8709199
305 0.5234792 1.341254
241 0.32118088 1.0026261
1 0.57775 1.1580198
498 0.30603573 1.0913888
423 0.5314301 1.149826
418 0.2592408 1.1879292
354 0.67377764 0.95470196
252 0.20091955 0.7899989
392 0.4502397 1.1994884
265 0.6282305 1.089935
396 0.48362783 1.222158
173 0.60330456 1.0279943
479 0.2755982 0.8946345
209 0.5278289 1.006423
335 0.470875 0.85758924
115 0.7536796 1.0286282
110 0.492375 0.96283877
455 0.9659337 1.191879
316 0.56750613 0.9773359
201 0.7987829 0.9909749
359 0.70506984 0.76900774
500 0.53328866 0.99687773
331 0.45128334 0.9716458
450 0.2650569 1.3467883
339 0.457649 1.190039
458 0.42417446 1.1047451
223 0.9973528 0.5669438
378 0.80353624 1.0068945
337 0.40279484 0.8833595
446 0.6177682 0.9503182
480 0.71152884 0.80828816
161 0.56827694 1.0602763
109 0.8392754 1.0712988
165 0.42157358 1.5058321
411 0.6530542 0.8731162
134 0.300151 1.2732722
344 0.19153686 1.1971099
186 0.8340722 0.983774
429 0.8854798 1.1850953
167 0.4146733 0.9319385
452 0.2112053 1.1282144
174 0.84726256 0.9946591
311 0.70014673 0.97414994
239 0.340772 0.491313
82 0.38720503 1.1766108
51 0.68460155 0.7733188
317 0.77003384 0.7541227
50 0.60250735 1.0358154
459 0.9114294 0.80496776
361 0.7647247 0.7795488
440 0.7751806 0.7484497
394 0.6186591 0.6516495
346 0.7202198 0.9623911
230 0.52344954 0.8238181
107 0.867634 0.96076083
33 0.7561869 1.1761363
189 1.2797465 1.0019362
35 0.14533196 0.9894514
493 0.41268972 0.62580305
80 0.50150776 1.1075221
318 0.53989136 1.0196439
75 0.26540717 1.1061606
240 0.65173525 0.91508734
142 0.67013353 0.87053376
229 0.6062126 1.066419
93 0.53712976 1.1823477
462 0.6205289 0.927744
124 0.65902007 0.99551344
217 0.65917075 1.0360597
6 0.38403574 0.8120901
2 0.28786895 0.8973088
415 0.27919775 0.95558864
274 0.1285676 0.9110374
170 0.8236282 0.8397136
365 0.82047874 0.77037406
58 0.5358617 1.0491016
59 0.4554322 0.89385706
247 0.57124174 1.1244385
125 0.44297865 1.1734881
427 0.33825007 1.0806891
128 0.41785127 1.0748184
220 0.57243925 1.0628955
183 0.57163936 0.96315557
285 0.33262867 1.0529567
266 0.59128517 0.8068614
219 0.59224796 0.9338232
21 0.1284748 0.88712114
323 0.5409058 1.0172118
216 0.6584002 0.9264798
81 0.2606271 0.9321307
413 0.73193 1.1354773
467 0.25140995 0.68799835
130 0.77577853 0.89338267
46 0.6050903 1.104176
448 1.0159227 0.88513696
91 0.6741462 0.9203568
419 0.44825262 0.886304
56 0.20088074 0.7461335
343 0.75766873 0.91478765
314 0.51472855 1.0327202
380 0.52789694 0.73220855
214 0.70152074 0.63864326
27 0.8760824 0.801937
120 0.3740978 0.96480346
198 0.5021634 0.924141
112 0.460177 0.97080296
353 0.6597841 0.8138328
499 0.7048145 0.79987997
121 0.29445285 0.8108218
399 0.6940724 0.8371464
111 0.6873663 0.9689842
140 0.532533 0.80455303
16 0.24198663 1.018958
491 0.20661454 0.8710356
403 0.40869868 1.0269711
270 0.46809152 0.87895006
199 0.25851923 0.76592064
306 0.37754625 0.8732398
495 0.5625932 0.58579344
28 0.5192187 1.0603245
376 0.43087348 0.6644908
78 0.5950871 0.8216198
280 0.3292988 0.9279674
12 0.6561747 0.7450305
77 0.6182861 0.96433294
296 0.25618178 0.9224352
349 0.40760732 0.8396072
347 0.7199597 0.9136751
57 0.81760895 0.812931
231 0.5322911 0.8548681
476 0.552568 1.02652
18 0.57648575 1.1408222
309 0.61055076 0.8257147
69 0.3684367 0.9956484
17 0.6886426 0.87735754
72 0.67640007 0.88579553
158 0.6917253 1.0570381
297 0.7194002 0.8750914
264 0.40276146 0.951942
106 0.19899891 0.7403469
362 0.49363393 0.7595779
88 0.41620612 0.89613163
30 0.74699 1.0457798
471 0.7301845 0.675146
386 0.7037708 1.0333165
166 0.31939888 0.71324986
402 0.74490136 0.85175085
150 0.8423523 0.73117906
290 0.48251235 0.5414443
5 0.41676912 0.7864395
202 0.14300454 0.93049556
422 0.8109322 0.77590966
255 0.30706102 0.986581
352 0.5032128 0.8238602
340 0.6270853 0.9308444
37 0.56462944 1.0276318
