source, target
36|2,10|36.2
36|2,24|36
36|2,18|36.2
37|18.37.31,18|37.18.37.31
37|18.37.34,18|37.18.37.34
33|21.18,37|33
24|18.37.24,36|24
24|18.37.24,37|24
23|18.36.18,36|23
23|18.36.18,26|23
23|18.37.18,16|23.18
23|18.37.18,26|23
23|18.37.18,36|23
37|18.37.23,18|37.18.37.23
37|18.37.18.37.16,18|37.18.37.18.37.16
18|16,36|18
18|16,37|18
36|7,18|36.7
16|26.24,37|16
16|26.24,23|16
16|26.24,36|16.26.24
36|8,18|36.8
36|8,30|36
18|37.18.37.30,37|18.37.18.37.30
8|18,30|8
8|18,37|8
8|18,13|8
36|16,18|36.16
36|16,23|36.16
2|36,36|2
2|36,10|2
2|36,37|2
30|18.36,37|30
30|18.36,36|30
18|37.0,37|18.37
18|37.0,11|
36|21.36.4,33|36.21
37|18.37.28.27,18|37.18.37.28.27
24|20,36|24
24|20,37|24
37|18.37.33,18|37.18.37.33
3|18.37.18.37,37|3
3|18.37.18.37,5|3.18
11|36,20|
11|36,36|11
11|36,37|11
30|36,37|30
37|5,18|37.5
36|6.18,34|36
36|6.18,18|36.6.18
16|26.36,37|16
18|37.23,36|18
18|37.23,29|
18|37.23,37|18.37.23
18|36.23,37|18.36
18|36.23,16|18.36
37|18,18|37.18
37|9,18|37.9
33|36.21,37|33
4|18,37|4
4|18,18|4
4|18,33|4.18
4|18,21|4
4|18,24|
4|18,36|4
18|,36|18
18|,32|18
18|,25|
18|,3|18
18|,17|18
18|,13|
18|,2|18
18|,6|18
18|,22|18
18|,11|
18|,28|
18|,16|18
18|,0|
18|,37|18
18|,5|
18|,4|18
18|,29|
18|,20|
18|,34|
18|,33|18
18|,12|18
18|,15|
18|,8|18
18|,14|
18|,10|18
18|,19|
18|,31|18
18|,9|
18|,7|18
18|,26|18
18|,27|
18|,23|18
18|,21|18
18|,30|18
18|,24|18
6|36,36|6
6|36,34|6.36
6|36,37|
18|6,34|18.6
0|24,11|0.24
18|36.9,37|18.36
27|28,37|27
37|16,18|37.16
37|,7|37
37|,25|
37|,19|
37|,4|
37|,18|37
37|,17|
37|,24|
37|,9|
17|18.36,37|17
17|18.36,31|17
36|18.37.19,18|36.18.37.19
33|36.4,21|33
33|36.4,36|33
33|36.4,37|33
18|37.3,5|
18|37.3,37|18.37
18|37.3,14|
18|37.3,36|18
19|,36|19
19|,15|
19|,37|19
19|,24|
19|,29|
19|,18|19
6|,34|
6|,37|
6|,4|
6|,36|6
6|,18|6
6|,24|6
13|18.37,30|13
13|18.37,8|13.18.37
13|18.37,18|
18|36.18.37.29,36|18
18|36.18.37.29,37|18.36
18|36.18.37.29,29|
31|18,32|31.18
31|18,36|31
31|18,37|31
31|18,17|31
27|12.18.37,28|27
27|12.18.37,36|27.12
37|22,18|37.22
33|,24|33
33|,21|33
33|,18|33
33|,36|33
33|,4|
33|,37|33
37|18.37.18.37.32,18|37.18.37.18.37.32
7|15,37|7
37|18.37.32,18|37.18.37.32
7|24,37|7
24|3,36|24
24|3,37|24
37|27,18|37.27
37|11,18|37.11
22|9.24,36|22
22|9.24,37|22
23|36,36|23.36
23|36,26|23
23|36,37|23
18|36.18.37.19,37|18.36
18|36.18.37.19,36|18
18|36.18.37.19,19|
18|37.7,37|18.37.7
18|37.7,36|18
18|37.7,19|
36|30.24,13|36.30
5|,21|
5|,18|5
5|,9|
5|,36|5
5|,37|5
5|,14|
5|,3|5
5|,10|5
5|,24|5
18|37.13,37|18.37
18|37.31,17|18
18|37.31,37|18.37.31
36|23.24,26|36.23
28|12.18,27|28
13|,8|
13|,30|13
13|,37|13
13|,36|13
13|,18|
13|,24|
24|28,36|24
24|28,37|24
36|9.22,18|36.9
18|37.18.37,24|18.37.18.37
18|37.18.37,23|18.37.18
18|37.18.37,25|18.37
18|37.18.37,17|18
18|37.18.37,11|18.37.18
18|37.18.37,37|18.37.18.37
18|37.18.37,6|18
18|37.18.37,27|18.37
