sequence,Gephi,KMeans_15D,KMeans_2D
6|19,7,8,9
6|36,0,3,4
23|,1,1,0
12|10,11,3,4
16|23,1,1,0
19|9,4,8,1
12|30,11,2,8
25|36,0,3,4
25|2,9,4,3
26|,9,4,3
0|12,5,3,11
26|12,9,4,3
12|16,1,1,0
19|,3,8,1
5|16,1,1,0
12|26,9,4,3
31|25,3,3,5
6|25,7,8,9
21|15,5,11,11
12|31,3,3,5
36|0,5,5,11
13|,0,3,5
36|30,11,2,8
12|11,0,3,10
36|34,5,0,2
34|28,0,6,2
30|4,11,7,8
25|13,0,3,10
12|29,2,3,6
26|33,9,4,3
4|12,11,2,8
15|,5,5,11
12|28,10,0,2
16|37,0,3,4
12|33,0,4,3
4|,11,2,8
26|25,9,4,3
17|12,6,3,10
18|36,0,3,4
36|32,5,3,10
33|12,0,4,3
12|20,7,8,9
12|19,0,8,9
17|25,6,3,10
12|2,9,4,3
32|,6,3,10
19|25,3,8,1
12|4,11,7,8
25|29,2,3,6
12|9,4,3,1
12|3,8,6,7
31|,2,3,5
5|,1,1,0
16|36,0,3,4
20|25,3,8,1
18|25,3,3,1
25|34,0,0,2
3|,8,6,7
9|,4,3,5
15|0,5,5,11
12|8,5,3,1
25|3,8,6,7
22|,10,0,2
0|,5,3,11
26|36,9,4,3
25|,3,3,5
36|17,6,3,10
12|27,8,6,6
2|26,9,4,3
32|17,6,3,10
25|17,0,3,10
19|20,7,8,9
17|32,3,3,10
36|18,5,3,1
12|,5,3,4
22|28,10,0,2
12|18,4,3,5
8|25,3,3,1
19|36,0,3,1
11|36,0,3,4
0|25,5,3,11
29|,2,3,6
6|,0,3,4
25|18,4,3,5
18|7,3,3,1
36|24,8,9,7
27|,8,9,7
12|13,0,3,10
36|2,9,4,3
2|33,9,4,3
3|24,8,9,7
0|21,5,3,11
36|,0,3,5
6|20,3,6,9
24|3,3,6,7
37|,0,3,4
33|2,9,4,3
11|18,4,3,5
28|,10,0,2
12|25,0,3,10
12|32,6,3,10
13|36,0,3,4
21|36,0,3,11
28|34,10,0,2
22|34,10,0,2
17|36,0,3,10
25|33,9,4,3
22|36,10,0,2
36|6,5,8,1
36|25,5,3,5
1|36,0,3,4
25|16,1,1,0
34|,10,0,2
34|25,10,0,2
29|36,2,3,6
10|,11,2,8
25|11,0,3,10
27|12,5,3,4
25|4,0,7,8
1|25,2,3,6
18|,4,3,5
11|,0,3,10
11|13,0,3,10
11|25,0,3,10
36|9,4,3,1
29|25,2,3,6
21|12,5,3,4
2|25,9,4,3
36|19,5,3,1
28|12,10,0,2
12|22,10,0,2
8|,5,3,4
23|25,1,1,0
22|25,3,0,2
3|25,3,6,7
24|,8,6,7
32|36,3,3,10
19|6,0,8,1
12|6,0,8,1
10|4,11,7,8
23|5,1,1,0
18|31,2,3,5
17|,6,3,4
16|25,3,3,1
29|1,2,3,6
30|,11,10,4
12|17,6,3,10
24|27,8,6,6
10|30,11,2,8
23|36,1,1,0
10|36,11,2,8
34|22,10,0,2
32|25,3,3,10
20|36,3,8,1
0|15,5,3,11
12|15,5,3,4
20|,7,8,1
12|34,0,0,2
25|30,11,2,8
12|0,5,5,11
7|,3,3,5
36|29,5,3,6
25|1,2,3,6
27|36,0,6,7
6|12,0,6,9
5|23,1,1,0
12|7,3,3,5
7|18,2,3,5
12|21,5,3,11
25|27,8,6,6
16|,1,1,0
15|36,5,5,11
13|11,0,3,10
2|36,9,4,3
36|26,9,4,3
25|6,0,8,1
1|,2,3,6
36|15,5,3,11
2|,9,4,3
33|,9,4,3
20|19,3,8,1
20|6,7,8,1
9|36,0,3,4
31|7,3,3,5
8|36,0,3,4
25|7,0,3,5
11|9,4,3,5
15|25,5,3,11
10|25,3,2,8
30|12,11,3,4
16|12,5,1,0
25|21,5,3,11
0|36,5,3,11
21|,5,5,11
36|8,5,3,10
12|1,2,3,6
29|31,2,3,6
36|3,8,6,7
27|3,8,6,7
24|12,8,6,7
