sequence,Gephi,KMeans_15D,KMeans_2D
12|15.12,5,4,3
12|26,2,10,10
12|10,0,10,10
12|30,0,7,8
31|,3,1,0
12|16,8,10,6
19|,7,3,1
19|25,7,3,2
37|13,6,1,10
31|25,3,1,0
6|25,7,3,2
12|31,3,1,0
12|25.11,10,10,10
36|0,5,4,3
12|36.4,0,7,8
12|37.8,10,10,1
12|37.10,10,7,8
36|34,4,2,5
36|26.2,2,9,4
37|27,9,0,7
25|13,10,10,10
12|29,1,8,9
26|33,2,9,4
12|28,4,2,5
37|7,3,1,0
4|,0,7,8
17|12,5,10,11
26|12.37,0,9,4
28|22.12,11,2,5
12|37.2,2,9,4
37|5,8,10,6
16|25,8,10,10
12|19,7,3,2
13|11.25,6,1,10
12|36.27,10,0,7
17|25,5,10,11
12|37.20,10,3,2
25|29,1,8,9
12|9,10,10,10
12|3,9,0,7
37|8,11,10,1
5|,8,10,6
16|36,8,10,10
25|12.31,10,8,9
20|25,11,3,2
18|25,6,10,10
37|26,2,9,4
3|,9,0,7
15|0,5,4,3
12|37.7,10,1,0
26|36,2,9,4
16|37,8,10,1
36|17,2,10,11
30|,0,7,8
25|17,10,10,11
36|18,6,1,0
36|33,2,9,4
12|,9,10,1
3|24.12,9,0,7
1|29,3,5,11
37|10,0,7,8
8|25,11,10,10
37|19,7,3,11
29|,1,8,9
26|12,2,9,4
29|12.25,6,1,9
25|18,10,1,0
3|12,9,0,4
12|36.19,7,10,10
25|1.12,1,8,9
12|13,10,10,10
36|2,2,10,4
21|12,5,4,3
25|34.12,4,10,10
19|12,7,3,2
0|21,5,4,3
37|34,4,2,5
17|12.36,5,5,11
24|3,9,5,7
37|,10,10,1
28|,4,2,5
12|32,10,10,11
36|,2,3,2
22|34,4,2,5
12|36.9,10,3,1
6|20.12,7,3,2
12|36.7,3,1,0
22|36,4,2,5
25|16,8,10,6
33|26.12,2,9,4
12|37.33,10,9,4
12|37.21,10,11,3
12|36.18,6,1,0
12|37.11,10,8,1
10|,0,7,8
25|11,10,10,10
37|1,1,6,9
1|25,1,8,9
12|37.5,10,10,6
6|20.25,7,3,2
11|13,6,10,10
22|25,11,2,5
29|25,1,8,9
36|19,7,10,1
36|30,5,7,8
28|12,4,2,5
20|,7,10,1
12|11,6,10,10
8|,10,10,1
23|25,8,10,6
12|36.11,6,10,10
1|12.36,1,5,11
24|,9,0,7
34|28,11,2,5
19|6,7,3,2
36|20,7,10,1
37|18,6,8,0
10|4,0,7,8
18|31,3,1,0
17|,2,10,1
29|1,10,8,9
21|15.0,5,4,3
12|36.21,5,4,3
29|12.36,3,5,11
17|32.25,2,10,11
37|23,8,10,6
12|37,0,7,4
1|12,1,10,9
37|30,0,7,8
12|37.30,10,7,8
36|9,7,3,1
37|9,7,3,1
32|25,11,10,11
12|37.4,10,7,8
36|31,3,1,0
0|15,5,4,3
29|12.31,3,1,9
12|37.22,4,2,5
25|30,0,7,8
19|20.6,7,3,2
9|36,7,3,1
12|37.28,10,2,5
27|36,9,0,7
5|23,8,10,6
37|3,9,0,7
12|25.34,10,2,5
12|17,10,10,11
25|27,10,0,7
25|6,7,3,2
11|18,6,1,1
3|12.36,9,5,7
37|32,5,5,11
12|36.8,10,5,11
12|37.26,2,9,4
17|32,2,10,11
2|,2,10,1
15|12,5,4,3
12|0,10,4,3
36|6,7,3,2
31|7,3,1,0
25|7,10,1,0
25|12.7,10,1,0
15|25,5,4,3
20|12,7,10,1
26|25,2,9,4
36|7,3,1,0
16|12,8,10,10
