sequence,Gephi,KMeans_15D,KMeans_2D
12|15.12,6,2,3
12|26,2,0,10
37|12.27,5,7,4
12|10,11,7,1
12|30,11,0,1
31|,8,4,9
18|12.37.12.36,8,4,11
37|12.37.8,0,13,2
19|,12,0,9
19|25,12,1,11
37|13,10,3,12
37|12.37.19,12,8,10
31|25,8,5,5
28|22.12.34,13,9,7
12|31,8,5,5
12|25.11,9,0,1
36|0,6,2,3
12|36.4,11,0,1
12|37.12.37.23,3,13,2
12|37.8,0,13,2
12|37.10,11,0,11
12|36.11,0,4,11
18|,0,11,0
13|25.12.37.12,10,3,12
37|12.37.4,3,0,10
25|13,10,0,12
12|29,7,5,5
26|33,2,6,8
12|36.12.37.8,0,13,2
12|28,13,9,7
37|7,8,10,4
4|,11,0,1
17|12,4,1,8
26|12.37,3,6,8
23|,1,13,2
12|37.2,3,6,8
37|12.37.24,5,7,4
37|28,13,9,7
12|20,9,0,1
12|19,12,8,0
12|37.12.21,6,2,3
13|11.25,10,3,12
12|36.27,5,7,4
17|25,4,1,8
12|37.20,3,11,13
12|37.12.37,11,0,11
12|37.17,4,1,6
12|9,3,11,0
12|3,5,7,4
37|8,2,13,2
5|,1,13,2
16|36,7,0,2
12|37.12.37.17,3,1,6
12|37.12.37.16,3,12,2
18|25,0,0,9
12|37.12.37.21,3,2,3
12|37.12.9,3,11,0
3|,5,7,4
15|0,6,2,3
12|37.7,3,2,5
30|10.25,11,0,10
37|12.6,12,8,0
16|37,7,3,5
36|17,4,1,11
12|37.9,3,8,0
0|25,6,2,3
12|37.12.37.1,3,12,5
36|18,0,4,9
36|33,2,6,10
12|,5,0,9
25|12.13,10,4,12
32|12.36.12,4,1,6
3|24.12,5,7,4
1|29,8,4,0
37|26,2,6,8
37|12.36.8,3,13,2
8|25,2,0,2
12|37.12.37.8,3,13,2
13|12.37,10,4,12
37|19,12,8,10
29|,7,5,5
26|12,2,0,10
29|12.25,10,4,12
37|2,3,6,8
3|12,5,7,4
12|36.19,12,4,11
25|1.12,7,5,5
37|12.37.6,12,8,0
12|13,10,0,9
