sequence,Gephi,KMeans_15D,KMeans_2D
36|30.24,12,8,9
34|24.18,6,3,2
26|16,10,4,6
18|4,6,10,4
4|18.37.18.37.34,14,10,2
25|7,7,2,1
18|36.32,0,9,0
13|24,12,8,14
18|24.18.37.18.37,15,8,9
23|18.36.18,10,6,13
26|16.18,10,4,6
18|37.28.27,8,0,5
37|0,13,1,7
18|37.18.37.20,4,1,7
12|18.37,8,7,5
37|32,5,9,0
26|18,10,4,6
32|,5,9,0
37|5,1,0,1
18|36.28,0,7,5
18|36.9,0,3,8
6|18.14,6,14,10
18|7,15,2,1
36|2,2,5,3
36|30.8,12,8,9
32|36,5,9,0
37|17,5,9,0
28|18.37.18,11,7,5
24|18.37.18.37,9,8,15
18|17,5,9,0
18|37.28,11,7,5
2|,2,5,3
3|,1,5,10
24|33,9,5,10
18|37.18.37.16,10,6,11
0|24,13,1,7
18|37.2,2,12,3
2|18.36.18.37.18,2,5,3
9|36.18,3,3,8
37|,6,12,14
33|4.21,14,10,4
24|34,9,14,2
9|22,3,0,8
24|10.18,9,5,3
11|,13,1,7
7|15,7,2,1
18|37.18.37.18.37.30,12,8,14
15|24,7,2,1
30|8,12,8,9
37|27,11,7,5
11|0.18.37.32,13,9,7
10|,2,5,3
6|18.36,6,14,2
29|,0,4,13
37|18.32,13,1,7
18|36.22,0,3,8
36|12,8,7,5
10|2.18,2,5,3
18|36.30,12,8,9
23|29,10,4,13
18|28,15,7,5
18|37.32,5,9,0
33|36.21,14,10,4
36|21.36.4,14,10,4
24|32,9,9,0
16|26.36,10,6,11
26|36,10,4,6
26|23,10,4,6
36|0,13,1,7
11|0.36,13,1,7
17|36,5,9,0
33|4.18,6,10,4
5|24,1,5,14
18|37.18.37.28.27,8,7,5
18|19,15,2,12
10|24,2,5,3
28|36,11,7,5
16|26,10,12,13
16|24,10,4,6
10|36.2,2,5,3
37|9,3,0,8
22|24,3,3,8
18|37.18.37.32,13,9,0
18|37.7,7,2,1
18|37.18.37.18.37.34,4,14,2
34|6.36,6,14,2
18|20,15,1,7
