source,target,value
22|36,37|22,0.3333333333333333
22|36,28|22.36,1.0
37|21,12|37.21,0.07339449541284404
24|12,37|24,0.33076923076923076
24|12,27|24.12,1.0
24|12,12|,0.06923076923076923
24|12,25|24,0.06153846153846154
24|12,36|24.12,1.0
24|12,3|24.12,1.0
16|36,37|16,1.0
5|16,23|5.16,1.0
12|18,37|,0.7435897435897436
12|18,25|12,0.2564102564102564
37|20,12|37.20,0.18518518518518517
12|17,37|,0.7647058823529411
12|17,32|,0.10588235294117647
12|17,25|12.17,1.0
3|25,24|3,0.85
3|25,37|3,0.15
27|,25|27,1.0
27|,36|27,1.0
27|,3|,0.0275
27|,12|27,1.0
27|,24|27,0.24242424242424243
27|,37|27,1.0
26|2.33,37|26,1.0
26|2,33|,0.7729885057471264
26|2,25|,0.022988505747126436
26|2,36|26.2,1.0
26|2,37|26,0.10344827586206896
26|2,12|26,0.04597701149425287
12|10,37|,1.0
12|36,5|12,0.002268716914544996
12|36,23|,0.005041593143433325
12|36,25|12.36,0.15833333333333333
12|36,29|12.36,1.0
12|36,17|12.36,1.0
12|36,6|12,0.00403327451474666
12|36,26|12,0.0032770355432316612
12|36,18|12.36,0.3125
12|36,4|12,0.003024955886059995
12|36,33|12,0.0025207965717166624
12|36,15|12.36,0.56
12|36,27|12,0.002268716914544996
12|36,34|12.36,0.47058823529411764
12|36,20|12.36,1.0
12|36,31|,0.016385177716158307
12|36,21|12,0.004537433829089992
12|36,16|12,0.00201663725737333
12|36,11|12.36,0.4090909090909091
12|36,28|12,0.0025207965717166624
12|36,7|,0.004285354171918326
12|36,3|12.36,1.0
12|36,0|12.36,0.5263157894736842
12|36,19|12,0.01613309805898664
12|36,24|12,0.0027728762288883285
12|36,9|,0.038064028232921605
12|36,13|,0.017897655659188303
12|36,10|,0.008318628686664987
12|36,2|12,0.009579026972523318
12|36,8|,0.031005797832114948
12|36,22|,0.007310310057978321
12|36,36|12.36,1.0
12|36,37|,0.5328963952609025
12|36,32|,0.017141416687673303
12|36,1|12.36,0.6190476190476191
12|36,30|12,0.003024955886059995
23|25,5|23,1.0
18|12.36,37|18,0.4375
18|12.36,7|18,0.25
18|12.36,36|18,0.3125
6|20.12,19|6,0.6052631578947368
6|20.12,37|6,0.39473684210526316
36|4,12|36.4,1.0
12|4,37|,0.84
12|4,25|12,0.16
22|28,37|22,0.6
22|28,34|22,0.4
33|26.25,37|33,1.0
23|8,5|23,1.0
26|12,33|26.12,1.0
26|12,2|26,0.26865671641791045
26|12,37|26,0.22388059701492538
26|12,12|26,0.16417910447761194
37|32,12|37.32,0.08181818181818182
21|15.36,37|21,1.0
18|25,37|18,1.0
37|6,12|37.6,0.7791411042944786
0|36,37|0,0.30303030303030304
0|36,36|0,0.3333333333333333
0|36,21|0.36,1.0
12|16,37|,1.0
12|32,17|12.32,1.0
12|32,37|,0.7037037037037037
11|13.25,37|11,1.0
20|6.19,12|20,0.30303030303030304
20|6.19,37|20,0.696969696969697
6|19.20,37|6,1.0
7|,37|7,1.0
7|,31|7,1.0
7|,12|7,0.38636363636363635
7|,25|7,0.21951219512195122
7|,18|7,0.4166666666666667
7|,36|7,0.14814814814814814
26|12.37,2|26,1.0
12|26,33|12,0.42857142857142855
12|26,37|,0.5714285714285714
12|37.18,31|,0.07801418439716312
12|37.18,9|,0.06382978723404255
12|37.18,37|,0.6595744680851063
12|37.18,25|12,0.09219858156028368
12|37.18,36|12,0.10638297872340426
0|12.36,12|0,0.47368421052631576
0|12.36,37|0,0.5263157894736842
23|5.12,16|23,1.0
12|36.28,37|,1.0
37|3,12|37.3,1.0
10|,30|,0.6838235294117647
10|,37|10,1.0
10|,4|,0.034926470588235295
10|,25|10,1.0
10|,12|10,1.0
10|,23|,0.014705882352941176
10|,36|10,1.0
