Id,modularity_class
18|5,15
24|2,9
8|18,11
18|37.18.37.18.37.2,2
29|36.18,0
37|18.36,0
24|33,9
18|37.18.14,11
2|18,2
12|,8
17|36,5
37|18.37.20,4
2|24,2
24|5,9
18|37.3,1
8|13.36.30,12
6|24,6
18|24.22,15
18|37.24.22,9
28|27,8
11|18.37.18,13
11|0.24,13
18|36.19,0
9|24,3
18|36.20,0
26|16.23,10
20|18.37,13
36|31,5
32|18,5
22|36.9,3
18|37.18.32,13
37|23,10
36|6,6
23|36,10
9|18.37.29,3
36|16,11
23|36.16,10
37|18.37.33,4
18|24.18.37.18.37,15
37|19,4
13|36,12
24|30,9
34|36,6
26|24,10
9|36.18,3
17|24,5
36|31.17,5
4|18.37.18.37.34,14
36|9.22,0
2|36.24,2
36|17,5
18|36.34,0
18|37.20,13
31|17,5
13|24,12
18|37.33,14
18|37.7,7
23|,10
18|36.28,0
23|29,10
22|9.24,3
18|37.18.37.7,4
37|18.37.30,12
18|7,15
18|11,15
9|22,3
5|18.37.18.36,1
37|18.37.31,5
18|4,6
26|23.24,10
0|11,13
18|37.30,12
37|18.37.24,9
16|26.24,10
33|36.21,14
37|18.37.18.37.2,2
6|,6
18|37.13,11
18|37.19,4
18|37.10,2
12|18.37,8
24|18.37.18.37,9
18|37.18.37.18.37.34,4
6|36,6
18|33,15
36|19,0
18|37.18.37.19,4
18|36.18.37.18,0
37|18.37.19,4
24|22,9
36|27,11
36|24,9
22|9,3
7|24,7
4|18.36,14
18|37.18.37.33,4
37|18.37.2,2
36|8,0
16|26.18,10
3|18,1
36|11,13
24|18.36,9
15|24,7
17|,5
16|26.24.18,10
37|18.32,13
31|,5
18|19,15
32|31.18,5
12|24,8
23|18.37.33,10
16|18,10
0|18.36,13
36|2,2
37|7,7
8|30,12
18|36.22,0
37|13,11
25|,7
37|22,3
36|18.37.18,0
16|36,10
5|14,1
37|18.37.18.37.30,12
34|24.18,6
24|18.37.18,9
36|6.34,5
18|36.3,0
16|18.36,10
18|36.6.18,6
3|36,1
36|6.18,6
2|18.37,2
16|23.18,10
18|37.18.36,0
5|36.18,1
18|37.18.37.34,6
18|9,15
37|32,5
36|18.37.19,0
36|7,0
18|37.18.37.16,10
21|18.36,6
18|36.4,0
36|15,7
13|18.36,12
31|17.24,5
37|16,10
10|18.36.18,2
36|4.36.21,14
30|18.36,12
37|18.37.18.37.16,4
8|13.18.36,12
8|13.18.37,12
18|36.24,9
37|18.37.18.37.34,4
24|18.37.24,9
10|,2
18|37.29,0
24|18.2,9
18|37.18.37.26,4
3|5,1
18|37.17,5
18|37.18.37.32,13
18|36.11,0
18|14.18.36,11
18|37.28,11
27|18.37,11
18|30.8,15
4|36,14
18|30,15
26|36,10
33|4.18,6
36|12,8
11|0.18.36,13
2|,2
36|4,14
26|18,10
19|24,4
3|18.14,1
18|36.2,2
2|18.37.18.37.18.37,2
23|16,10
18|37.18.37,11
18|37.18.37.18.37,4
24|18,9
13|30,12
18|36.8,0
30|24,12
18|37.18.37.24,9
22|18,3
26|24.18,10
26|,10
18|17,5
24|36,9
36|26,10
36|14,0
37|28,11
30|,12
37|4,14
6|24.18.37.18,6
36|21.36.4,14
18|37,6
10|5,2
36|30.8,12
8|,12
25|7,7
18|36.14,0
33|18,14
7|18,7
30|36,12
37|10,2
24|32,9
36|34,0
37|18.37.34,6
10|2.18,2
25|15,7
37|18.37.18.37.32,13
32|36,5
18|34,15
18|37.4,14
33|4.36,14
31|18,5
26|36.18,10
36|21,6
27|24,8
36|3,0
3|5.18.14,1
12|36,8
26|16.18,10
33|4.21,14
37|18.37.32,13
5|,1
18|37.18,15
18|37.0,13
15|,7
37|27,11
37|17,5
6|18.37.24,6
37|18.14,11
9|36,3
18|37.26,10
18|36.33,0
36|30,12
32|31.17.24,5
18|37.31,5
30|8.13.24,12
22|,3
33|21,14
0|24,13
37|0,13
7|36,7
36|21.24,14
24|20,9
28|27.12.24,8
18|2.18.37,9
37|26,10
18|28,15
23|18,10
17|18.36,5
13|18.37,12
18|36.5,0
28|12.18,11
32|17.18,5
10|2,9
18|37.15,7
23|26.16,10
24|18.37.18.37.24,9
17|18,5
36|13,12
4|36.21,14
29|,0
11|0.36,13
24|18.14,9
18|36.21,6
36|18.37.29,0
5|10,0
36|16.26.24,10
6|18.36,6
18|16,15
37|30,12
27|12.18.37,8
11|0.18.37.32,13
3|18.37.18.37,9
37|31,5
18|32,13
37|5,1
15|18.36,7
21|4,14
27|12,8
18|20,15
37|18.37.22,3
18|37.9,3
21|24,14
18|37.18.37.28.27,8
18|37.16,10
24|10.18,9
20|36.11,13
4|24,14
24|3,1
16|26.36,10
0|18.37.32,13
37|29,0
15|36,7
36|29,0
30|8,12
5|24,1
20|,13
8|36,12
37|9,3
4|21,14
13|,12
36|23.24,10
28|,11
15|25,7
37|18.37.26,4
8|13.24,12
33|21.18,14
11|36,13
37|18.37.16,10
37|24,9
37|25,11
37|18.37.23,4
18|22,15
37|18.36.16,11
36|5.18.14,1
