sequence,Gephi,KMeans_15D,KMeans_2D
8|13.36.30,12,3,0
18|37.18.37.31,5,1,2
18|37.18.37.32,13,1,2
18|37.18.37.18.37.32,13,1,2
8|13.18.30,12,3,0
26|36,10,1,3
37|17,5,1,2
18|37.18.32,13,1,2
18|37.18.37.28.27,8,1,2
37|9,3,1,2
18|37.15,7,1,1
18|37.25,11,1,1
9|36,3,1,3
18|17,5,1,2
24|7,9,1,2
37|18.37.26,4,3,0
11|0.18.36,13,1,2
37|18.37.23,4,3,0
33|4.18,6,1,2
11|0.18.37.32,13,1,2
24|32,9,1,2
36|20,0,1,2
32|36,5,1,3
18|37.18.37.7,4,1,1
18|37.18.37.18.37.30,12,1,2
18|37.18.37.20,4,1,1
22|24,3,2,3
18|12,8,1,2
15|24,7,2,3
30|8.13.24,12,3,0
36|23.24,10,3,0
18|37.31,5,1,2
7|36,7,1,3
18|36.28,0,1,3
27|12.18.37,8,1,2
18|37.13,11,1,3
31|17,5,1,2
37|30,12,1,2
0|24,13,2,3
18|37.17,5,2,1
19|24,4,2,3
24|30.18,9,1,2
11|0.36,13,1,2
18|36.22,0,1,3
16|24,10,2,3
18|37.4,14,2,1
37|18.37.33,4,3,0
18|36.33,0,1,3
4|24,14,2,3
18|37.9,3,2,1
24|6,6,1,2
13|24,12,2,3
8|36,12,1,3
18|36.4,0,2,1
37|18.37.32,13,3,0
21|24,14,2,3
32|17.18,5,1,2
18|36.8,0,1,3
37|18.37.7,4,3,0
36|21.24,14,3,0
20|36.11,13,3,0
18|36.10,0,2,1
25|7,7,1,2
2|24,2,2,3
8|30,12,1,2
5|36.18,1,2,1
24|10.18,9,1,2
18|37.27,11,1,3
9|36.18,3,2,1
18|26,15,1,2
18|36.11,0,1,3
18|37.12,11,1,3
36|27.12,11,1,2
18|37.18.37.18.37.16,4,1,1
29|36.18,0,2,1
18|37.18.37.26,4,1,1
16|26.18,10,1,2
32|31.18,5,1,2
18|36.3,0,1,3
20|11.0.24,13,3,0
18|37.18.37.23,4,1,1
12|27,11,1,2
30|13,12,1,2
36|9,3,1,2
18|4,6,1,2
24|16,9,1,2
18|37.0,13,1,2
18|16,15,2,1
18|20,15,1,2
16|26.23.24,10,3,0
37|18.37.2,2,3,0
33|21.18,14,1,2
27|12.24,8,3,0
18|9,15,1,2
21|18,6,0,0
7|15,7,1,2
26|23.24,10,3,0
18|36.34,0,1,3
18|37.18.37.18.37.2,2,1,2
37|18.37.34,6,3,0
18|37.18.36.16,11,1,1
10|24,2,2,3
24|18.14,9,1,2
34|18.6,6,3,0
30|18,15,0,0
15|36,7,2,1
32|31.17.24,5,3,0
8|13.18.37,12,1,2
18|37.23,10,2,1
22|9,3,1,2
28|36,11,1,3
18|37.18.37.18.37.34,4,1,2
17|24,5,2,3
37|12,11,1,2
37|18.37.16,10,3,0
18|37.26,10,2,1
5|10,0,1,1
36|22,0,1,2
37|18.37.20,4,3,0
18|37.16,10,2,1
36|18.37.29,0,3,0
36|6.18,6,1,2
12|18.37,8,0,0
5|24,1,2,3
37|18.37.30,12,3,0
24|28,9,1,2
6|18,6,0,0
2|10.18,2,1,2
17|18,5,0,0
30|18.36,12,2,3
36|16,11,1,2
18|6,6,1,2
23|16,10,1,2
37|25,11,1,2
37|18.37.31,5,3,0
37|3,1,1,2
37|22,3,1,2
18|22,15,1,2
18|37.2,2,2,1
18|37.11,13,2,1
10|18,2,0,0
37|27,11,1,2
6|18.14,6,1,2
18|37.18.14,11,1,3
18|36.16,11,3,0
36|21.4,14,3,0
25|15,7,1,2
33|4.21,14,3,0
18|37.18.37.16,10,1,1
36|7,0,1,2
4|18.36,14,2,3
18|3.5,15,1,2
24|2,9,1,2
26|16.18,10,1,2
5|14,1,1,2
22|36.9,3,3,0
18|37.33,14,2,1
23|24,10,2,3
17|18.36,5,2,3
37|15,7,1,2
12|24,8,2,3
18|37.7,7,2,1
37|28,11,1,2
18|37.3,1,2,1
18|7,15,1,2
7|37,7,1,2
18|36.2,2,2,1
18|36.19,0,2,1
18|36.21,6,2,1
13|18.37,12,0,0
18|11,15,1,2
16|36,10,1,3
9|24,3,2,3
18|34,15,1,2
0|18.37.32,13,3,0
34|24.18,6,1,2
23|18.36.18,10,1,3
37|16,10,1,2
37|18.37.28.27,8,3,0
18|36.26,0,1,2
18|36.18.37.19,0,2,1
36|6.34,5,2,3
4|18,14,0,0
10|5,2,1,2
18|36.14,0,2,1
3|18,1,2,3
18|36.7,0,1,3
2|36.24,2,1,2
18|37.30,12,2,1
7|24,7,2,3
36|18.37.19,0,3,0
12|36,8,2,1
18|37.8,12,2,1
33|4.36,14,3,0
15|18.36,7,2,3
0|11,13,1,2
27|24,8,2,3
14|24,2,2,3
18|37.20,13,2,1
37|2,2,1,2
36|30.24,12,3,0
37|18.37.19,4,3,0
26|16.23,10,3,0
18|36.5,0,2,1
36|6,6,2,3
36|34,0,1,2
30|8,12,1,2
16|23.18,10,1,2
5|18.36.18,1,1,3
18|36.20,0,1,3
21|33,6,1,2
9|22,3,1,2
27|28,11,1,2
18|0,15,1,2
10|18.36.18,2,1,3
37|26,10,1,2
33|36.21,14,3,0
6|24.18.37.18,6,1,2
2|18,2,2,3
10|2.18,2,1,2
7|,7,1,2
37|11,13,1,2
31|,5,2,3
18|37.5,1,2,1
10|36.2,2,3,0
16|18.36,10,2,3
37|18.32,13,3,0
25|,7,2,3
4|36,14,2,1
18|30.8,15,1,2
18|37.34,6,2,1
15|25,7,1,2
3|5.18.14,1,3,0
27|36,8,1,3
18|2.18.37,9,1,2
24|30,9,2,3
36|9.22,0,3,0
31|18.36,5,2,3
37|18.37.18.37.32,13,3,0
37|8,12,1,2
22|,3,2,1
18|37.10,2,2,1
18|37.28.27,8,2,1
22|9.36,3,3,0
36|28,0,1,2
18|10.2.18,9,1,2
37|7,7,1,2
27|18.37,11,2,3
31|32,5,3,0
36|30,12,1,2
18|37.28,11,2,1
2|36,2,2,1
15|,7,0,0
22|18,3,0,3
8|13.30,12,3,0
37|18.37.18.37.16,4,3,0
21|36.4,14,3,0
24|20,9,1,2
18|24.22,15,1,2
23|36,10,2,1
24|10,9,2,3
36|2.18.37,2,3,2
31|18,5,0,0
36|21.36.4,14,3,0
37|18.37.22,3,3,0
2|18.37.18.37.18.37,2,2,3
0|20,13,1,2
13|18.36,12,2,3
28|18.37.18,11,2,3
5|18.37.18.37.18.37,1,2,3
36|4.36.21,14,3,0
36|19,0,1,1
7|18,7,0,0
30|36,12,2,3
37|10,2,1,2
18|36.6.18,6,1,2
18|5,15,1,2
8|13.24,12,3,0
6|14,6,1,2
36|26,10,1,2
18|37.18.37.19,4,1,1
18|30,15,2,1
2|18.36.18.37.18,2,1,3
3|36,1,2,1
36|31.17,5,3,0
12|18.36,8,2,3
18|23,15,1,2
26|18,10,0,0
18|36.32,0,1,3
6|18.36,6,2,3
36|23,10,1,2
18|36.29,0,2,1
18|8,15,1,2
37|24.22,9,3,0
17|36,5,2,1
20|18.37,13,2,3
27|,8,2,3
34|36,6,2,1
37|33,14,1,2
23|18,10,0,3
36|4,14,1,2
33|18,14,2,3
21|18.36,6,2,3
18|36.18.37.29,0,2,1
18|32,13,3,0
32|,5,1,2
37|19,4,1,1
6|,6,1,2
9|18.36,3,2,3
8|13.18.36,12,3,0
16|26.36,10,3,0
36|10,0,1,2
17|31,5,1,2
13|30,12,1,2
31|17.24,5,3,0
10|,2,0,0
13|36.30,12,3,0
24|18.36,9,2,3
12|18,8,2,3
24|33,9,1,2
8|18,11,2,3
11|18.37.18,13,2,3
5|18.14,1,3,0
36|3,0,1,2
18|33,15,1,2
0|18.36,13,2,3
36|23.36,0,3,0
18|36.30,12,1,3
37|20,13,1,2
24|18.2,9,1,3
4|36.21,14,3,0
13|,12,2,3
36|14,0,1,1
37|29,0,1,1
37|0,13,1,2
13|36,12,2,1
36|25.15,7,3,0
3|5,1,1,2
0|36,13,2,1
26|24,10,2,3
36|11,13,1,2
3|18.37.18.37,9,2,3
37|18.37.18.37.2,2,3,0
24|5,9,1,1
17|,5,2,3
24|22,9,1,3
18|37.18.37.2,2,1,1
13|18.30,12,3,0
26|,10,2,1
36|27,11,2,3
6|24,6,2,3
23|18.37.33,10,3,0
36|17,5,2,1
18|36.9,0,1,3
23|36.16,10,3,0
36|2,2,1,2
26|23,10,1,2
34|24,6,2,3
37|31,5,1,2
37|18.14,11,3,0
26|36.18,10,2,1
30|,12,1,2
24|18.37.18.37.24,9,1,2
26|24.18,10,2,1
13|8,11,1,2
18|28,15,1,2
12|,8,2,3
18|2,2,2,1
16|18,10,2,3
3|18.14,1,3,0
34|6.36,6,3,0
16|26.24.18,10,3,0
33|,14,1,3
37|34,6,1,2
36|13,12,2,3
6|36,6,2,1
36|5.18.14,1,3,0
22|9.24,3,3,0
22|18.37.18.37,3,2,3
14|18.36,11,2,3
24|3,1,1,2
18|37.18.37.22,3,1,1
18|36.23,0,1,3
30|24,12,2,3
10|2,9,2,3
18|36.18,0,0,0
26|36.23,10,3,0
18|36.18.37.18,0,0,0
36|33,0,1,2
36|31,5,2,1
25|18.37,7,2,3
18|36.24,9,2,1
24|36,9,0,0
36|5,0,1,2
16|23,10,3,0
9|,3,0,0
37|32,5,1,2
22|9.18.36,3,3,0
23|26.16,10,3,0
14|,2,0,0
18|21,15,1,2
23|29,10,1,2
28|27,8,1,2
0|,13,0,0
11|,13,0,0
28|,11,0,3
36|12,8,2,1
37|28.27,8,3,0
3|,1,0,0
18|37.32,5,2,1
18|37.19,4,2,1
11|0.24,13,3,0
36|0,13,2,1
9|18.37.29,3,3,0
26|16,10,1,2
4|21,14,1,1
20|,13,0,0
37|18.37.18.37.30,12,3,0
23|,10,2,1
36|8,0,1,2
37|4,14,1,2
4|,14,2,3
18|37.18.37,11,0,0
24|34,9,1,2
