url,num,type
Coursework,23,Coursework
week0_weekly_prompt_questions.html,4,reading
intro_to_the_career_development_process.html,9,reading
what_is_liberal_education.html,20,reading
cultural_competence.html,17,video
i_am_not_your_asian_stereotype.html,28,video
the_girl_next_door.html,18,reading
beloved_friends_and_allies.html,14,reading
building_a_bridge.html,5,reading
the_call.html,31,video
black_domers.html,6,reading
capstone_instructions.html,12,reading
family_and_hope.html,13,video
father_ted_fisher_of_men.html,34,reading
activate_irish_compass_account.html,8,reading
career_development_guide.html,25,reading
eportfolio_access_and_link_check.html,15,reading
prayer.html,16,video
the_discipline_of_prayer.html,10,reading
heart_zeal_family.html,24,video
st_andre_bessette.html,27,video
three_key_questions.html,11,reading
father_greg_boyle.html,29,video
integration3_instructions.html,22,reading
seven_themes.html,21,reading
zeal_the_tom_dooley_story.html,7,video
by_the_numbers.html,26,reading
how_to_be_better_at_stress.html,2,reading
embracing_vulnerability.html,1,video
grit_the_power_of_passion.html,32,video
keyes_flourishing_scale.html,0,reading
building_a_financial_future.html,33,reading
learn_personal_finance.html,30,video
one_life_changing_class.html,3,video
week0_weekly_prompt_questions.html,19,reading
Idle_15-30mins
