url,num,type
,3,Coursework
week0_weekly_prompt_questions.html,27,reading
intro_to_the_career_development_process.html,6,reading
what_is_liberal_education.html,11,reading
/cultural_competence.html,32,video
/i_am_not_your_asian_stereotype.html,8,video
/the_girl_next_door.html,14,reading
/beloved_friends_and_allies.html,0,reading
/building_a_bridge.html,7,reading
/the_call.html,33,video
/black_domers.html,34,reading
/capstone_instructions.html,26,reading
/family_and_hope.html,31,video
/father_ted_fisher_of_men.html,21,reading
activate_irish_compass_account.html,9,reading
career_development_guide.html,16,reading
eportfolio_access_and_link_check.html,5,reading
prayer.html,29,video
the_discipline_of_prayer.html,24,reading
heart_zeal_family.html,23,video
st_andre_bessette.html,28,video
three_key_questions.html,13,reading
father_greg_boyle.html,22,video
integration3_instructions.html,12,reading
seven_themes.html,18,reading
zeal_the_tom_dooley_story.html,1,video
by_the_numbers.html,19,reading
how_to_be_better_at_stress.html,17,reading
embracing_vulnerability.html,30,video
grit_the_power_of_passion.html,25,video
keyes_flourishing_scale.html,4,reading
building_a_financial_future.html,2,reading
learn_personal_finance.html,10,video
one_life_changing_class.html,15,video
week0_weekly_prompt_questions.html,20,reading
