url,num,type,week
integration3_instructions,29,reading,"5,6"
building_a_bridge,0,reading,11
week0_weekly_prompt_questions,1,reading,0
the_discipline_of_prayer,34,reading,3
what_is_liberal_education,2,reading,1
activate_irish_compass_account,3,reading,1
heart_zeal_family,4,video,4
prayer,6,video,3
black_domers,7,reading,12
embracing_vulnerability,8,video,8
how_to_be_better_at_stress,9,reading,7
career_development_process,10,reading,1
beloved_friends_and_allies,11,reading,11
one_life_changing_class,12,video,9
eportfolio_access_and_link_check,14,reading,3
family_and_hope,15,video,12
father_greg_boyle,16,video,5
cultural_competence,17,video,10
Coursework,18,coursework,-
capstone_instructions,19,reading,12
the_call,20,video,11
grit_the_power_of_passion.,13,video,8
by_the_numbers,22,reading,7
zeal_the_tom_dooley_story,23,video,5
week0_weekly_prompt_questions,24,reading,0
father_ted_fisher_of_men,25,reading,12
seven_themes,26,reading,5
three_key_questions,21,reading,4
building_a_financial_future,28,reading,9
learn_personal_finance,27,video,9
keyes_flourishing_scale,30,reading,8
career_development_guide,5,reading,2
i_am_not_your_asian_stereotype,32,video,10
st_andre_bessette,33,video,4
the_girl_next_door,31,reading,10
Short Idle Time,36,idle_time,-
Long Idle Time,37,idle_time,-
