source,target,value
3|36,A,154
3|36,B,287
3|36,C,14
3|36,D,2
3|36,F,1
18|28,A,18
18|28,B,41
18|28,C,3
37|24,A,115
37|24,B,215
37|24,C,11
37|24,D,2
37|24,F,1
16|26.23.24,A,9
16|26.23.24,B,6
18|2,A,54
18|2,B,96
18|2,C,5
18|2,D,1
18|9,A,66
18|9,B,107
18|9,C,7
18|9,D,1
31|17,A,73
31|17,B,127
31|17,C,7
31|17,D,1
28|18.37.18,A,4
28|18.37.18,B,9
28|18.37.18,C,1
21|18.36,A,13
21|18.36,B,24
21|18.36,C,1
6|18.36,A,17
6|18.36,B,30
6|18.36,C,1
6|18.36,D,1
24|18.37.18,A,99
24|18.37.18,B,172
24|18.37.18,C,9
24|18.37.18,D,1
24|18.37.18,F,1
24|18.2,A,11
24|18.2,B,9
15|,A,104
15|,B,171
15|,C,8
15|,D,2
15|,F,1
36|,A,154
36|,B,288
36|,C,14
36|,D,2
36|,F,1
12|18.36,A,13
12|18.36,B,24
12|18.36,C,1
36|24,A,99
36|24,B,159
36|24,C,10
36|24,D,1
36|24,F,1
18|37.0,A,107
18|37.0,B,204
18|37.0,C,12
18|37.0,F,1
18|36,A,153
18|36,B,288
18|36,C,14
18|36,D,2
18|36,F,1
18|36.8,A,130
18|36.8,B,233
18|36.8,C,13
18|36.8,D,2
18|36.8,F,1
18|37.18.37.18.37.2,A,51
18|37.18.37.18.37.2,B,95
18|37.18.37.18.37.2,C,7
18|37.18.37.18.37.2,D,1
18|37.18.37.18.37.2,F,1
18|37.18.37.18.37.32,A,11
18|37.18.37.18.37.32,B,26
18|37.18.37.18.37.32,C,1
37|23,A,55
37|23,B,74
37|23,C,5
37|23,D,1
18|37.33,A,80
18|37.33,B,126
18|37.33,C,9
18|37.33,D,2
15|18.36,A,9
15|18.36,B,6
15|18.36,C,1
18|11,A,13
18|11,B,21
16|26.24,A,15
16|26.24,B,23
36|25.15,A,4
36|25.15,B,10
36|25.15,C,2
37|18.37.18.37.32,A,11
37|18.37.18.37.32,B,26
37|18.37.18.37.32,C,1
15|24,A,17
15|24,B,21
18|17,A,10
18|17,B,20
18|17,C,3
6|,A,149
6|,B,278
6|,C,14
6|,D,2
6|,F,1
24|5,A,17
24|5,B,39
24|5,C,2
2|,A,154
2|,B,288
2|,C,14
2|,D,2
2|,F,1
26|16,A,31
26|16,B,55
26|16,C,2
37|12,A,19
37|12,B,25
37|12,D,1
18|37.7,A,85
18|37.7,B,152
18|37.7,C,5
18|37.7,D,1
12|18.37,A,48
12|18.37,B,83
12|18.37,C,6
12|18.37,D,2
37|29,A,111
37|29,B,211
37|29,C,9
37|29,D,1
37|29,F,1
18|36.18.37.19,A,12
18|36.18.37.19,B,8
36|17,A,18
36|17,B,41
36|17,C,1
26|18,A,39
26|18,B,77
26|18,C,5
0|36,A,21
0|36,B,35
0|36,C,5
8|18,A,22
8|18,B,29
8|18,C,1
8|18,D,1
32|17.18,A,11
32|17.18,B,30
32|17.18,C,1
26|24.18,A,17
26|24.18,B,27
14|,A,136
14|,B,250
14|,C,10
14|,D,2
14|,F,1
37|13,A,15
37|13,B,12
37|13,C,3
37|13,D,1
13|36,A,24
13|36,B,47
13|36,C,1
18|14,A,93
18|14,B,162
18|14,C,10
18|14,D,2
18|14,F,1
14|18.37.24,A,9
14|18.37.24,B,15
34|24.18,A,8
34|24.18,B,17
34|24.18,C,1
37|0,A,107
37|0,B,207
37|0,C,12
37|0,D,1
37|0,F,1
18|36.9,A,37
18|36.9,B,84
18|36.9,C,2
18|36.9,F,1
18|5,A,19
18|5,B,44
18|5,C,2
16|26,A,100
16|26,B,165
16|26,C,7
16|26,D,1
29|36.18,A,8
29|36.18,B,3
18|,A,154
18|,B,288
18|,C,14
18|,D,2
18|,F,1
18|19,A,25
18|19,B,47
11|36,A,15
11|36,B,35
11|36,C,1
11|36,F,1
36|5.18.14,A,1
36|5.18.14,B,2
37|27,A,26
37|27,B,44
37|27,C,2
18|22,A,22
18|22,B,40
18|22,C,1
18|22,D,1
25|,A,99
25|,B,157
25|,C,7
25|,D,1
37|18.37.26,A,16
37|18.37.26,B,33
37|18.37.26,C,1
27|28,A,5
27|28,B,17
17|18,A,81
17|18,B,168
17|18,C,9
17|18,D,1
7|36,A,12
7|36,B,28
7|36,C,3
31|18,A,34
31|18,B,66
31|18,C,3
18|36.11,A,8
18|36.11,B,7
18|36.11,C,1
18|12,A,7
18|12,B,16
18|12,C,2
24|36,A,35
24|36,B,81
24|36,C,2
24|36,F,1
36|18,A,151
36|18,B,283
36|18,C,14
36|18,D,2
36|18,F,1
37|18.37.20,A,21
37|18.37.20,B,42
37|18.37.20,C,3
36|8,A,151
36|8,B,283
36|8,C,14
36|8,D,2
36|8,F,1
6|34,A,21
6|34,B,36
6|34,C,2
6|34,F,1
32|31.18,A,4
32|31.18,B,14
32|31.18,C,2
27|12.24,A,19
27|12.24,B,30
27|12.24,C,2
27|,A,149
27|,B,276
27|,C,13
27|,D,1
18|37.3,A,118
18|37.3,B,188
18|37.3,C,13
18|37.3,D,2
33|4.18,A,8
33|4.18,B,35
33|4.18,D,1
18|20,A,14
18|20,B,30
18|20,C,1
36|30.8,A,24
36|30.8,B,44
36|30.8,C,2
36|30.8,D,1
33|,A,149
33|,B,271
33|,C,12
33|,D,2
37|11,A,36
37|11,B,64
37|11,C,4
37|11,F,1
37|18.32,A,4
37|18.32,B,9
37|18.32,C,1
37|18.14,A,15
37|18.14,B,39
37|18.14,C,2
37|18.14,D,2
36|6.18,A,19
36|6.18,B,55
36|6.18,C,3
36|6.18,F,1
18|36.26,A,4
18|36.26,B,12
37|18.37,A,154
37|18.37,B,288
37|18.37,C,14
37|18.37,D,2
37|18.37,F,1
2|18.37.18.37.18.37,A,98
2|18.37.18.37.18.37,B,183
2|18.37.18.37.18.37,C,9
2|18.37.18.37.18.37,F,1
8|,A,143
8|,B,254
8|,C,10
8|,D,2
36|32,A,24
36|32,B,44
36|32,C,2
12|36,A,9
12|36,B,27
36|7,A,39
36|7,B,98
36|7,C,4
20|,A,107
20|,B,216
20|,C,10
20|,D,1
20|,F,1
24|18.14,A,16
24|18.14,B,14
24|18.14,C,2
24|18.14,F,1
3|,A,154
3|,B,288
3|,C,14
3|,D,2
3|,F,1
18|37.9,A,145
18|37.9,B,272
18|37.9,C,13
18|37.9,D,2
18|37.9,F,1
18|37.28.27,A,62
18|37.28.27,B,89
18|37.28.27,C,4
18|37.28.27,D,1
17|31,A,14
17|31,B,10
9|36,A,23
9|36,B,40
9|36,C,1
37|20,A,48
37|20,B,97
37|20,C,5
18|26,A,9
18|26,B,24
18|26,C,1
30|8,A,110
30|8,B,202
30|8,C,7
30|8,D,2
22|24,A,12
22|24,B,24
22|24,C,3
22|24,D,1
37|18.37.18.37.16,A,15
37|18.37.18.37.16,B,31
27|18.37,A,10
27|18.37,B,7
27|18.37,C,1
18|37.18.37.18.37.30,A,17
18|37.18.37.18.37.30,B,28
18|37.18.37.18.37.30,C,4
18|37.18.37.28.27,A,36
18|37.18.37.28.27,B,52
18|37.18.37.28.27,C,2
18|37.18.37.28.27,D,1
34|,A,150
34|,B,279
34|,C,13
34|,D,2
34|,F,1
37|22,A,64
37|22,B,102
37|22,C,4
36|34,A,37
36|34,B,63
36|34,C,3
36|34,D,2
5|3.18,A,14
5|3.18,B,19
5|3.18,C,1
37|26,A,35
37|26,B,65
37|26,C,1
4|18,A,89
4|18,B,172
4|18,C,8
4|18,D,2
4|18,F,1
36|20,A,24
36|20,B,39
36|20,C,1
36|20,D,1
36|20,F,1
22|18.37.18.37,A,6
22|18.37.18.37,B,8
33|18,A,23
33|18,B,36
33|18,C,3
13|18.30,A,3
13|18.30,B,9
18|37.28,A,85
18|37.28,B,123
18|37.28,C,6
18|37.28,D,1
24|34,A,10
24|34,B,28
24|34,C,2
30|13,A,4
30|13,B,13
