student_assignment_grade,struc0,struc1,struc2,struc3
student1_ePortfolio Link_1.0,3,3,7,15
student1_Capstone_1.0,0,0,0,1
student1_Integration3_1.0,3,4,0,19
student1_Prompt5_1.0,3,2,0,11
student1_Prompt4_1.0,0,0,0,2
student1_Prompt3_1.0,5,2,5,35
student1_Prompt10_1.0,2,2,3,17
student1_Prompt9_1.0,4,2,2,12
student1_Prompt6_1.0,0,1,0,9
student1_Prompt7_1.0,1,1,1,10
student1_Prompt8_1.0,3,0,3,10
student2_Prompt11_1.0,4,5,2,12
student2_Capstone_1.0,1,6,11,21
student2_Prompt2_1.0,1,3,4,11
student2_Prompt5_1.0,2,1,2,11
student2_Prompt3_1.0,2,1,1,10
student2_Prompt10_1.0,2,1,4,12
student2_Prompt6_1.0,2,0,0,8
student2_Integration3_0.9,1,1,4,17
student2_Prompt8_1.0,2,2,2,12
student2_Prompt4_1.0,0,1,1,16
student2_Prompt9_1.0,3,2,3,11
student2_Prompt7_1.0,2,1,0,10
student3_Prompt2_1.0,4,5,8,39
student3_Prompt5_1.0,2,0,2,20
student3_Prompt7_1.0,5,2,4,13
student3_Prompt3_1.0,2,0,0,6
student3_Prompt10_1.0,2,0,3,11
student3_ePortfolio Link_1.0,0,0,0,3
student3_Prompt6_1.0,2,1,1,24
student3_Integration3_0.8,0,3,2,8
student4_ePortfolio Link_1.0,0,0,0,5
student4_Capstone_1.0,0,1,10,19
student4_Prompt2_1.0,2,2,4,14
student4_Prompt5_1.0,1,1,1,8
student4_Prompt7_1.0,2,0,0,4
student4_Prompt3_1.0,2,1,1,13
student4_Prompt10_1.0,0,0,1,6
student4_Prompt9_1.0,0,0,3,19
student4_Prompt6_1.0,2,1,0,21
student4_Integration3_0.9,3,1,4,16
student4_Prompt8_1.0,1,3,6,24
student5_Prompt11_1.0,0,2,2,7
student5_Capstone_1.0,5,8,7,12
student5_Integration3_1.0,2,2,4,13
student5_Prompt5_1.0,2,0,1,11
student5_Prompt4_1.0,3,4,4,10
student5_Prompt10_1.0,4,1,2,12
student5_Prompt9_1.0,4,4,3,11
student5_Prompt6_1.0,2,0,3,9
student5_Prompt7_1.0,5,7,5,17
student5_Prompt8_1.0,0,0,0,5
student6_Prompt11_1.0,3,1,4,7
student6_Prompt8_1.0,3,1,0,10
student6_Prompt2_0.2,0,0,0,4
student6_Prompt5_1.0,0,0,0,10
student6_Prompt4_1.0,2,2,2,13
student6_Prompt3_1.0,0,0,0,3
student6_Prompt10_1.0,2,3,4,22
student6_ePortfolio Link_1.0,0,0,0,3
student6_Prompt6_1.0,0,0,0,4
student6_Prompt7_1.0,1,1,1,11
student7_Prompt11_1.0,5,3,2,12
student7_Prompt8_1.0,0,2,3,13
student7_Prompt2_1.0,7,5,14,31
student7_Prompt5_1.0,1,2,3,17
student7_Prompt3_1.0,3,2,2,14
student7_Prompt10_1.0,1,1,3,10
student7_ePortfolio Link_1.0,0,0,0,5
student7_Prompt6_1.0,3,2,3,17
student7_Integration3_1.0,0,0,0,5
student8_Capstone_1.0,5,6,10,23
student8_Prompt2_1.0,3,2,4,10
student8_Prompt9_1.0,4,5,2,11
