source,target,value
36|9,12|,1
11|25,36|,0.2173913043
11|25,13|11,0.3913043478
11|25,37|,0.3913043478
16|12,37|,0.6363636364
16|12,5|16,0.3636363636
36|18,7|,0.16
36|18,12|,0.84
18|31,7|18,1
36|19,20|36,0.28
36|19,12|,0.72
12|27,37|,1
16|36,37|,1
12|29,1|,0.725
12|29,37|,0.275
18|36,37|,1
25|18,36|25,0.2954545455
25|18,37|,0.7045454545
25|6,37|,1
17|12,32|17,0.4852941176
17|12,12|17,0.1323529412
17|12,36|17,0.125
17|12,37|,0.2573529412
21|36,37|,1
12|31,36|,0.0680473373
12|31,7|,0.1331360947
12|31,29|,0.1153846154
12|31,1|,0.0414201183
12|31,25|,0.1360946746
12|31,37|,0.2781065089
12|31,18|,0.2278106509
15|36,36|15,0.2291666667
15|36,0|15,0.25
15|36,21|15,0.5208333333
12|18,25|,0.2564102564
12|18,37|,0.7435897436
12|8,36|,0.1348314607
12|8,25|,0.1235955056
12|8,37|,0.7415730337
13|36,37|,1
12|32,17|12,0.2962962963
12|32,37|,0.7037037037
11|13,36|,0.1036585366
11|13,25|11,0.3231707317
11|13,12|11,0.2195121951
11|13,37|,0.3536585366
11|9,18|,1
15|0,21|15,1
17|25,32|17,1
6|12,19|6,0.2133333333
6|12,36|6,0.1333333333
6|12,20|6,0.3466666667
6|12,37|,0.3066666667
3|,27|3,0.6071428571
3|,25|3,1
3|,12|3,1
3|,24|3,0.1033057851
3|,37|,0.143442623
3|,36|3,1
6|36,37|,1
23|,36|,0.0670926518
23|,5|23,0.09375
23|,16|23,1
23|,12|,0.0511182109
23|,37|,0.2044728435
12|17,25|,0.1447368421
12|17,37|,0.8552631579
24|27,37|,1
34|22,28|34,1
0|12,15|0,0.1931330472
0|12,37|,0.2918454936
0|12,36|0,0.1759656652
0|12,12|0,0.1888412017
0|12,21|,0.1502145923
29|36,1|,0.6153846154
29|36,37|,0.3846153846
31|25,12|31,1
22|34,28|,1
11|,36|,0.1329787234
11|,13|11,0.5238095238
11|,12|11,0.65
11|,0|,0.024822695
11|,25|11,0.5
11|,37|,0.2978723404
11|,18|,0.0921985816
2|36,26|,1
32|25,17|32,1
34|,22|34,1
34|,36|34,0.3015873016
34|,28|34,0.4285714286
34|,12|34,0.2702702703
34|,37|,0.321880651
34|,25|34,0.1666666667
36|8,12|,1
20|19,6|20,1
26|36,33|,1
4|12,12|4,0.2203389831
4|12,10|4,0.2372881356
4|12,30|4,0.2033898305
4|12,37|,0.3389830508
12|2,26|12,1
19|,20|19,1
19|,12|19,0.7391304348
19|,25|,0.0277777778
19|,6|19,0.2533333333
19|,37|,0.2647058824
19|,36|19,0.28
12|11,25|,0.35
12|11,37|,0.65
6|20,12|6,0.1712328767
6|20,19|6,0.1712328767
6|20,36|6,0.1232876712
6|20,25|6,0.102739726
6|20,37|,0.4315068493
0|25,15|0,0.2352941176
0|25,36|0,0.2941176471
0|25,12|0,0.2156862745
0|25,21|,0.2549019608
25|7,36|25,0.2195121951
25|7,12|25,0.1463414634
25|7,37|,0.6341463415
10|36,30|,1
7|,36|,0.1519607843
7|,18|7,0.5833333333
7|,31|7,1
7|,12|7,0.6136363636
7|,25|7,0.6341463415
7|,37|,0.2843137255
22|36,28|,0.6666666667
22|36,37|,0.3333333333
12|20,37|,1
12|19,20|,0.2608695652
12|19,37|,0.7391304348
12|16,37|,1
10|25,30|,1
12|28,37|,1
16|23,37|,1
19|36,37|,1
15|25,0|15,0.7380952381
15|25,21|15,0.2619047619
16|37,37|,1
2|,36|2,0.4285714286
2|,25|2,1
2|,12|2,1
2|,26|,0.679462572
2|,33|2,0.52
2|,37|,0.1017274472
21|15,36|,0.0921985816
21|15,0|21,0.3262411348
21|15,12|21,0.1773049645
21|15,37|,0.4042553191
23|25,5|23,1
19|9,20|19,1
12|3,24|12,1
24|3,27|,0.8305785124
24|3,37|,0.1033057851
24|3,36|24,0.0661157025
31|7,12|31,1
27|3,24|27,0.6071428571
27|3,37|,0.3928571429
30|12,4|,0.2388059701
30|12,10|30,0.328358209
30|12,37|,0.4328358209
36|32,17|36,0.3617021277
36|32,12|,0.6382978723
22|25,28|,1
25|3,24|,1
36|15,0|36,0.3170731707
36|15,12|,0.6829268293
5|23,16|,0.90625
5|23,37|,0.09375
0|21,12|0,0.2708333333
0|21,37|,0.7291666667
12|25,36|,0.1221945137
12|25,31|,0.029925187
12|25,29|,0.0523690773
12|25,19|,0.0274314214
12|25,10|,0.042394015
12|25,15|,0.029925187
12|25,37|,0.4837905237
12|25,18|,0.029925187
12|25,11|,0.0274314214
12|25,3|,0.029925187
12|25,34|,0.0448877805
12|25,2|,0.0274314214
12|25,13|,0.0523690773
24|,12|,0.041322314
24|,25|,0.0433884298
24|,27|,0.5020661157
24|,3|24,0.44
24|,37|,0.2355371901
24|,36|24,0.32
22|28,37|,1
36|34,22|36,0.3015873016
36|34,12|,0.6984126984
12|7,25|,0.3863636364
12|7,37|,0.6136363636
29|1,12|29,0.1803278689
29|1,36|29,0.2131147541
29|1,37|,0.606557377
20|36,6|20,1
36|17,12|,1
27|,36|,0.105
27|,24|27,1
27|,12|27,1
27|,25|27,1
27|,3|,0.0275
27|,37|,0.5075
5|16,23|5,1
32|,36|32,0.3617021277
32|,17|32,0.4260869565
32|,12|32,0.7037037037
32|,28|,0.015015015
32|,25|,0.03003003
32|,37|,0.2057057057
25|29,1|25,1
26|,2|26,0.6296296296
26|,33|,0.6187739464
26|,25|,0.030651341
26|,12|26,1
26|,36|26,0.5
26|,37|,0.1513409962
12|15,0|12,0.4615384615
12|15,21|12,0.2564102564
12|15,37|,0.2820512821
33|,36|,0.0909090909
33|,26|33,0.5833333333
33|,2|33,1
33|,25|33,1
33|,37|,0.4929292929
33|,12|33,0.8412698413
25|1,12|25,0.2682926829
25|1,29|25,0.243902439
25|1,37|,0.487804878
26|12,2|26,0.2686567164
26|12,33|,0.3432835821
26|12,12|26,0.1641791045
26|12,37|,0.223880597
36|24,3|,0.2
36|24,27|36,0.48
36|24,12|,0.32
25|11,36|25,0.2236842105
25|11,12|25,0.2763157895
25|11,37|,0.5
25|16,37|,1
