source,target,value
12|37.12,11|12,0.0045810472
12|37.12,25|12.37,0.0677036169
12|37.12,6|12,0.0015980397
12|37.12,26|12.37,0.0011718958
12|37.12,29|,0.0072977148
12|37.12,4|12.37,0.0013849678
12|37.12,34|12,0.0070846428
12|37.12,13|12.37,0.0102274543
12|37.12,2|12,0.0101209183
12|37.12,21|12,0.0006924839
12|37.12,9|,0.030735631
12|37.12,32|,0.01246471
12|37.12,23|,0.0041549033
12|37.12,17|12,0.0040483673
12|37.12,31|12,0.0157673254
12|37.12,3|12,0.0087892186
12|37.12,15|12,0.0104937943
12|37.12,7|,0.0039950993
12|37.12,27|12,0.0005326799
12|37.12,16|12,0.0018111117
12|37.12,36|12,0.0798487189
12|37.12,24|12,0.0032493475
12|37.12,18|,0.0088957545
12|37.12,0|12,0.0064454269
12|37.12,10|,0.0102807223
12|37.12,5|,0.0012784318
12|37.12,30|12,0.0018111117
12|37.12,8|,0.0296702711
12|37.12,33|12.37.12,1
12|37.12,1|12.37,0.0035156874
12|37.12,20|12,0.0042614393
12|37.12,19|12.37.12,0.1282051282
12|37.12,37|12,0.628295957
12|37.12,22|12,0.0078303947
22|25,28|22.25,1
25|21,37|25,1
13|11.25,37|13,1
37|22,12|37.22,1
12|28,37|12,1
36|7,12|36.7,1
18|7,37|18,0.5833333333
18|7,25|18,0.4166666667
25|34,12|25.34,1
25|34,22|25,0.1666666667
25|34,37|25,0.5833333333
27|3.12,24|27,1
0|,15|0,1
0|,19|,0.0193637621
0|,25|,0.0262793914
0|,21|,0.3195020747
0|,12|0,0.7049180328
0|,20|,0.0248962656
0|,36|0,0.2258064516
0|,37|0,1
11|25,37|11,0.3913043478
11|25,36|11,0.2173913043
11|25,13|11.25,1
25|3,24|,1
13|12.37,37|13,0.2478632479
13|12.37,11|13,0.4487179487
13|12.37,25|13,0.0854700855
13|12.37,36|13,0.0598290598
13|12.37,12|13.12.37,1
12|36.11,37|12,1
32|17,37|32,0.6770833333
32|17,36|32,0.1354166667
32|17,12|32,0.1875
26|2,37|26,0.1058823529
26|2,33|,0.7911764706
26|2,12|26,0.0470588235
26|2,36|26.2,1
36|3,24|,1
18|,12|18,0.7435897436
18|,25|18,0.7045454545
18|,11|18,1
18|,32|,0.0174672489
18|,31|,0.0174672489
18|,37|18,1
18|,13|,0.0160116448
18|,36|18,0.84
