sequence,Gephi,KMeans_15D,KMeans_2D
36|30.24,12,8,9
34|24.18,6,1,2
26|16,10,12,1
18|4,6,0,5
3|,1,1,11
25|7,7,4,0
18|36.32,0,3,4
13|24,12,14,12
22|18.37.18.37,3,10,7
18|24.18.37.18.37,15,8,9
23|18.36.18,10,11,1
26|16.18,10,12,1
14|18.36,11,4,11
37|0,13,2,8
12|18.37,8,7,6
37|34,6,13,2
37|32,5,3,4
37|9,3,10,7
36|5,0,1,11
18|36.28,0,7,6
18|36.9,0,10,7
6|18.14,6,13,11
18|7,15,4,0
36|2,2,1,3
36|30.8,12,8,9
18|36.18.37.19,0,4,15
37|17,5,3,4
28|18.37.18,11,7,6
24|18.37.18.37,9,1,14
16|,10,1,14
18|37.23,10,5,10
2|,2,1,3
4|18.37.18.37.34,14,0,5
24|33,9,0,5
18|37.18.37.16,10,11,13
0|24,13,2,8
18|37.2,2,15,3
18|36.20,0,2,8
9|36.18,3,10,7
37|,6,13,5
33|4.21,14,0,5
16|23,10,1,1
9|22,3,10,7
24|10.18,9,15,3
11|,13,2,8
7|15,7,4,0
18|37.18.37.18.37.30,12,14,12
15|24,7,4,0
30|8,12,14,9
37|27,11,7,6
11|0.18.37.32,13,3,8
10|,2,1,11
6|18.36,6,13,2
29|,0,11,10
37|18.32,13,2,8
18|36.22,0,10,7
36|12,8,7,6
10|2.18,2,15,3
18|36.30,12,8,9
23|29,10,11,10
18|28,15,7,6
18|37.32,5,3,4
36|21.36.4,14,0,5
24|32,9,3,4
16|26.36,10,11,13
26|36,10,1,1
26|23,10,11,5
36|0,13,2,8
34|36,6,13,2
17|36,5,3,4
33|4.18,6,0,5
24|16,9,11,10
18|37.18.37.28.27,8,7,6
33|21.18,14,0,5
15|,7,4,0
28|36,11,7,6
37|18.14,11,4,11
16|24,10,12,1
10|36.2,2,1,3
26|18,10,12,1
22|24,3,10,7
18|37.18.37.32,13,3,4
18|37.7,7,4,0
18|37.18.37.18.37.34,4,13,2
4|36,14,0,5
34|6.36,6,13,2
18|20,15,2,8
7|18,7,4,0
24|20,9,2,8
27|12.18.37,8,7,6
4|36.21,14,0,5
3|36,1,1,11
36|10,0,1,3
34|18.37,6,13,2
18|37.18.36,0,1,14
37|29,0,11,10
18|37.16,10,11,13
15|18.36,7,4,0
36|23,10,12,1
32|18,5,3,4
18|37.12,11,7,6
33|18,14,0,5
18|21,15,0,5
28|,11,7,6
36|21.4,14,0,5
37|5,1,15,9
33|4.36,14,0,5
18|37.18.37,11,1,14
37|18,15,4,14
37|18.37.24,9,15,3
23|18.37.33,10,0,5
32|,5,3,4
2|18.37.18.37.18.37,2,15,3
15|25,7,4,0
18|36.19,0,6,3
13|36,12,8,9
36|14,0,1,11
18|37.18.37.26,4,12,1
2|24,2,1,3
37|33,14,0,5
3|18.14,1,15,11
37|18.37.18.37.30,12,14,12
13|,12,1,12
8|36,12,8,9
18|37,6,8,2
18|37.18.37.20,4,2,8
34|18.6,6,13,2
5|24,1,1,14
36|20,0,2,8
16|23.18,10,12,1
37|18.37.28.27,8,7,6
18|16,15,11,10
18|36.29,0,8,9
37|18.37.16,10,11,13
18|34,15,13,2
28|12.18,11,1,6
18|37.18.37.22,3,10,7
18|36.4,0,0,5
24|18.37.18.37.24,9,15,3
18|37.18.37.23,4,5,10
12|36,8,7,6
23|,10,12,1
12|18,8,7,6
18|37.25,11,4,0
36|18,0,1,14
21|,6,0,5
0|36,13,2,8
32|31.17.24,5,3,4
18|37.18.37.2,2,1,3
18|10.2.18,9,15,3
24|10,9,15,3
36|5.18.14,1,1,11
8|13.18.37,12,8,3
7|24,7,4,0
18|37.18.37.18.37.16,4,11,13
6|18,6,13,2
22|9.36,3,10,7
8|13.18.36,12,8,9
2|18.37,2,15,3
37|24,9,15,3
36|31.17,5,3,4
18|37.17,5,3,4
13|36.30,12,8,9
18|37.31,5,3,4
36|15,7,4,0
18|37.33,14,0,5
18|,9,1,3
16|26,10,14,11
13|18.30,12,8,9
18|36.34,0,13,2
37|18.37.31,5,3,4
13|18.37,12,14,9
2|18.36.18.37.18,2,1,3
18|37.20,13,2,8
6|18.37.24,6,13,2
8|13.36.30,12,8,9
4|24,14,0,5
4|21,14,0,5
22|36.9,3,10,7
5|36.18,1,1,14
17|18,5,3,4
32|36,5,3,4
11|0.18.36,13,2,8
18|37.19,4,4,15
37|7,7,4,0
36|11,13,2,8
26|16.23,10,12,1
27|36,8,7,6
36|18.37.18,0,1,14
18|26,15,12,1
37|3,1,8,11
18|8,15,8,9
3|18.37.18.37,9,1,11
18|14.18.36,11,4,11
12|,8,1,14
18|37.34,6,13,2
21|18.36,6,0,5
12|24,8,7,6
4|18.36,14,0,5
18|36.18,0,1,14
8|13.18.30,12,8,9
18|37.24,9,15,3
9|18.36,3,10,7
37|23,10,5,10
5|3.18,9,15,11
37|18.37.7,4,4,0
37|18.37.18.37.34,4,13,2
37|18.37.2,2,1,3
26|36.18,10,1,1
36|6.18,6,13,2
18|37.18.37.31,5,3,4
23|18,10,11,10
2|36.24,2,1,3
8|13.24,12,14,12
18|17,5,3,4
28|27,8,7,6
18|36.11,0,2,8
36|21,6,0,5
18|37.28,11,7,6
3|5.18.14,1,15,11
24|7,9,4,0
23|36.16,10,5,10
22|9.24,3,10,7
14|,2,1,11
24|2,9,15,3
20|36.11,13,2,8
27|12.24,8,7,6
36|28,0,7,6
30|8.13.24,12,14,12
30|13,12,8,9
21|33,6,0,5
18|37.15,7,4,0
36|3,0,1,11
24|28,9,7,6
37|18.37,11,1,14
18|9,15,10,7
18|36.18.37.29,0,11,10
36|16,11,11,10
37|18.37.23,4,5,10
18|36.23,0,12,1
18|37.9,3,10,7
18|36.14,0,1,3
10|2,9,1,3
25|15,7,4,0
17|24,5,3,4
32|31.18,5,3,4
18|23,15,5,10
16|26.24.18,10,5,10
37|2,2,14,3
24|22,9,10,7
18|36.10,0,1,3
36|18.37.29,0,11,10
20|18.37,13,2,8
18|36.16,11,11,10
18|36.6.18,6,13,2
18|37.18,15,4,14
36|,5,1,14
24|3,1,15,11
18|37.0,13,2,8
18|36.7,0,4,0
23|16,10,5,10
18|37.26,10,12,1
30|,12,1,14
5|,1,1,11
5|18.37.18.37.18.37,1,1,11
20|,13,2,8
31|36.17,5,3,4
6|24.18.37.18,6,13,2
37|18.37.18.37.32,13,3,4
11|0.36,13,2,8
24|6,6,13,2
26|23.24,10,11,13
24|,9,1,14
33|,14,1,14
2|10.18,2,1,3
18|37.22,3,10,7
5|18.37.18.36,1,1,11
18|37.28.27,8,7,6
30|24,12,8,9
5|10,0,1,11
36|25.15,7,4,0
18|37.11,13,2,8
37|4,14,0,5
7|37,7,4,0
24|34,9,13,2
37|8,12,5,10
17|31,5,3,4
10|18,2,15,3
37|20,13,2,8
20|11.0.24,13,2,8
31|18,5,3,4
16|18,10,11,1
18|37.30,12,14,12
18|37.10,2,13,2
18|29,15,11,10
37|10,2,15,3
18|37.18.14,11,4,11
27|24,8,7,6
18|36.3,0,1,11
6|36,6,13,2
36|9,3,10,7
36|17,5,3,4
0|,13,2,8
3|5,1,1,11
19|24,4,4,15
30|18,15,8,9
37|18.36.16,11,11,10
26|24.18,10,5,10
34|24,6,13,2
18|37.18.36.16,11,11,10
11|0.24,13,2,8
12|27,11,7,6
0|20,13,2,8
9|36,3,10,3
36|24,9,15,3
37|28.27,8,7,6
22|9.18.36,3,10,7
24|18.14,9,15,11
36|2.18.37,2,1,3
23|26.16,10,5,10
16|26.23.24,10,11,13
18|37.18.37.33,4,0,5
37|25,11,4,0
13|18.36,12,8,9
37|18.37.22,3,10,7
24|30.18,9,8,12
8|30,12,8,9
31|17,5,3,4
37|13,11,8,12
18|37.27,11,7,6
13|8,11,8,12
36|4,14,0,5
24|18.36,9,15,3
18|36.24,9,15,3
18|22,15,10,7
36|6,6,13,2
32|17.18,5,3,4
37|22,3,10,7
18|37.4,14,0,5
9|18.37.29,3,10,7
16|26.24,10,5,10
37|18.37.26,4,12,1
36|23.24,10,11,13
37|15,7,4,0
18|19,15,4,15
37|18.37.18.37,4,1,14
18|37.18.37.18.37,4,1,14
37|24.22,9,10,7
37|28,11,7,6
18|37.18.37.7,4,4,0
18|37.5,1,12,14
36|8,0,8,9
29|36.18,0,1,10
36|29,0,13,11
18|36.26,0,12,1
6|14,6,13,2
18|5,15,1,14
34|,6,13,2
27|28,11,7,6
37|11,13,2,8
24|30,9,14,9
37|18.37.19,4,4,15
18|14,2,15,11
17|18.37.24,5,3,4
18|2.18.37,9,15,3
18|30.8,15,8,9
27|12,8,7,6
36|6.24,6,13,2
18|37.3,1,1,11
0|18.37.32,13,2,8
5|14,1,1,11
21|36.4,14,0,5
28|27.36,8,7,6
36|19,0,9,9
11|36,13,2,8
12|28,8,7,6
36|30,12,8,9
27|,8,7,6
37|19,4,4,15
17|18.36,5,3,4
0|18.36,13,2,8
3|18,1,1,11
18|36.2,2,1,3
36|18.37.19,0,4,15
14|18.37.24,2,15,11
4|,14,1,14
10|5,2,1,3
36|33,0,0,5
30|18.36,12,8,12
18|24.22,15,1,14
36|7,0,4,0
18|37.29,0,11,10
14|24,2,1,11
28|27.12.24,8,7,6
16|36,10,11,10
30|36,12,14,12
24|18,9,15,14
18|37.8,12,8,9
18|36,5,3,2
21|18,6,0,5
21|4,14,0,5
36|27,11,7,6
33|21,14,0,5
18|36.8,0,8,9
23|36,10,5,1
37|18.37.32,13,3,4
18|0,15,2,8
25|,7,4,0
37|18.37.33,4,0,5
2|18,2,15,3
36|31,5,3,4
33|36.4,14,0,5
18|36.18.37.18,0,1,14
36|23.36,0,12,1
9|,3,10,7
37|12,11,7,6
26|36.23,10,11,13
18|3.5,15,1,11
37|31,5,3,4
18|37.18.37.30,12,14,12
10|24,2,1,3
36|22,0,10,7
7|36,7,4,0
31|18.36,5,1,4
24|18.37.24,9,15,3
36|21.24,14,0,5
27|18.37,11,7,6
36|34,0,13,2
8|13.30,12,8,9
18|33,15,0,5
37|18.37.20,4,2,8
37|16,10,11,13
24|18.37.18,9,1,14
37|18.37.30,12,14,12
16|26.18,10,12,1
36|9.22,0,10,7
37|18.37.18.37.2,2,1,3
10|18.36.18,2,1,3
22|18,3,10,7
8|18,11,1,12
26|24,10,1,10
24|36,9,15,11
18|36.33,0,0,5
0|11,13,2,8
6|24,6,13,2
19|,4,4,15
36|16.26.24,10,5,10
24|5,9,15,11
36|6.34,5,13,2
9|24,3,10,7
16|18.36,10,12,1
24|18.2,9,15,3
11|18.37.18,13,2,8
36|26,10,12,1
18|37.13,11,8,12
33|36.21,14,0,5
18|36.5,0,1,11
37|18.36,0,1,14
18|37.24.22,9,10,7
13|30,12,8,9
22|9,3,10,7
2|36,2,1,3
18|32,13,2,8
17|,5,3,4
18|12,8,7,6
37|30,12,14,12
18|37.18.37.18.37.2,2,1,3
18|2,2,1,3
36|27.12,11,7,6
23|24,10,11,13
37|18.37.18.37.16,4,11,13
5|18.36.18,1,1,14
26|,10,11,10
22|,3,10,14
23|18.37.18,10,11,10
6|,6,1,14
5|18.14,1,15,11
4|18,14,0,5
21|24,14,0,5
18|37.18.37.24,9,15,3
12|18.36,8,7,6
37|18.37.34,6,13,2
18|37.18.37.18.37.32,13,3,4
36|13,12,1,12
36|32,0,3,4
7|,7,4,0
25|18.37,7,4,0
31|17.24,5,3,4
8|,12,8,9
18|36.21,6,0,5
18|6,6,13,2
18|37.18.37.19,4,4,15
37|26,10,12,1
31|,5,3,4
18|30,15,8,9
6|34,6,13,2
18|37.18.32,13,2,8
18|37.18.37.34,6,13,2
31|32,5,3,4
15|36,7,4,0
36|4.36.21,14,0,5
18|11,15,2,8
