sequence,Gephi,KMeans_15D,KMeans_2D
36|30.24,12,1,5
34|24.18,6,7,0
26|16,10,5,2
18|4,6,2,7
4|18.37.18.37.34,14,2,7
25|7,7,8,3
18|36.32,0,3,10
13|24,12,1,15
22|18.37.18.37,3,8,9
18|24.18.37.18.37,15,1,5
23|29,10,4,13
26|16.18,10,5,2
37|18.37.26,4,5,2
37|0,13,14,6
18|37.18.37.20,4,14,6
12|18.37,8,11,4
37|34,6,7,0
37|32,5,3,10
37|9,3,6,2
32|,5,3,10
37|5,1,1,14
18|36.28,0,11,4
18|36.9,0,12,9
6|18.14,6,7,0
33|36.4,14,2,7
18|7,15,8,3
36|2,2,10,8
36|30.8,12,1,5
18|36.18.37.19,0,8,12
37|17,5,3,10
28|18.37.18,11,11,4
24|18.37.18.37,9,0,14
18|17,5,3,10
18|37.28,11,11,4
2|,2,10,8
3|,1,15,1
24|33,9,0,1
18|37.18.37.16,10,4,11
0|24,13,14,6
18|37.2,2,15,8
2|18.36.18.37.18,2,15,8
9|36.18,3,12,9
37|,6,7,0
36|17,5,3,10
16|23,10,5,2
9|22,3,8,9
24|10.18,9,0,1
11|,13,14,6
7|15,7,8,3
18|37.18.37.18.37.30,12,1,15
15|24,7,8,3
30|8,12,1,5
37|27,11,11,4
11|0.18.37.32,13,3,6
10|,2,10,14
6|18.36,6,7,0
29|,0,4,13
37|18.32,13,14,6
21|36.4,14,2,7
36|12,8,11,4
10|2.18,2,10,8
18|36.30,12,1,5
23|18.36.18,10,4,13
18|28,15,11,4
18|37.32,5,3,10
36|21.36.4,14,2,7
24|32,9,3,10
36|31,5,3,10
26|36,10,5,2
26|23,10,6,2
18|37.18.37.34,6,7,0
36|0,13,14,6
11|0.36,13,14,6
17|36,5,3,10
33|4.18,6,2,7
5|24,1,15,14
18|37.18.37.28.27,8,11,4
18|19,15,8,12
10|24,2,10,8
8|18,11,1,5
28|36,11,11,4
17|18.36,5,3,10
16|24,10,5,2
10|36.2,2,10,8
26|18,10,5,2
22|24,3,8,9
18|37.18.37.32,13,3,10
18|37.7,7,8,3
18|37.18.37.18.37.34,4,7,0
4|36,14,2,7
34|6.36,6,7,0
18|20,15,14,6
7|18,7,8,3
24|20,9,14,6
27|12.18.37,8,11,4
4|36.21,14,2,7
3|36,1,15,1
36|10,0,10,8
34|18.37,6,7,0
31|17,5,3,10
37|29,0,4,13
18|37.16,10,4,11
15|18.36,7,8,3
18|37.18.37.7,4,8,3
32|18,5,3,14
33|18,14,2,7
18|21,15,2,7
28|,11,11,4
36|21.4,14,2,7
36|28,0,11,4
33|4.36,14,2,7
18|37.34,6,7,0
37|18,15,1,14
37|18.37.24,9,0,1
23|18.37.33,10,2,7
36|5,0,15,1
2|18.37.18.37.18.37,2,10,8
18|37.18.36,0,8,14
18|36.19,0,9,13
13|36,12,1,5
36|14,0,15,1
26|16.23,10,5,2
18|23,15,5,13
37|33,14,2,7
18|36.6.18,6,7,0
37|18.37.18.37.30,12,1,15
13|,12,1,5
8|36,12,1,5
18|37,6,7,7
24|,9,0,14
34|18.6,6,7,0
37|3,1,11,4
0|20,13,14,6
37|18.37.28.27,8,11,5
18|16,15,5,2
18|36.29,0,3,10
37|18.37.16,10,4,11
18|34,15,7,0
28|12.18,11,11,4
18|37.18.37.22,3,12,9
18|36.4,0,2,7
24|18.37.18.37.24,9,0,1
18|37.18.37.23,4,5,13
12|36,8,11,4
23|,10,5,13
12|18,8,11,4
18|37.25,11,8,3
36|18,0,10,14
21|,6,2,7
0|36,13,14,6
37|18.14,11,15,4
32|31.17.24,5,3,10
18|37.18.37.2,2,15,8
18|10.2.18,9,10,8
24|10,9,10,8
36|5.18.14,1,15,1
8|13.18.37,12,1,5
28|27.12.24,8,11,4
