sequence,Gephi,KMeans_15D,KMeans_2D
36|30.24,12,3,5
34|24.18,6,8,8
26|16,10,14,0
18|4,6,10,6
4|18.37.18.37.34,14,10,6
25|7,7,0,11
18|36.32,0,4,4
13|24,12,3,15
18|24.18.37.18.37,15,3,5
23|18.36.18,10,8,0
26|16.18,10,14,0
37|18.37.26,4,14,0
37|0,13,9,9
18|37.18.37.20,4,9,9
12|18.37,8,2,3
37|34,6,7,8
37|32,5,4,4
26|18,10,14,0
32|,5,4,4
37|5,1,5,7
18|36.28,0,2,3
18|36.9,0,15,14
6|18.14,6,7,1
18|36.24,9,11,5
18|7,15,0,11
36|2,2,1,12
36|30.8,12,3,5
32|36,5,4,4
37|17,5,4,4
28|18.37.18,11,2,3
24|18.37.18.37,9,8,5
30|36,12,3,5
18|37.23,10,14,0
2|,2,8,12
3|,1,11,1
24|33,9,6,6
18|37.18.37.16,10,8,10
18|37.4,14,6,6
18|37.2,2,1,12
2|18.36.18.37.18,2,1,12
37|,6,7,1
33|4.21,14,10,6
16|23,10,8,7
9|22,3,15,14
24|10.18,9,8,12
11|,13,9,9
7|15,7,0,11
18|37.18.37.18.37.30,12,3,15
15|24,7,0,11
30|8,12,3,5
37|27,11,2,3
18|24.22,15,8,14
10|,2,8,12
6|18.36,6,7,8
29|,0,14,13
37|18.32,13,9,9
18|37.28,11,2,3
18|36.22,0,15,14
36|12,8,2,3
10|2.18,2,8,12
18|36.30,12,3,5
23|29,10,8,13
18|28,15,2,3
3|18,1,11,1
36|21.36.4,14,10,6
24|32,9,4,4
16|26.36,10,8,10
26|36,10,8,7
26|23,10,5,13
18|37.18.37.34,6,7,8
36|0,13,9,9
11|0.36,13,9,9
17|36,5,4,4
33|4.18,6,10,6
5|24,1,8,1
18|37.18.37.28.27,8,2,3
33|21.18,14,10,6
10|24,2,8,12
28|36,11,2,3
37|18.14,11,2,7
16|24,10,14,0
10|36.2,2,8,12
37|9,3,15,14
22|24,3,15,14
18|37.18.37.32,13,4,4
18|37.7,7,0,11
18|37.18.37.18.37.34,4,7,8
34|6.36,6,7,8
18|20,15,9,9
7|18,7,0,11
24|20,9,9,9
27|12.18.37,8,2,3
11|0.18.36,13,9,9
3|36,1,11,1
36|10,0,8,12
7|24,7,0,11
34|18.37,6,7,8
18|37.18.36,0,8,13
37|29,0,14,13
18|37.16,10,14,10
15|18.36,7,0,11
36|23,10,14,0
32|18,5,8,4
33|18,14,10,6
36|21.24,14,10,6
28|,11,2,3
36|21.4,14,10,6
36|28,0,2,3
36|11,13,9,9
18|37.18.37,11,8,13
37|18,15,14,13
37|18.37.24,9,8,12
23|18.37.33,10,10,6
36|5,0,11,1
2|18.37.18.37.18.37,2,8,12
31|17,5,4,4
18|36.19,0,12,7
13|36,12,3,5
36|14,0,11,1
26|16.23,10,14,0
18|23,15,14,0
37|33,14,10,6
3|18.14,1,11,1
37|18.37.18.37.30,12,3,15
13|,12,8,5
8|36,12,8,5
18|37,6,5,7
24|,9,8,4
34|18.6,6,7,8
37|3,1,11,1
0|20,13,9,9
37|18.37.28.27,8,2,3
18|16,15,14,13
18|36.29,0,13,5
18|37.18.37.18.37.2,2,1,12
37|18.37.16,10,14,10
18|34,15,7,8
28|12.18,11,8,3
18|37.18.37.22,3,15,14
24|18.37.18,9,8,12
18|36.4,0,6,6
24|18.37.18.37.24,9,8,12
18|37.18.37.23,4,14,0
12|36,8,2,3
23|,10,14,0
12|18,8,8,3
18|37.25,11,0,11
36|18,0,8,13
21|,6,10,6
0|36,13,9,9
32|31.17.24,5,4,4
18|37.18.37.2,2,1,12
18|10.2.18,9,8,12
24|10,9,8,12
36|5.18.14,1,11,1
8|13.18.37,12,5,5
17|,5,4,4
18|37.18.37.18.37.16,4,8,10
6|18,6,7,8
22|9.36,3,15,14
8|13.18.36,12,3,5
2|18.37,2,8,12
37|24,9,8,12
36|31.17,5,4,4
18|37.17,5,4,4
36|23.36,0,14,0
18|37.31,5,4,4
21|18.36,6,10,6
18|37.18.37.18.37.32,13,4,4
18|,9,8,5
16|26,10,0,12
13|18.30,12,3,5
18|36.34,0,7,8
37|18.37.31,5,4,4
13|18.37,12,3,14
26|36.18,10,14,0
18|36.20,0,9,9
18|37.20,13,9,9
8|13.36.30,12,3,5
4|24,14,10,6
4|21,14,10,6
22|36.9,3,15,14
16|26.18,10,14,0
17|18,5,4,4
18|36.18.37.19,0,0,2
4|36.21,14,10,6
18|37.19,4,0,2
37|7,7,0,11
33|4.36,14,10,6
18|37.18.37.26,4,14,0
27|36,8,2,3
36|18.37.18,0,8,13
18|26,15,14,0
36|20,0,9,9
18|8,15,3,5
18|14.18.36,11,5,7
18|37.34,6,7,8
36|15,7,0,11
4|18.36,14,6,6
6|34,6,7,8
8|13.18.30,12,3,5
18|37.24,9,8,12
9|18.36,3,15,14
37|23,10,14,0
2|36.24,2,1,12
37|18.37.7,4,0,11
37|18.37.18.37.34,4,7,8
37|18.37.2,2,1,12
5|36.18,1,8,1
36|6.18,6,7,8
18|37.18.37.31,5,4,4
23|18,10,8,13
5|3.18,9,11,1
8|13.24,12,3,15
18|17,5,4,4
28|27,8,15,3
18|36.11,0,9,9
36|21,6,10,6
31|18,5,4,4
15|25,7,0,11
3|5.18.14,1,11,1
24|7,9,0,11
23|36.16,10,14,0
22|9.24,3,15,14
18|36.5,0,11,1
14|,2,11,1
24|2,9,8,12
20|36.11,13,9,9
27|12.24,8,2,3
30|8.13.24,12,3,15
18|36.18,0,8,13
30|13,12,3,5
24|18.36,9,8,12
18|37.15,7,0,11
36|3,0,11,1
24|28,9,2,3
37|18.37,11,8,13
18|9,15,15,14
18|36.18.37.29,0,14,13
36|16,11,14,14
37|18.37.23,4,14,0
18|36.23,0,14,0
18|37.9,3,15,14
18|36.14,0,11,1
10|2,9,8,12
25|15,7,0,11
17|24,5,4,4
32|31.18,5,4,4
2|24,2,1,12
16|26.24.18,10,14,0
37|2,2,1,12
24|22,9,15,14
18|36.10,0,8,12
36|18.37.29,0,14,13
20|18.37,13,9,9
18|36.16,11,14,14
18|36.6.18,6,7,8
18|37.18,15,14,13
13|8,11,8,5
6|,6,8,7
24|3,1,11,1
18|37.0,13,9,9
18|36.7,0,0,11
23|16,10,14,0
18|37.26,10,14,0
30|,12,8,7
5|,1,11,1
5|18.37.18.37.18.37,1,11,1
20|,13,9,9
31|36.17,5,4,4
15|,7,0,11
6|24.18.37.18,6,7,8
37|18.37.18.37.32,13,4,4
24|6,6,7,8
26|23.24,10,8,10
18|37.12,11,2,3
33|,14,8,6
2|10.18,2,1,12
18|37.22,3,15,14
5|18.37.18.36,1,11,1
36|16.26.24,10,14,0
30|24,12,3,5
36|6.24,6,7,8
36|25.15,7,0,11
18|37.11,13,9,9
37|4,14,6,6
7|37,7,0,11
24|34,9,7,8
37|8,12,6,5
17|31,5,4,4
10|18,2,8,12
37|20,13,9,9
20|11.0.24,13,0,9
12|,8,8,7
16|18,10,14,0
18|37.30,12,3,15
18|37.10,2,12,7
18|29,15,14,13
37|10,2,13,5
18|37.18.14,11,5,7
27|24,8,8,3
18|36.3,0,11,1
24|16,9,8,13
6|36,6,7,8
36|9,3,15,14
37|19,4,0,2
3|5,1,11,1
30|18,15,3,5
37|18.36.16,11,14,14
26|24.18,10,14,0
34|24,6,7,8
18|37.18.36.16,11,14,14
11|0.24,13,0,9
12|27,11,2,3
