sequence,Gephi,KMeans_15D,KMeans_2D
18|37.18.37.18.37.32,13,7,1
18|37.18.37.31,5,7,1
18|37.18.37.32,13,7,1
8|13.36.30,12,3,2
8|13.18.30,12,3,2
26|36,10,8,5
18|37.18.32,13,7,1
37|17,5,4,9
37|9,3,4,9
18|37.18.37.28.27,8,7,1
18|17,5,7,1
9|36,3,8,5
24|7,9,7,7
11|0.18.37.32,13,7,1
18|37.15,7,5,5
37|18.37.26,4,2,4
11|0.18.36,13,7,1
18|37.25,11,5,5
33|4.18,6,7,1
24|32,9,7,7
36|20,0,7,1
18|37.31,5,7,1
37|18.37.23,4,2,4
18|37.18.37.18.37.30,12,7,1
18|36.28,0,7,6
22|24,3,0,8
18|12,8,7,1
32|36,5,8,5
30|8.13.24,12,3,2
36|23.24,10,2,4
15|24,7,0,8
18|37.18.37.7,4,5,5
18|37.13,11,7,6
18|37.18.37.20,4,5,5
27|12.18.37,8,7,1
7|36,7,8,5
11|0.36,13,7,1
31|17,5,4,9
18|37.17,5,0,0
18|36.22,0,7,6
24|30.18,9,5,7
19|24,4,0,8
18|37.4,14,0,0
37|30,12,4,9
18|36.33,0,7,6
0|24,13,0,8
18|37.9,3,0,0
18|36.11,0,7,6
18|36.8,0,7,6
37|18.37.33,4,2,4
18|26,15,5,7
18|37.27,11,7,6
4|24,14,0,8
16|24,10,0,8
24|6,6,7,1
5|36.18,1,0,0
32|17.18,5,7,1
36|21.24,14,2,4
8|30,12,7,1
8|36,12,8,5
18|37.12,11,7,6
37|18.37.32,13,2,4
37|18.37.7,4,2,4
2|24,2,0,8
29|36.18,0,0,0
24|10.18,9,5,7
18|36.4,0,0,0
12|27,11,7,1
13|24,12,0,8
18|36.10,0,0,0
16|26.18,10,7,1
9|36.18,3,0,0
36|27.12,11,7,1
21|24,14,0,8
18|36.3,0,7,6
25|7,7,7,1
32|31.18,5,7,1
37|18.37.2,2,2,4
24|16,9,7,7
36|9,3,4,9
30|13,12,7,1
20|36.11,13,3,2
33|21.18,14,7,1
18|9,15,5,7
18|4,6,7,1
18|37.0,13,7,1
7|15,7,7,1
18|20,15,5,7
18|37.18.37.23,4,5,5
18|16,15,0,0
18|37.18.37.18.37.16,4,5,5
18|37.18.37.26,4,5,5
18|36.34,0,7,6
26|23.24,10,2,4
8|13.18.37,12,7,1
37|18.37.34,6,2,4
27|12.24,8,2,4
18|37.18.37.18.37.2,2,7,1
22|9,3,4,9
37|18.37.20,4,2,4
20|11.0.24,13,3,2
37|3,1,4,9
28|36,11,8,5
36|18.37.29,0,2,4
16|26.23.24,10,3,2
18|37.18.36.16,11,5,5
24|18.14,9,7,7
36|22,0,4,1
34|18.6,6,3,2
37|12,11,7,1
15|36,7,0,0
18|37.18.37.18.37.34,4,7,1
18|37.16,10,0,0
18|37.23,10,0,0
5|10,0,5,5
30|18.36,12,8,2
2|10.18,2,7,1
18|37.26,10,0,0
37|18.37.30,12,2,4
21|18,6,1,3
24|28,9,5,7
5|24,1,0,8
17|24,5,0,8
37|27,11,4,1
36|6.18,6,4,1
23|16,10,4,9
10|24,2,0,8
18|6,6,7,1
30|18,15,1,3
37|22,3,4,1
37|18.37.16,10,2,4
6|18.14,6,7,7
36|21.4,14,3,2
18|37.18.14,11,7,6
36|16,11,4,9
18|37.11,13,0,0
32|31.17.24,5,3,2
18|22,15,7,7
18|37.2,2,0,0
25|15,7,4,9
24|2,9,5,7
17|18,5,1,3
5|14,1,7,1
26|16.18,10,7,1
37|25,11,7,1
18|3.5,15,7,7
6|18,6,1,3
7|37,7,7,7
33|4.21,14,3,2
37|28,11,4,9
22|36.9,3,3,2
37|15,7,7,1
18|36.21,6,0,0
4|18.36,14,8,2
18|7,15,7,7
18|36.16,11,3,2
23|24,10,0,8
10|18,2,1,3
36|7,0,7,1
16|36,10,8,5
18|37.33,14,0,0
18|36.14,0,0,0
0|18.37.32,13,2,4
18|37.7,7,0,0
12|18.37,8,1,3
18|37.3,1,0,0
17|18.36,5,8,2
18|36.2,2,0,0
18|34,15,5,7
12|24,8,0,8
18|37.18.37.16,10,5,5
18|36.7,0,7,6
36|18.37.19,0,2,4
18|11,15,7,7
37|16,10,4,9
2|36.24,2,7,7
18|36.18.37.19,0,0,0
37|18.37.28.27,8,2,4
18|36.19,0,0,0
23|18.36.18,10,8,7
36|6.34,5,8,2
16|23.18,10,7,1
36|6,6,8,2
21|33,6,7,1
10|5,2,5,7
27|28,11,7,1
14|24,2,0,8
18|0,15,5,7
18|37.30,12,0,0
18|36.26,0,7,7
37|18.37.31,5,6,2
18|37.8,12,0,0
18|36.20,0,7,6
36|34,0,4,9
18|30.8,15,7,6
37|18.37.19,4,2,4
34|24.18,6,5,7
12|36,8,0,0
13|18.37,12,1,3
3|18,1,1,8
7|24,7,8,2
37|2,2,4,9
36|30.24,12,2,4
7|,7,4,9
15|18.36,7,8,2
33|4.36,14,2,4
0|11,13,7,1
36|28,0,7,1
18|37.10,2,0,0
9|24,3,0,8
30|8,12,4,9
10|18.36.18,2,8,7
4|18,14,1,3
22|,3,0,0
4|36,14,0,0
5|18.36.18,1,8,7
26|16.23,10,3,2
31|18.36,5,8,2
36|30,12,4,1
37|18.37.18.37.16,4,2,4
