source,target,value
36|2,10|36.2,0.2090909091
36|2,24|36,0.1
36|2,18|36.2,0.6909090909
37|18.37.31,18|37.18.37.31,1
37|18.37.34,18|37.18.37.34,1
33|21.18,37|33,1
24|18.37.24,36|24,0.4871794872
24|18.37.24,37|24,0.5128205128
23|18.36.18,36|23,0.6071428571
23|18.36.18,26|23,0.3928571429
23|18.37.18,16|23.18,0.1743119266
23|18.37.18,26|23,0.6146788991
23|18.37.18,36|23,0.2110091743
37|18.37.23,18|37.18.37.23,1
37|18.37.18.37.16,18|37.18.37.18.37.16,1
18|16,36|18,0.2777777778
18|16,37|18,0.7222222222
36|7,18|36.7,1
16|26.24,37|16,0.2972972973
16|26.24,23|16,0.4324324324
16|26.24,36|16.26.24,0.2702702703
36|8,18|36.8,0.8333333333
36|8,30|36,0.1666666667
18|37.18.37.30,37|18.37.18.37.30,1
8|18,30|8,0.3125
8|18,37|8,0.3125
8|18,13|8,0.375
36|16,18|36.16,0.7078651685
36|16,23|36.16,0.2921348315
2|36,36|2,0.3333333333
2|36,10|2,0.1388888889
2|36,37|2,0.5277777778
30|18.36,37|30,0.5454545455
30|18.36,36|30,0.4545454545
18|37.0,37|18.37,0.7872340426
18|37.0,11|,0.2127659574
36|21.36.4,33|36.21,1
37|18.37.28.27,18|37.18.37.28.27,1
24|20,36|24,0.2857142857
24|20,37|24,0.7142857143
37|18.37.33,18|37.18.37.33,1
3|18.37.18.37,37|3,0.5
3|18.37.18.37,5|3.18,0.5
11|36,20|,0.3260869565
11|36,36|11,0.2173913043
11|36,37|11,0.4565217391
30|36,37|30,1
37|5,18|37.5,1
36|6.18,34|36,0.65
36|6.18,18|36.6.18,0.35
16|26.36,37|16,1
18|37.23,36|18,0.1470588235
18|37.23,29|,0.1985294118
18|37.23,37|18.37.23,0.6544117647
18|36.23,37|18.36,0.8
18|36.23,16|18.36,0.2
37|18,18|37.18,1
37|9,18|37.9,1
33|36.21,37|33,1
4|18,37|4,0.1086956522
4|18,18|4,0.0807453416
4|18,33|4.18,0.1552795031
4|18,21|4,0.450310559
4|18,24|,0.0465838509
4|18,36|4,0.1583850932
18|,36|18,0.1124195087
18|,32|18,0.0011924636
18|,25|,0.0016098259
18|,3|18,0.0052766516
18|,17|18,0.0092415931
18|,13|,0.0072740281
18|,2|18,0.0116861436
18|,6|18,0.0098676365
18|,22|18,0.0044717386
18|,11|,0.0024147389
18|,28|,0.0025339852
18|,16|18,0.0026532316
18|,0|,0.010195564
18|,37|18,0.5751252087
18|,5|,0.0123419986
18|,4|18,0.0100763177
18|,29|,0.0311829239
18|,20|,0.0020271882
18|,34|,0.0053660863
18|,33|18,0.0020569998
18|,12|18,0.0096291438
18|,15|,0.0049487241
18|,8|18,0.0016992607
18|,14|,0.0155318388
18|,10|18,0.0066181731
18|,19|,0.0290961126
18|,31|18,0.0039053184
18|,9|,0.0124016218
18|,7|18,0.0021464345
18|,26|18,0.0051275936
18|,27|,0.0022358693
18|,23|18,0.0095098974
18|,21|18,0.0076317672
18|,30|18,0.0066777963
18|,24|18,0.0638266158
6|36,36|6,0.3653846154
6|36,34|6.36,0.3653846154
6|36,37|,0.2692307692
18|6,34|18.6,1
0|24,11|0.24,1
18|36.9,37|18.36,1
27|28,37|27,1
37|16,18|37.16,1
37|,7|37,0.0006175699
37|,25|,0.0005789717
37|,19|,0.0004245793
37|,4|,0.0004245793
37|,18|37,0.9965647676
37|,17|,0.0005403736
37|,24|,0.0004631774
37|,9|,0.0003859812
17|18.36,37|17,0.3571428571
17|18.36,31|17,0.6428571429
36|18.37.19,18|36.18.37.19,1
33|36.4,21|33,0.3548387097
33|36.4,36|33,0.3225806452
33|36.4,37|33,0.3225806452
18|37.3,5|,0.1237113402
18|37.3,37|18.37,0.6391752577
18|37.3,14|,0.1237113402
18|37.3,36|18,0.1134020619
19|,36|19,0.2146946565
19|,15|,0.0114503817
19|,37|19,0.6469465649
19|,24|,0.0152671756
19|,29|,0.0152671756
19|,18|19,0.0963740458
6|,34|,0.3790737564
6|,37|,0.2109777015
6|,4|,0.0222984563
6|,36|6,0.2727272727
6|,18|6,0.0789022298
6|,24|6,0.0360205832
13|18.37,30|13,0.0696202532
13|18.37,8|13.18.37,0.8607594937
13|18.37,18|,0.0696202532
18|36.18.37.29,36|18,0.25
18|36.18.37.29,37|18.36,0.53125
18|36.18.37.29,29|,0.21875
31|18,32|31.18,0.2232142857
31|18,36|31,0.2142857143
31|18,37|31,0.3839285714
31|18,17|31,0.1785714286
27|12.18.37,28|27,0.932885906
27|12.18.37,36|27.12,0.067114094
37|22,18|37.22,1
33|,24|33,0.089668616
33|,21|33,0.1111111111
33|,18|33,0.1306042885
33|,36|33,0.1637426901
33|,4|,0.0428849903
33|,37|33,0.4619883041
37|18.37.18.37.32,18|37.18.37.18.37.32,1
7|15,37|7,1
37|18.37.32,18|37.18.37.32,1
7|24,37|7,1
24|3,36|24,0.3333333333
24|3,37|24,0.6666666667
37|27,18|37.27,1
37|11,18|37.11,1
22|9.24,36|22,0.243902439
22|9.24,37|22,0.756097561
23|36,36|23.36,0.2784810127
23|36,26|23,0.1772151899
23|36,37|23,0.5443037975
18|36.18.37.19,37|18.36,0.5423728814
18|36.18.37.19,36|18,0.2372881356
18|36.18.37.19,19|,0.2203389831
18|37.7,37|18.37.7,0.6896551724
18|37.7,36|18,0.0689655172
18|37.7,19|,0.2413793103
36|30.24,13|36.30,1
5|,21|,0.0379008746
5|,18|5,0.0787172012
5|,9|,0.0145772595
5|,36|5,0.2201166181
5|,37|5,0.2551020408
5|,14|,0.0174927114
5|,3|5,0.2288629738
5|,10|5,0.0626822157
5|,24|5,0.084548105
18|37.13,37|18.37,1
18|37.31,17|18,0.1940298507
18|37.31,37|18.37.31,0.8059701493
36|23.24,26|36.23,1
28|12.18,27|28,1
13|,8|,0.7259713701
13|,30|13,0.0490797546
13|,37|13,0.081799591
13|,36|13,0.0654396728
13|,18|,0.0531697342
13|,24|,0.0245398773
24|28,36|24,0.2127659574
24|28,37|24,0.7872340426
36|9.22,18|36.9,1
18|37.18.37,24|18.37.18.37,0.0656453672
18|37.18.37,23|18.37.18,0.0075925553
18|37.18.37,25|18.37,0.0010750521
18|37.18.37,17|18,0.0086676073
18|37.18.37,11|18.37.18,0.0018141504
18|37.18.37,37|18.37.18.37,0.6267553585
18|37.18.37,6|18,0.0069878385
18|37.18.37,27|18.37,0.0014110058
18|37.18.37,36|18.37.18,0.0951421084
18|37.18.37,3|18.37.18.37,0.0036283007
18|37.18.37,28|18.37.18,0.0019485319
18|37.18.37,22|18.37.18.37,0.0030907747
18|37.18.37,16|18,0.0014110058
18|37.18.37,0|,0.0100786132
18|37.18.37,5|,0.007659746
18|37.18.37,4|18,0.010952093
18|37.18.37,34|18.37,0.003292347
18|37.18.37,29|,0.0315124639
18|37.18.37,2|18.37,0.0066518847
18|37.18.37,15|,0.0042330175
18|37.18.37,14|,0.0153866828
18|37.18.37,10|18,0.003023584
18|37.18.37,21|18,0.0052408789
18|37.18.37,13|18.37,0.0077269368
18|37.18.37,19|,0.0296311228
18|37.18.37,31|18,0.0032251562
18|37.18.37,12|18.37,0.0106161392
18|37.18.37,9|,0.011758382
18|37.18.37,7|18,0.0017469596
18|37.18.37,26|18,0.0036954915
18|37.18.37,20|18.37,0.0013438151
18|37.18.37,30|18,0.0070550292
18|36.18.37.18,21|18.36,0.0111870727
18|36.18.37.18,4|18.36,0.0087010566
18|36.18.37.18,22|18,0.0087010566
18|36.18.37.18,23|18.36.18,0.0136730889
18|36.18.37.18,17|18.36,0.0136730889
18|36.18.37.18,29|,0.0441267868
18|36.18.37.18,24|18.36,0.0609073959
18|36.18.37.18,37|18.36,0.5133623369
18|36.18.37.18,14|18.36,0.0174021131
18|36.18.37.18,6|18.36,0.0174021131
18|36.18.37.18,5|18.36.18,0.0093225606
18|36.18.37.18,19|,0.0441267868
18|36.18.37.18,13|18.36,0.0062150404
18|36.18.37.18,0|18.36,0.0087010566
18|36.18.37.18,36|18,0.1479179615
18|36.18.37.18,26|18,0.0062150404
18|36.18.37.18,9|18.36,0.0229956495
18|36.18.37.18,10|18.36.18,0.0111870727
18|36.18.37.18,2|18.36.18.37.18,0.0192666252
18|36.18.37.18,12|18.36,0.014916097
4|36.21,36|4.36.21,0.4285714286
4|36.21,33|4.36,0.5714285714
18|33,37|18,1
37|18.32,18|37.18.32,1
26|16.23,37|26,1
18|37.12,37|18.37,1
16|23,37|16,0.203125
16|23,36|16,0.25
16|23,26|16.23,0.546875
18|36.6.18,34|,1
2|24,36|2,0.4102564103
2|24,37|2,0.5897435897
36|6,34|36,0.5693430657
36|6,18|36,0.4306569343
36|2.18.37,10|36.2,1
4|36,37|4,0.1855670103
4|36,33|4.36,0.2886597938
4|36,36|4,0.3608247423
4|36,21|4,0.1649484536
37|29,18|37.29,1
16|18.36,26|16.18,1
16|18,37|16,0.323943662
16|18,26|16.18,0.3521126761
16|18,23|16,0.1830985915
16|18,36|16,0.1408450704
18|36.19,37|18.36,0.6363636364
18|36.19,36|18,0.2809917355
18|36.19,19|,0.0826446281
2|36.24,37|2,1
3|5,37|3,0.2671232877
3|5,18|3.5,0.1575342466
3|5,24|3,0.2465753425
3|5,36|3,0.3287671233
22|9.36,37|22,1
24|30.18,37|24,1
24|18.37.18,13|24,0.0194585448
24|18.37.18,26|24.18,0.024534687
24|18.37.18,34|24.18,0.0160744501
24|18.37.18,6|24.18.37.18,0.0329949239
24|18.37.18,2|24,0.0287648054
24|18.37.18,28|,0.010998308
24|18.37.18,0|24,0.0262267343
24|18.37.18,5|24,0.0101522843
24|18.37.18,4|24,0.0287648054
24|18.37.18,18|,0.114213198
24|18.37.18,30|24,0.0524534687
24|18.37.18,14|24,0.0101522843
24|18.37.18,22|24,0.0211505922
24|18.37.18,17|24,0.0397631134
24|18.37.18,36|24,0.1319796954
24|18.37.18,37|24,0.2428087986
24|18.37.18,21|24,0.0296108291
24|18.37.18,15|24,0.0169204738
24|18.37.18,23|24,0.0236886633
24|18.37.18,10|24,0.0143824027
24|18.37.18,19|24,0.0101522843
24|18.37.18,16|24,0.013536379
24|18.37.18,9|24,0.0389170897
24|18.37.18,12|24,0.0423011844
27|12.24,28|27.12.24,1
18|37.18.37.32,37|18.37.18.37.32,0.7840909091
18|37.18.37.32,0|,0.2159090909
30|24,13|30,0.311827957
30|24,37|30,0.2365591398
30|24,18|30,0.1075268817
30|24,8|30,0.1075268817
30|24,36|30.24,0.2365591398
37|18.37.16,18|37.18.37.16,1
36|6.34,18|36,1
18|0,37|18,1
36|18.37.29,18|36.18.37.29,1
13|36.30,8|13.36.30,1
18|37.24,5|,0.016221374
18|37.24,4|18,0.018129771
18|37.24,29|,0.0133587786
18|37.24,14|18.37.24,0.0372137405
18|37.24,2|18.37,0.018129771
18|37.24,13|18.37,0.0104961832
18|37.24,0|,0.016221374
18|37.24,10|18,0.0114503817
18|37.24,21|18,0.0114503817
18|37.24,19|,0.0209923664
18|37.24,36|18,0.0944656489
18|37.24,17|18.37.24,0.0209923664
18|37.24,37|18.37.24,0.5515267176
18|37.24,12|18.37,0.0152671756
18|37.24,6|18.37.24,0.0229007634
18|37.24,23|18,0.0133587786
18|37.24,30|18,0.0104961832
18|37.24,24|18.37.24,0.0973282443
8|13.24,30|8.13.24,1
14|,36|14,0.1270627063
14|,37|,0.2062706271
14|,6|14,0.0231023102
14|,5|14,0.0528052805
14|,3|,0.0247524752
14|,18|14,0.5330033003
14|,24|,0.0330033003
18|14.18.36,37|18.14,1
28|18.37.18,37|28,1
31|17,36|31.17,0.1822222222
31|17,32|,0.7288888889
31|17,37|31,0.0888888889
26|16.18,37|26,1
5|18.14,3|5.18.14,0.6140350877
5|18.14,37|5,0.2105263158
5|18.14,36|5.18.14,0.1754385965
36|30,13|36.30,0.37
36|30,18|36.30,0.63
13|18.36,8|13.18.36,1
12|28,27|12,1
18|37.18.32,0|,1
37|34,18|37.34,1
9|,22|9,0.5127055306
9|,18|9,0.0747384155
9|,36|9,0.177877429
9|,24|,0.0298953662
9|,37|9,0.2047832586
30|13,8|30,1
18|28,37|18,1
22|9.18.36,37|22,1
36|12,27|36,0.7916666667
36|12,18|36,0.2083333333
9|36,22|9.36,0.4181818182
9|36,36|9,0.3090909091
9|36,37|9,0.2727272727
18|37.25,37|18.37,0.696969697
18|37.25,19|,0.303030303
11|0.36,20|,1
37|32,18|37.32,1
26|36.18,36|26,1
12|18.36,27|12,1
18|37.18.37.24,36|18.37.18,0.0806451613
18|37.18.37.24,4|18,0.0201612903
18|37.18.37.24,19|,0.0403225806
18|37.18.37.24,29|,0.0322580645
18|37.18.37.24,6|18,0.0221774194
18|37.18.37.24,24|18.37.18.37.24,0.1310483871
18|37.18.37.24,12|18.37,0.0221774194
18|37.18.37.24,0|,0.0201612903
18|37.18.37.24,14|,0.0302419355
18|37.18.37.24,37|18.37.18.37,0.6008064516
16|36,37|16,0.6060606061
16|36,36|16,0.3939393939
7|36,37|7,1
18|37.18.37.18.37.2,14|,0.2765957447
18|37.18.37.18.37.2,37|18.37.18.37,0.7234042553
18|36.7,37|18.36,1
32|18,37|32,1
8|30,37|8,1
36|3,18|36.3,0.7738095238
36|3,24|36,0.2261904762
18|37.24.22,37|18.37.24,1
37|8,18|37.8,1
16|26,37|16,0.4340277778
16|26,18|16,0.1319444444
16|26,23|16,0.1284722222
16|26,36|16,0.2118055556
16|26,24|16,0.09375
18|24.22,37|18,1
18|23,37|18,1
33|18,36|33,0.2619047619
33|18,37|33,0.7380952381
17|18.37.24,31|17,1
6|18.37.24,34|,1
3|5.18.14,24|3,1
31|36.17,36|31,1
4|,37|4,0.1383855025
4|,36|4,0.197693575
4|,18|4,0.0774299835
4|,21|4,0.3196046129
4|,24|,0.0280065898
4|,23|,0.0263591433
4|,33|,0.2125205931
37|10,18|37.10,1
6|24,36|6.24,0.2727272727
6|24,34|,0.4805194805
6|24,37|,0.2467532468
24|,25|,0.0030093289
24|,3|,0.0051158592
24|,11|,0.0066205236
24|,2|24,0.0159494433
24|,28|,0.0078242552
24|,0|24,0.0174541077
24|,26|24,0.0183569064
24|,27|24,0.0075233223
24|,5|24,0.0090279868
24|,8|,0.0048149263
24|,13|24,0.0120373157
24|,4|24,0.016852242
24|,18|,0.117062895
24|,30|24,0.0285886247
24|,29|,0.0033102618
24|,20|,0.0042130605
24|,22|24,0.0123382486
24|,17|24,0.0219681011
24|,6|24,0.02497743
24|,14|24,0.0078242552
24|,36|24,0.1697261511
24|,37|24,0.3448690942
24|,21|24,0.0174541077
24|,15|24,0.0117363828
24|,23|24,0.0129401144
24|,10|24,0.0141438459
24|,31|,0.0060186578
24|,7|24,0.0042130605
24|,19|24,0.0078242552
24|,16|24,0.0090279868
24|,34|24,0.0129401144
24|,9|24,0.0213662353
24|,12|24,0.0228708998
27|24,28|27,1
23|29,26|23,1
5|24,37|5,1
13|30,8|13.30,1
13|24,8|13.24,1
37|28.27,18|37.28.27,1
36|16.26.24,23|36.16,1
37|18.37.2,18|37.18.37.2,1
18|30.8,37|18,1
4|24,36|4,0.3513513514
4|24,21|4,0.6486486486
36|,16|36,0.0064383209
36|,23|36,0.0124903425
36|,3|36,0.007082153
36|,7|36,0.005536956
36|,18|36,0.7053824363
36|,34|36,0.0154519701
36|,25|,0.0038629925
36|,2|36,0.0118465104
36|,11|36,0.0072109194
36|,4|36,0.0144218388
36|,26|36,0.0124903425
36|,21|,0.0142930724
36|,31|,0.0074684522
36|,30|36,0.0036054597
36|,0|36,0.0088848828
36|,5|,0.0114602112
36|,6|36,0.0079835179
36|,29|,0.0061807881
36|,20|,0.0060520216
36|,13|36,0.0103013134
36|,27|36,0.0103013134
36|,15|36,0.0050218903
36|,14|,0.0027040948
36|,8|36,0.0038629925
36|,17|36,0.0068246201
36|,24|36,0.0221478238
36|,19|,0.0059232552
36|,32|36,0.010172547
36|,12|36,0.0050218903
36|,28|36,0.0066958537
36|,33|,0.0139067731
36|,9|36,0.0092711821
36|,22|,0.0087561164
36|,10|,0.0109451455
37|3,18|37.3,1
13|36,8|,0.7910447761
13|36,37|13,0.2089552239
18|37.18.37.18.37.30,12|18.37,0.2307692308
18|37.18.37.18.37.30,37|18.37.18.37,0.7692307692
22|18,9|22,0.4632352941
22|18,18|22,0.0808823529
22|18,36|22,0.1985294118
22|18,37|22,0.2573529412
14|18.36,18|14.18.36,0.640625
14|18.36,37|,0.359375
2|18.37.18.37.18.37,10|2.18,1
18|37.16,37|18.37.16,0.7294117647
18|37.16,36|18,0.0588235294
18|37.16,29|,0.2117647059
10|18,36|10,0.1594202899
10|18,18|,0.1449275362
10|18,37|10,0.2512077295
10|18,5|10,0.1062801932
10|18,24|10.18,0.1449275362
10|18,2|10.18,0.193236715
18|20,37|18,1
7|37,37|7,1
24|33,37|24,1
18|37.18.37.2,5|,0.1041666667
18|37.18.37.2,37|18.37.18.37.2,0.6875
18|37.18.37.2,14|,0.1041666667
18|37.18.37.2,36|18.37.18,0.1041666667
22|18.37.18.37,9|22,1
18|5,37|18,1
12|27,28|,0.3846153846
12|27,37|12,0.6153846154
7|18,36|7,0.2222222222
7|18,37|7,0.5
7|18,25|7,0.2777777778
26|18,36|26,0.2051282051
26|18,37|26,0.2756410256
26|18,18|26,0.1153846154
26|18,23|,0.108974359
26|18,16|26.18,0.2948717949
37|18.37.22,18|37.18.37.22,1
31|,32|,0.4183673469
31|,18|,0.0265306122
31|,36|31,0.2326530612
31|,24|,0.0346938776
31|,37|31,0.2326530612
31|,17|31,0.0551020408
18|36.28,37|18.36,1
24|16,37|24,1
20|18.37,0|20,1
36|30.8,18|36.30,1
24|32,37|24,1
18|36.3,37|18.36,1
18|37.30,12|18.37,0.0817610063
18|37.30,13|18.37,0.0880503145
18|37.30,24|18,0.0880503145
18|37.30,37|18.37.30,0.6540880503
18|37.30,36|18,0.0880503145
36|27,28|36,0.5964912281
36|27,18|36,0.4035087719
37|33,18|37.33,1
18|37.34,6|18,0.0671641791
18|37.34,37|18.37.34,0.6865671642
18|37.34,4|18,0.052238806
18|37.34,24|18,0.0820895522
18|37.34,36|18,0.0746268657
18|37.34,14|,0.0373134328
15|25,37|15,1
12|,28|,0.0592734226
12|,37|12,0.1013384321
12|,18|12,0.051625239
12|,24|,0.0325047801
12|,36|12,0.1567877629
12|,27|12,0.5984703633
18|36,36|18,0.1566752483
18|36,24|18.36,0.0446855462
18|36,25|,0.0018389114
18|36,30|18.36,0.0064361898
18|36,2|18,0.0156307466
18|36,4|18.36,0.0099301214
18|36,11|,0.0031261493
18|36,9|18.36,0.0152629643
18|36,28|,0.0025744759
18|36,16|18.36,0.0047811695
18|36,3|18,0.0049650607
18|36,21|18.36,0.0102979036
18|36,5|,0.0141596175
18|36,31|18.36,0.0036778227
18|36,0|18.36,0.00809121
18|36,29|,0.0340198602
18|36,20|,0.0033100405
18|36,34|,0.009378448
18|36,10|18,0.0130562707
18|36,33|18,0.0047811695
18|36,17|18.36,0.009378448
18|36,8|18,0.0036778227
18|36,37|18.36,0.5051489518
18|36,22|18,0.0075395366
18|36,14|18.36,0.0159985289
18|36,6|18.36,0.0128723796
18|36,19|,0.029606473
18|36,13|18.36,0.0066200809
18|36,7|18,0.0023905848
18|36,26|18,0.0079073189
18|36,27|,0.0033100405
18|36,23|18,0.0143435086
18|36,15|18.36,0.0051489518
18|36,12|18.36,0.009378448
24|18.37.18.37.24,37|24,1
37|26,18|37.26,1
37|13,18|37.13,1
37|18.36.16,18|37.18.36.16,1
17|18,37|17,0.0924092409
17|18,18|17,0.0660066007
17|18,36|17,0.1155115512
17|18,31|17,0.5214521452
17|18,24|,0.0495049505
17|18,32|17.18,0.1551155116
5|10,36|5,1
10|5,37|10,1
36|21,4|36.21,0.2215909091
36|21,33|36.21,0.2840909091
36|21,18|36.21,0.4943181818
22|9,36|22,0.2066869301
22|9,18|22,0.1337386018
22|9,37|22,0.4133738602
22|9,24|22,0.2462006079
18|36.21,33|18,0.2058823529
18|36.21,37|18.36,0.4852941176
18|36.21,36|18,0.3088235294
36|18.37.18,18|36.18.37.18,0.930449069
36|18.37.18,24|36,0.0109529025
36|18.37.18,23|36,0.0071193866
36|18.37.18,19|,0.0060240964
36|18.37.18,13|36,0.0065717415
36|18.37.18,9|36.18,0.0054764513
36|18.37.18,29|36.18,0.0060240964
36|18.37.18,4|36,0.0082146769
36|18.37.18,5|36.18,0.0054764513
36|18.37.18,21|,0.0082146769
36|18.37.18,2|36,0.0054764513
37|18.14,18|37.18.14,1
18|17,31|18,1
18|37.18.37.18.37.34,4|18,0.2236842105
18|37.18.37.18.37.34,37|18.37.18.37,0.7763157895
30|,13|30,0.1441441441
30|,24|30,0.1243243243
30|,37|30,0.3207207207
30|,36|30,0.2036036036
30|,18|30,0.1495495495
30|,8|30,0.0576576577
31|32,37|31,1
3|18,37|3,0.31875
3|18,18|,0.075
3|18,36|3,0.19375
3|18,24|3,0.1875
3|18,5|3.18,0.225
18|36.26,37|18.36,1
0|,20|,0.0350553506
0|,37|0,0.1383763838
0|,18|0,0.0498154982
0|,36|0,0.1051660517
0|,24|,0.0295202952
0|,11|,0.6420664207
26|36.23,16|26.36,1
18|22,37|18,1
36|10,2|36,0.175
36|10,18|36.10,0.825
21|18.36,37|,0.5
21|18.36,36|21,0.5
36|23.36,18|36.23,1
6|18.14,34|,1
16|23.18,26|16.23,1
18|4,21|18,1
21|4,36|21.4,0.1144578313
21|4,33|21,0.8855421687
31|17.24,36|31.17,0.3611111111
31|17.24,32|31.17.24,0.6388888889
34|,36|34,0.207253886
34|,21|,0.0207253886
34|,24|34,0.0777202073
34|,37|34,0.5025906736
34|,6|34,0.115716753
34|,18|34,0.0759930915
2|18.37,18|2.18.37,0.1454545455
2|18.37,24|2,0.0772727273
2|18.37,36|2.18.37,0.1181818182
2|18.37,37|2,0.2409090909
2|18.37,10|2.18,0.4181818182
18|9,22|18,0.3235294118
18|9,37|18,0.6764705882
10|2,36|10,0.1712328767
10|2,24|10,0.3493150685
10|2,18|,0.1506849315
10|2,37|10,0.3287671233
18|37.18,23|18.37.18,0.0074030677
18|37.18,25|18.37,0.001224968
18|37.18,32|18,0.0005325948
18|37.18,3|18,0.0036749041
18|37.18,17|18,0.0083084789
18|37.18,11|18.37.18,0.0015977844
18|37.18,6|18,0.006657435
18|37.18,33|18,0.0005858543
18|37.18,27|18.37,0.0011717086
18|37.18,36|18.37.18,0.1020984235
18|37.18,22|18,0.0036216447
18|37.18,16|18,0.001438006
18|37.18,0|,0.0099595228
18|37.18,5|,0.0084149979
18|37.18,4|18,0.0101193012
18|37.18,24|18.37.18,0.0657221986
18|37.18,34|18.37,0.0032488283
18|37.18,29|,0.0298253089
