source,target,value
37|6,6|,1
24|,18|,1
24|,18|24,0.9107843137
24|,40|24,1
24|,1|,0.0205882353
24|,32|24,1
24|,15|,0.0107843137
24|,13|,0.0245098039
24|,11|,0.0117647059
24|,33|,0.0098039216
10|36,18|10,0.3653846154
10|36,100|,0.6346153846
40|18.28,18|40.18.28,1
18|34,40|18.34,1
18|34,40|,1
7|36,10|7,0.65625
7|36,100|,0.34375
2|18,30|2,0.0512820513
2|18,6|2,0.2923076923
2|18,100|,0.1025641026
2|18,18|2.18,1
2|18,14|2.18,0.5625
33|23.32.14,100|,1
18|22.8,14|18.22,0.1214953271
18|22.8,40|18.22.8,1
18|22.8,36|18,0.1588785047
40|9,9|,1
13|,36|13,0.1156462585
13|,18|13,0.4353741497
13|,34|,0.0680272109
13|,37|13,1
13|,100|,0.1283185841
13|,15|13,0.1224489796
13|,30|,0.074829932
13|,14|13,0.0427350427
13|,39|13,1
15|36.15.13.18,14|15,1
40|18.17,18|40.18.17,0.6551724138
18|2.14,40|18.2,1
24|18,18|24,1
18|38,11|,0.4375
18|38,100|,1
40|18.5,18|40.18.5,0.4047619048
1|22,18|1,0.6842105263
1|22,12|1,0.3157894737
20|29.14,21|20.29,1
18|13,40|18.13,0.7674418605
18|13,36|18,0.2325581395
21|18.36,18|21,1
25|36,5|25,1
34|18,10|34.18,1
34|18,7|34.18,1
34|18,18|34,0.2522522523
30|6.18.40,2|30,1
40|18.9.12,18|40.18.9.12,0.375
7|18,18|7,0.2321428571
7|18,100|,0.1160714286
7|18,34|7,0.2589285714
7|18,10|7,0.2053571429
7|18,14|7,0.1875
8|18.14,18|8,1
18|40.18.2,100|,0.3174603175
18|40.18.2,14|18.40,0.2222222222
18|40.18.2,6|18.40.18.2,1
14|21,29|14,1
39|,12|,0.0466101695
39|,8|,0.1290322581
39|,6|,0.1967213115
39|,28|,0.262295082
39|,1|,0.0593220339
39|,13|,0.1025641026
39|,18|39,0.8035714286
39|,22|,0.0508474576
39|,7|,0.1587301587
39|,9|,0.1967213115
39|,34|,0.2222222222
39|,4|,0.2
39|,21|,0.1803278689
39|,25|,0.1964285714
39|,11|,0.0508474576
36|7,7|36,1
20|29.21,100|,1
14|22,18|14.22,1
14|18.40.18.9,18|14.18,1
18|40.18.4,100|,1
18|4,40|18.4,1
17|14,4|17,0.3793103448
17|14,31|17.14,1
18|22.18,40|18.22.18,1
18|22.18,8|18.22,0.1724137931
5|14.18,25|5,1
17|4.31,100|,1
31|17.14,100|,1
23|32,33|23,0.7692307692
23|32,18|23,0.2307692308
40|5,5|,1
18|40.18.14.18,0|18.40.18.14,0.0987654321
18|40.18.14.18,8|,0.2407407407
18|40.18.14.18,21|18,1
18|40.18.14.18,22|18,0.1358024691
18|40.18.14.18,2|18,1
18|40.18.14.18,100|,0.2222222222
18|40.18.14.18,14|18.40.18.14.18,1
18|40.18.14.18,1|18,0.1049382716
18|40.18.14.18,8|18,0.2407407407
9|36,18|9.36,0.1518987342
9|36,12|9,0.253164557
9|36,100|,0.5949367089
34|18.40,10|34.18.40,1
34|18.40,100|,0.0846153846
34|18.40,7|34,0.6153846154
34|18.40,14|34,0.0884615385
34|18.40,18|34,0.0423076923
17|18,31|,1
31|,4|31,1
31|,18|,1
31|,14|31,0.6781609195
31|,36|31,1
31|,18|31,1
31|,37|31,1
31|,4|,0.0655021834
31|,17|31,1
31|,100|,0.4776579353
29|21,36|29,0.1632653061
29|21,100|,0.2040816327
29|21,18|29,0.112244898
29|21,20|29.21,1
18|5.25,40|18.5,1
32|,14|,0.0331125828
32|,100|,0.0993377483
32|,36|32,1
32|,33|32,1
32|,40|32,1
32|,18|32,1
32|,23|32,0.7692307692
14|15,18|14,1
14|15,100|,0.7214285714
3|36,100|,1
14|10,18|14,0.3442622951
14|10,100|,0.6557377049
40|18.13,18|40.18.13,1
39|18,18|39,1
10|7,18|10,0.1744548287
10|7,36|10,0.1588785047
10|7,14|10,0.1682242991
10|7,38|10,0.031152648
10|7,100|,0.4672897196
18|40.18.29,11|,1
18|40.18.29,100|,1
36|20,20|36,1
18|40.18.9.18,21|18,1
18|40.18.24,24|18,1
18|40.18.24,14|18.40,0.5
18|40.18.24,4|18,1
18|40.18.24,34|18.40,0.4242424242
18|40.18.24,100|,0.5757575758
25|18.40,5|25.18,1
36|12,12|,1
36|12,12|36,1
14|,12|,0.1938579655
14|,1|14,0.5
14|,34|14,0.8846153846
14|,24|,0.0204081633
14|,18|14,0.3430962343
14|,3|,0.0648148148
14|,13|14,0.019047619
14|,31|14,0.6
14|,7|14,0.4545454545
14|,28|14,0.585106383
14|,2|14,0.1041666667
14|,23|,0.1
14|,25|14,0.7190082645
14|,100|,0.1715481172
14|,32|14,0.7592592593
14|,29|14,1
14|,21|14,0.21875
14|,27|,0.0182186235
14|,5|,0.1569037657
14|,4|14,1
14|,22|14,0.3695652174
14|,33|,0.06
