sequence,struc2vec128D,struc2vec2D,node2vec128D,node2vec2D
36|14.27,0,2,7,6
18|14.27,0,2,7,6
27|1.0,0,2,7,6
40|18.14.3,0,2,7,6
40|18.5.36,0,2,7,1
18|40.18.14.27,1,3,7,9
40|18.9.36,0,2,7,9
18|40.18.5.36,1,3,7,6
40|18.31.36,0,2,7,9
33|23.32.14,1,3,7,6
18|40.18.1,1,3,4,10
18|39.18.14,0,2,5,4
14|36.14.27,1,3,4,10
18|40.18.33,1,3,7,6
18|40.18.1.18,1,3,4,10
18|36.18.30,1,3,7,9
18|40.18.15,1,3,7,9
18|40.18.4,1,3,7,9
18|40.18.3,1,3,7,9
18|40.18.14.3,1,3,7,9
18|40.18.9.36,1,3,7,6
18|40.18.6,1,3,7,6
30|6.18.40.18.2,1,3,7,6
18|40.18.9.28,1,3,7,6
32|14,2,1,1,5
18|36.18.11,1,3,7,6
23|32.14,0,2,7,6
18|40.18.12.18,1,3,7,1
18|40.18.31.36,1,3,7,6
18|40.18.28,1,3,2,13
36|4,0,1,7,9
21|14,2,1,8,0
14|22,0,2,7,9
18|40.18.22.18,0,2,4,5
20|21.14,0,2,1,5
39|4,0,1,4,5
18|40.18.14.31,1,3,11,2
29|20.21.14,1,3,4,2
40|4,0,1,7,9
18|30.6.2,1,3,7,9
40|18.12.18,0,2,7,6
19|26.3,1,3,7,1
38|21,0,1,7,9
40|21,0,1,0,8
39|21,0,1,7,6
37|21,0,1,7,9
40|18.14.27,0,2,7,9
9|12.28.14,1,3,7,9
29|20.36,1,3,7,6
30|6.36,1,3,3,3
6|14,2,1,7,6
40|18.14.31,0,2,12,11
36|34,0,1,4,3
39|34,0,1,1,5
18|40.18.14.22,0,2,3,3
30|14,2,1,1,7
39|28,0,1,7,9
31|17.14,1,3,7,6
40|34,0,1,4,10
40|18.1.18,0,2,4,10
40|28,0,1,4,4
15|36.15.13.18,0,2,7,6
39|13,0,1,7,1
36|13,0,1,7,1
5|25.18,1,0,4,7
18|40.18.10,1,0,7,9
18|40.18.19,1,0,7,9
18|40.18.0,1,0,7,1
37|13,0,1,7,1
18|2.30,1,0,7,1
20|29.21,1,0,7,9
20|14,2,1,4,13
37|1,0,1,6,7
