student_assignment_grade,struc0,struc1,struc2,struc3,struc4,struc5,struc6,struc7,struc8,struc9,struc10,struc11,struc12,struc13,struc14,struc15
student1_ePortfolio Link_1.0,3,3,7,15,1,1,1,1,1,1,1,1,1,1,1,1
student1_Capstone_1.0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
student1_Integration3_1.0,3,4,0,19,1,1,1,1,1,1,1,1,1,1,1,1
student1_Prompt5_1.0,3,2,0,11,1,1,1,1,1,1,1,1,1,1,1,1
student1_Prompt4_1.0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1
student1_Prompt3_1.0,5,2,5,35,1,1,1,1,1,1,1,1,1,1,1,1
student1_Prompt10_1.0,2,2,3,17,1,1,1,1,1,1,1,1,1,1,1,1
student1_Prompt9_1.0,4,2,2,12,1,1,1,1,1,1,1,1,1,1,1,1
student1_Prompt6_1.0,0,1,0,9,1,1,1,1,1,1,1,1,1,1,1,1
student1_Prompt7_1.0,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1
student1_Prompt8_1.0,3,0,3,10,1,1,1,1,1,1,1,1,1,1,1,1
student2_Prompt11_1.0,4,5,2,12,1,1,1,1,1,1,1,1,1,1,1,1
student2_Capstone_1.0,1,6,11,21,1,1,1,1,1,1,1,1,1,1,1,1
student2_Prompt2_1.0,1,3,4,11,1,1,1,1,1,1,1,1,1,1,1,1
student2_Prompt5_1.0,2,1,2,11,1,1,1,1,1,1,1,1,1,1,1,1
student2_Prompt3_1.0,2,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1
student2_Prompt10_1.0,2,1,4,12,1,1,1,1,1,1,1,1,1,1,1,1
student2_Prompt6_1.0,2,0,0,8,1,1,1,1,1,1,1,1,1,1,1,1
student2_Integration3_0.9,1,1,4,17,1,1,1,1,1,1,1,1,1,1,1,1
student2_Prompt8_1.0,2,2,2,12,1,1,1,1,1,1,1,1,1,1,1,1
student2_Prompt4_1.0,0,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1
student2_Prompt9_1.0,3,2,3,11,1,1,1,1,1,1,1,1,1,1,1,1
student2_Prompt7_1.0,2,1,0,10,1,1,1,1,1,1,1,1,1,1,1,1
student3_Prompt2_1.0,4,5,8,39,1,1,1,1,1,1,1,1,1,1,1,1
student3_Prompt5_1.0,2,0,2,20,1,1,1,1,1,1,1,1,1,1,1,1
student3_Prompt7_1.0,5,2,4,13,1,1,1,1,1,1,1,1,1,1,1,1
student3_Prompt3_1.0,2,0,0,6,1,1,1,1,1,1,1,1,1,1,1,1
student3_Prompt10_1.0,2,0,3,11,1,1,1,1,1,1,1,1,1,1,1,1
student3_ePortfolio Link_1.0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1
student3_Prompt6_1.0,2,1,1,24,1,1,1,1,1,1,1,1,1,1,1,1
student3_Integration3_0.8,0,3,2,8,1,1,1,1,1,1,1,1,1,1,1,1
student4_ePortfolio Link_1.0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1
student4_Capstone_1.0,0,1,10,19,1,1,1,1,1,1,1,1,1,1,1,1
student4_Prompt2_1.0,2,2,4,14,1,1,1,1,1,1,1,1,1,1,1,1
student4_Prompt5_1.0,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1
student4_Prompt7_1.0,2,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1
student4_Prompt3_1.0,2,1,1,13,1,1,1,1,1,1,1,1,1,1,1,1
student4_Prompt10_1.0,0,0,1,6,1,1,1,1,1,1,1,1,1,1,1,1
student4_Prompt9_1.0,0,0,3,19,1,1,1,1,1,1,1,1,1,1,1,1
student4_Prompt6_1.0,2,1,0,21,1,1,1,1,1,1,1,1,1,1,1,1
student4_Integration3_0.9,3,1,4,16,1,1,1,1,1,1,1,1,1,1,1,1
student4_Prompt8_1.0,1,3,6,24,1,1,1,1,1,1,1,1,1,1,1,1
student5_Prompt11_1.0,0,2,2,7,1,1,1,1,1,1,1,1,1,1,1,1
student5_Capstone_1.0,5,8,7,12,1,1,1,1,1,1,1,1,1,1,1,1
student5_Integration3_1.0,2,2,4,13,1,1,1,1,1,1,1,1,1,1,1,1
student5_Prompt5_1.0,2,0,1,11,1,1,1,1,1,1,1,1,1,1,1,1
student5_Prompt4_1.0,3,4,4,10,1,1,1,1,1,1,1,1,1,1,1,1
student5_Prompt10_1.0,4,1,2,12,1,1,1,1,1,1,1,1,1,1,1,1
student5_Prompt9_1.0,4,4,3,11,1,1,1,1,1,1,1,1,1,1,1,1
student5_Prompt6_1.0,2,0,3,9,1,1,1,1,1,1,1,1,1,1,1,1
student5_Prompt7_1.0,5,7,5,17,1,1,1,1,1,1,1,1,1,1,1,1
student5_Prompt8_1.0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1
student6_Prompt11_1.0,3,1,4,7,1,1,1,1,1,1,1,1,1,1,1,1
student6_Prompt8_1.0,3,1,0,10,1,1,1,1,1,1,1,1,1,1,1,1
