student_assignment_grade,struc0,struc1,struc10,struc11,struc12,struc13,struc2,struc3,struc4,struc5,struc6,struc7,struc8,struc9
student1_Capstone_1.0,2,0,1,1,0,0,0,1,6,0,0,2,0,0
student1_Prompt7_1.0,1,2,0,2,0,0,0,0,4,0,0,4,0,0
student1_Prompt2_1.0,0,0,0,5,1,0,0,1,6,0,0,4,1,1
student1_Prompt5_1.0,2,0,1,2,0,0,0,0,5,0,0,5,1,1
student1_Prompt8_1.0,0,0,0,1,1,0,0,1,4,1,0,2,0,1
student1_Prompt3_1.0,0,0,0,0,0,1,0,0,4,0,0,3,0,0
student1_Prompt4_1.0,1,0,0,2,0,0,0,3,8,1,1,4,2,1
student1_Prompt6_1.0,1,0,0,4,0,0,1,0,5,1,0,5,0,1
student1_Integration3_1.0,1,0,0,4,0,0,1,1,16,2,1,7,1,1
student1_Prompt10_1.0,0,0,1,4,1,0,0,0,5,0,0,5,1,1
student2_Capstone_1.0,7,0,1,1,0,0,1,0,11,1,1,4,4,1
student2_Prompt7_1.0,1,0,0,3,0,0,0,0,6,0,0,6,0,0
student2_Prompt5_1.0,1,0,1,0,0,0,0,0,8,0,0,3,0,0
student2_Prompt4_1.0,1,0,0,2,0,0,0,1,6,0,0,4,1,0
student2_Prompt3_1.0,1,0,0,0,0,1,0,0,5,0,0,3,0,0
student2_Prompt6_1.0,1,0,0,1,0,0,0,0,4,0,0,4,0,0
student2_Prompt10_1.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
student3_Prompt9_1.0,1,1,1,4,0,0,0,0,6,0,0,4,0,0
student3_Prompt2_1.0,3,1,1,8,0,0,1,3,16,0,1,8,0,0
student3_Prompt5_1.0,0,1,1,1,0,0,0,0,5,0,0,6,0,0
student3_Prompt7_1.0,2,0,0,5,0,0,0,0,7,0,0,9,0,2
student3_Prompt3_1.0,0,0,0,0,0,1,0,1,6,0,1,3,0,0
student3_Prompt8_1.0,0,1,0,1,2,0,1,1,4,1,0,4,0,3
student3_Prompt4_1.0,0,1,0,2,0,0,0,1,7,0,0,5,1,0
student3_Integration3_1.0,0,1,2,4,1,0,0,1,13,2,0,6,1,2
student4_Capstone_1.0,3,0,3,3,1,1,2,2,8,2,1,9,0,3
student4_Prompt7_1.0,2,1,0,3,1,0,0,0,10,0,0,4,0,0
student4_Prompt2_1.0,2,0,1,4,1,0,0,2,11,0,0,3,0,0
student4_Prompt5_1.0,0,1,1,1,0,0,0,0,4,0,0,1,0,0
student4_Prompt9_1.0,1,1,1,2,0,0,0,0,9,0,0,4,0,0
student4_Prompt3_1.0,0,0,0,2,0,2,1,0,6,0,0,3,0,0
student4_Prompt11_1.0,1,0,0,1,0,0,0,0,6,0,1,3,0,2
student4_Prompt8_1.0,0,0,0,1,1,0,0,1,4,1,0,1,0,1
student4_Prompt4_1.0,1,1,0,3,0,0,0,1,12,0,0,6,1,0
student4_Prompt10_1.0,0,0,1,3,1,0,0,0,2,0,0,1,1,0
student4_Integration3_1.0,0,0,1,6,0,1,0,1,12,1,1,4,3,1
student5_Capstone_1.0,7,0,3,1,1,0,0,0,11,0,0,2,1,0
student5_Prompt7_1.0,3,0,0,3,0,0,0,1,12,1,0,10,0,2
student5_Prompt2_1.0,1,0,1,1,0,0,0,2,3,0,0,1,0,0
student5_Prompt5_1.0,1,0,2,4,0,0,0,0,12,0,0,5,0,1
student5_Prompt8_1.0,0,0,0,1,2,0,1,1,5,1,0,4,1,2
student5_Prompt3_1.0,0,0,0,1,0,2,1,0,10,0,1,4,0,0
student5_Prompt4_1.0,1,0,0,2,0,0,1,0,6,0,0,4,1,0
student5_Prompt6_1.0,0,0,0,1,0,0,0,0,5,0,0,4,0,0
student5_Integration3_1.0,0,0,0,1,0,0,1,0,11,0,1,3,0,2
student5_Prompt10_1.0,0,0,0,0,0,0,0,0,3,0,0,2,0,0
student6_Capstone_1.0,5,0,1,3,0,0,0,1,10,0,0,3,0,0
student6_Prompt7_1.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
student6_Prompt2_1.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
student6_Prompt8_1.0,2,1,0,3,2,0,0,1,8,1,0,5,0,1
student6_Prompt3_1.0,0,0,1,4,0,2,1,3,15,0,1,4,0,0
student6_Prompt11_1.0,2,0,0,1,0,0,1,0,5,1,1,2,0,2
student6_Prompt4_1.0,1,0,0,0,0,0,0,2,6,0,0,0,1,0
student7_Prompt9_1.0,0,1,1,2,0,0,0,0,7,0,0,3,0,0
student7_Prompt2_1.0,1,0,1,0,0,0,0,0,2,0,0,0,0,0
student7_Prompt5_1.0,1,1,1,1,0,0,0,0,5,0,0,5,0,0
student7_Prompt7_1.0,1,1,0,2,0,0,0,0,10,0,0,2,0,0
student7_Integration3_1.0,0,1,0,1,0,0,0,0,7,0,0,4,0,1
student7_Prompt11_1.0,1,0,0,1,0,0,0,0,6,0,1,2,0,2
student7_Prompt8_1.0,0,0,0,2,0,0,0,1,4,1,0,1,0,1
student7_Prompt4_1.0,1,0,0,3,0,0,1,2,9,0,0,2,1,0
student7_Prompt6_1.0,1,0,0,5,0,0,1,1,10,0,1,4,2,0
student7_Prompt10_1.0,0,0,1,2,1,0,0,1,6,0,0,1,1,0
student8_Prompt9_0.5,0,0,0,2,1,0,0,0,4,0,0,1,2,0
student8_Prompt5_1.0,2,1,1,2,0,0,0,2,17,0,0,3,1,0
student8_Prompt7_1.0,4,2,2,3,2,0,0,0,15,0,0,7,0,1
student8_Integration3_1.0,0,1,0,1,0,0,1,0,14,1,1,1,0,1
student8_Prompt11_1.0,0,0,0,2,0,0,0,0,5,0,0,2,0,1
student8_Prompt8_1.0,0,0,0,2,1,0,1,1,7,1,0,4,0,3
student8_Prompt4_1.0,0,0,0,4,1,2,1,0,15,1,0,7,0,0
student8_Prompt6_1.0,2,0,0,4,0,0,0,0,11,0,0,3,0,0
student8_Prompt10_1.0,0,0,0,1,0,0,0,0,3,0,0,1,0,0
student9_Capstone_1.0,2,0,1,5,0,0,0,2,7,0,1,4,0,1
student9_Prompt7_1.0,1,1,0,2,0,0,1,0,8,0,0,1,0,0
student9_Prompt2_1.0,1,0,1,4,1,0,0,1,9,0,0,1,0,0
student9_Prompt5_1.0,1,0,1,1,0,0,0,0,3,0,0,2,0,0
student9_Prompt8_1.0,0,1,0,1,2,0,0,1,4,1,1,1,0,1
student9_Prompt3_1.0,0,0,0,1,0,0,1,0,4,0,0,0,0,0
student9_Prompt11_1.0,1,1,0,2,1,0,0,0,6,0,2,2,0,2
student9_Prompt4_1.0,0,1,0,3,0,1,0,3,12,2,1,2,2,0
student9_Prompt10_1.0,0,1,1,1,0,0,0,0,4,0,0,6,1,0
student9_Integration3_1.0,0,2,1,4,1,0,2,3,16,0,1,3,0,1
student10_Capstone_1.0,5,0,2,3,0,0,0,0,7,0,2,5,0,3
student10_Prompt7_1.0,1,0,0,1,0,0,0,0,6,0,0,1,0,0
student10_Prompt2_1.0,2,0,1,4,0,0,1,2,12,0,0,5,1,0
student10_Prompt5_1.0,0,1,0,1,0,0,2,2,9,2,3,3,2,0
student10_Prompt9_1.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
student10_Integration3_1.0,0,2,1,6,1,0,2,1,11,2,0,9,0,2
student10_Prompt11_1.0,0,0,1,2,1,0,0,0,4,0,0,3,1,1
student10_Prompt8_1.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
student10_Prompt4_1.0,0,0,0,3,0,2,1,0,6,1,0,5,0,0
student10_Prompt6_1.0,1,0,0,1,0,0,0,0,3,0,0,1,0,0
student10_Prompt10_1.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
student11_Capstone_1.0,4,0,2,2,0,0,0,0,6,0,0,3,0,0
student11_Prompt7_1.0,2,0,0,2,0,0,0,0,6,0,0,3,0,0
student11_Prompt2_1.0,0,1,1,4,1,0,0,4,6,0,1,1,0,0
student11_Prompt5_1.0,1,1,0,1,0,0,0,2,8,0,0,2,1,0
student11_Prompt9_1.0,0,0,0,2,1,0,0,1,5,1,0,3,0,2
student11_Prompt3_1.0,0,0,0,1,0,0,1,0,4,0,0,0,0,0
student11_Prompt8_1.0,1,1,0,1,0,0,0,1,8,0,0,3,0,0
student11_Prompt4_1.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
student11_Prompt10_1.0,0,1,1,3,1,0,0,1,6,1,0,4,0,1
student11_Integration3_1.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
student12_Capstone_1.0,6,0,3,3,0,0,0,0,13,0,0,6,0,0
student12_Prompt8_1.0,2,0,0,4,2,0,0,0,14,1,0,9,0,3
student12_Prompt5_1.0,0,1,3,4,0,0,2,0,18,0,0,7,0,1
student12_Prompt3_1.0,0,0,0,3,0,2,1,0,8,1,0,5,0,0
student12_Prompt11_1.0,1,0,0,1,0,1,0,0,6,0,1,3,0,2
student12_Prompt2_1.0,4,1,0,9,1,0,0,2,27,0,1,14,0,1
student12_Prompt6_1.0,3,0,0,4,0,0,0,0,7,0,0,6,0,0
student12_Integration3_1.0,0,0,0,3,0,0,1,0,10,1,1,4,0,2
student12_Prompt10_1.0,2,0,2,6,1,0,0,0,16,0,0,11,2,1
student13_Capstone_1.0,4,0,1,1,0,0,0,0,6,0,0,2,0,0
student13_Prompt7_1.0,1,0,0,1,0,0,0,0,6,0,0,2,0,0
student13_Prompt2_1.0,1,1,1,3,0,0,2,2,6,0,1,6,0,0
