student_assignment_grade,struc0,struc1,struc2,struc3
student0_Prompt8_0.98,3.4349462366,1.7779569892,5.6327956989,0.05
student0_Prompt7_0.97,2.3513806172,2.0389821332,5.8305360043,0.0221981592
student0_Prompt3_0.97,0.5354288759,1.6995205115,4.3947789025,0.0154501865
student0_Prompt9_0.97,2.7039045553,1.9278741866,5.9902386117,0.2613882863
student0_Prompt5_0.98,2.3118971061,3.2325830654,6.0712754555,0.1591639871
student0_Prompt6_0.97,1.3356643357,1.3216783217,5.3663259817,0.0301237224
student0_Integration3_0.95,2.8072225173,2.5092936803,10.970260223,0.0764737122
student0_Prompt1_0.91,0.2903225806,0.2903225806,3.2903225806,0
student0_Prompt10_0.98,0.8716838116,0.9707634001,6.6112615051,0.1808337845
student0_Prompt11_0.96,0.8627232143,1.7511160714,5.828125,0.0245535714
student0_Prompt4_0.97,1.1870005328,2.9952051145,6.0607352158,0.05274374
student0_Prompt2_0.98,1.9492833517,1.6923925028,9.1350606395,0.0071664829
student0_ePortfolioLink_0.97,0.8986928105,0.9983660131,5.7434640523,0.0059912854
student0_Capstone_0.97,2.0627880184,1.7252304147,10.2926267281,0.0253456221
student1_Prompt8_1.0,5,3,4,0
student1_Prompt7_1.0,1,1,5,0
student1_Prompt3_1.0,0,4,5,0
student1_Prompt9_1.0,0,1,4,0
student1_Prompt5_1.0,1,0,6,0
student1_Prompt6_1.0,0,0,3,0
student1_Integration3_0.9,1,0,4,0
student1_Prompt10_1.0,1,1,10,0
student1_Prompt4_1.0,0,0,2,0
student1_Prompt2_1.0,1,0,6,0
student1_ePortfolioLink_1.0,0,0,2,0
student1_Capstone_0.9,1,1,7,0
student2_Prompt8_1.0,3,2,3,0
student2_Prompt7_1.0,0,0,1,0
student2_Prompt3_1.0,0,0,2,0
student2_Prompt9_1.0,0,0,1,0
student2_Prompt5_1.0,3,3,4,0
student2_Prompt6_1.0,0,0,1,0
student2_Integration3_0.9,1,0,4,0
student2_Prompt10_1.0,0,1,6,0
student2_Prompt11_1.0,1,2,2,0
student2_Prompt4_1.0,1,3,1,0
student2_Prompt2_1.0,2,3,7,0
student2_ePortfolioLink_1.0,0,2,3,0
student2_Capstone_1.0,1,0,5,0
student3_Prompt8_1.0,4,2,4,0
student3_Prompt7_1.0,3,2,4,0
student3_Prompt3_1.0,2,3,7,0
student3_Prompt9_1.0,2,3,10,0
student3_Prompt5_1.0,3,3,4,0
student3_Prompt6_1.0,1,2,3,0
student3_Integration3_1.0,1,0,5,0
student3_Prompt10_1.0,0,0,5,0
student3_Prompt4_1.0,2,3,5,0
student3_Prompt2_1.0,0,0,1,0
student3_ePortfolioLink_1.0,3,1,6,0
student3_Capstone_1.0,2,3,9,0
student4_Prompt8_1.0,3,1,5,0
student4_Prompt7_1.0,2,2,3,0
student4_Prompt3_1.0,0,2,2,0
student4_Prompt9_1.0,2,0,4,0
student4_Prompt5_1.0,2,2,7,0
student4_Prompt6_1.0,2,1,4,0
student4_Integration3_0.9,2,1,13,0
student4_Prompt10_1.0,0,0,5,0
student4_Prompt4_1.0,1,3,4,0
student4_Prompt2_1.0,2,2,12,0
student4_ePortfolioLink_1.0,0,0,3,0
student4_Capstone_1.0,1,1,12,0
student5_Prompt8_1.0,0,0,2,0
student5_Prompt7_1.0,3,4,3,0
student5_Prompt3_1.0,0,0,1,0
student5_Prompt9_1.0,6,4,5,0
student5_Prompt5_1.0,1,3,5,0
student5_Prompt6_1.0,0,0,2,0
student5_Integration3_1.0,7,6,12,0
student5_Prompt10_1.0,0,0,2,0
student5_Prompt4_1.0,0,2,6,0
student5_Prompt2_1.0,1,2,8,0
student5_ePortfolioLink_1.0,0,3,6,0
student5_Capstone_1.0,4,1,8,0
student6_Prompt8_1.0,2,1,5,0
student6_Prompt7_1.0,6,1,7,0
student6_Prompt3_1.0,1,2,4,0
student6_Prompt9_1.0,0,0,4,0
student6_Prompt5_1.0,5,3,6,0
student6_Prompt6_1.0,2,1,14,0
student6_Integration3_0.9,5,4,12,0
student6_Prompt10_1.0,0,0,5,0
student6_Prompt11_1.0,0,0,2,0
student6_Prompt4_1.0,3,3,3,0
student6_Prompt2_1.0,2,2,18,0
student6_ePortfolioLink_1.0,0,0,2,0
student6_Capstone_1.0,0,0,1,0
student7_Prompt8_1.0,0,0,3,0
student7_Prompt7_1.0,3,1,6,0
student7_Prompt3_1.0,0,2,2,0
student7_Prompt9_1.0,2,1,3,0
student7_Prompt5_1.0,1,5,4,0
student7_Prompt6_1.0,1,1,3,0
student7_Integration3_1.0,4,1,6,0
student7_Prompt10_1.0,1,0,7,0
student7_Prompt11_1.0,1,2,7,0
student7_Prompt4_1.0,1,2,4,0
