source,target,value
13|,18|,0.018121911
13|,37|,0.3294892916
13|,11|,0.2915980231
13|,36|,0.1054365733
13|,25|,0.0658978583
13|,12|,0.1894563427
30|,25|,0.0338983051
30|,36|,0.0715630885
30|,10|,0.0922787194
30|,37|,0.2316384181
30|,4|,0.4745762712
30|,12|,0.0960451977
19|,6|,0.1454248366
19|,25|,0.0277777778
19|,36|,0.0980392157
19|,20|,0.3431372549
19|,37|,0.2647058824
19|,12|,0.1209150327
8|,32|,0.012464046
8|,25|,0.0153403643
8|,9|,0.0153403643
8|,36|,0.1677852349
8|,23|,0.0115052733
8|,37|,0.6500479386
8|,12|,0.1275167785
24|,37|,0.2355371901
24|,3|,0.0640495868
24|,36|,0.1136363636
24|,27|,0.5020661157
24|,25|,0.0433884298
24|,12|,0.041322314
26|,37|,0.1513409962
26|,25|,0.030651341
26|,2|,0.0823754789
26|,36|,0.0517241379
26|,33|,0.6187739464
26|,12|,0.0651340996
29|,25|,0.0459183673
29|,15|,0.0238095238
29|,0|,0.018707483
29|,1|,0.4914965986
29|,36|,0.1088435374
29|,37|,0.2091836735
29|,12|,0.1020408163
9|,19|,0.0250671441
9|,37|,0.5505819158
9|,11|,0.0170098478
9|,0|,0.0143240824
9|,8|,0.0116383169
9|,20|,0.0152193375
9|,36|,0.1799462847
9|,18|,0.0152193375
9|,25|,0.017905103
9|,12|,0.1530886303
6|,19|,0.1316270567
6|,37|,0.3564899452
6|,36|,0.1243144424
6|,20|,0.1791590494
6|,25|,0.0639853748
6|,12|,0.1444241316
21|,25|,0.0941176471
21|,15|,0.0450980392
21|,36|,0.1098039216
21|,0|,0.1215686275
21|,37|,0.4647058824
21|,12|,0.1647058824
28|,37|,0.3106382979
28|,12|,0.1340425532
28|,22|,0.070212766
28|,34|,0.3914893617
28|,36|,0.0936170213
7|,18|,0.1348039216
7|,25|,0.2279411765
7|,36|,0.1519607843
7|,31|,0.0490196078
7|,37|,0.2843137255
7|,12|,0.1519607843
11|,18|,0.0921985816
11|,25|,0.1578014184
11|,13|,0.1365248227
11|,0|,0.024822695
11|,36|,0.1329787234
11|,37|,0.2978723404
11|,12|,0.1578014184
5|,37|,0.1611842105
5|,36|,0.0526315789
5|,16|,0.6052631579
5|,23|,0.1085526316
5|,12|,0.0723684211
20|,6|,0.4693877551
20|,37|,0.2119309262
20|,19|,0.0973312402
20|,36|,0.1020408163
20|,25|,0.0282574568
20|,12|,0.0910518053
16|,37|,0.583090379
16|,5|,0.0699708455
16|,36|,0.1020408163
16|,23|,0.0437317784
16|,25|,0.0903790087
16|,12|,0.110787172
34|,37|,0.321880651
34|,25|,0.1283905967
34|,28|,0.0632911392
34|,36|,0.1247739602
34|,22|,0.1772151899
34|,12|,0.1844484629
18|,32|,0.0174672489
18|,25|,0.0873362445
18|,13|,0.0160116448
18|,11|,0.0669577875
18|,0|,0.0436681223
18|,31|,0.0174672489
18|,7|,0.2489082969
18|,36|,0.1411935953
18|,37|,0.2547307132
18|,12|,0.1062590975
15|,19|,0.0265339967
15|,21|,0.2653399668
15|,36|,0.0895522388
15|,37|,0.1393034826
15|,0|,0.3548922056
15|,25|,0.0281923715
15|,12|,0.096185738
31|,18|,0.052892562
31|,37|,0.2066115702
31|,7|,0.0247933884
31|,36|,0.0776859504
31|,25|,0.0347107438
31|,29|,0.0231404959
31|,12|,0.5801652893
23|,37|,0.2044728435
23|,12|,0.0511182109
23|,16|,0.1118210863
23|,5|,0.5654952077
23|,36|,0.0670926518
0|,19|,0.0193637621
0|,25|,0.0262793914
0|,15|,0.0954356846
0|,21|,0.3195020747
0|,36|,0.1521438451
0|,20|,0.0248962656
0|,37|,0.2282157676
0|,12|,0.1341632089
10|,37|,0.1399253731
10|,36|,0.0317164179
10|,30|,0.6940298507
10|,25|,0.0298507463
10|,4|,0.0354477612
10|,12|,0.0690298507
25|,13|,0.019525383
25|,18|,0.0102132773
25|,8|,0.0084109342
25|,26|,0.0087113247
25|,36|,0.1129468309
25|,30|,0.0078101532
25|,29|,0.0264343647
25|,6|,0.0090117152
25|,21|,0.0033042956
25|,2|,0.0234304596
25|,7|,0.0057074196
25|,11|,0.0150195254
25|,5|,0.0030039051
25|,20|,0.018924602
