url,num,type
integration3_instructions,29,reading
building_a_bridge,0,reading
week0_weekly_prompt_questions,1,reading
the_discipline_of_prayer,34,reading
what_is_liberal_education,2,reading
activate_irish_compass_account,3,reading
heart_zeal_family,4,video
prayer,6,video
black_domers,7,reading
embracing_vulnerability,8,video
how_to_be_better_at_stress,9,reading
intro_to_the_career_development_process,10,reading
beloved_friends_and_allies,11,reading
one_life_changing_class,12,video
eportfolio_access_and_link_check,14,reading
family_and_hope,15,video
father_greg_boyle,16,video
cultural_competence,17,video
Coursework,18,coursework
capstone_instructions,19,reading
the_call,20,video
grit_the_power_of_passion.,13,video
by_the_numbers,22,reading
zeal_the_tom_dooley_story,23,video
week0_weekly_prompt_questions,24,reading
father_ted_fisher_of_men,25,reading
seven_themes,26,reading
three_key_questions,21,reading
building_a_financial_future,28,reading
learn_personal_finance,27,video
keyes_flourishing_scale,30,reading
career_development_guide,5,reading
i_am_not_your_asian_stereotype,32,video
st_andre_bessette,33,video
the_girl_next_door,31,reading
15-30mins, 36, idle_time
30-45mins, 37, idle_time
45-60mins, 38, idle_time
1-2hrs, 39, idle_time
2hrs+, 40, idle_time
