student_assignment_grade,struc0,struc1,struc10,struc11,struc12,struc13,struc2,struc3,struc4,struc5,struc6,struc7,struc8,struc9
student1_Prompt9_1.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
student1_Prompt3_1.0,3,1,1,0,0,0,0,0,0,1,0,0,0,0
student1_Capstone_1.0,13,7,14,0,0,0,2,0,0,1,3,1,1,0
student1_Prompt6_1.0,4,1,1,0,0,0,0,0,0,1,0,0,0,0
student1_Prompt8_1.0,5,1,3,2,4,0,2,0,0,1,6,2,0,0
student1_Integration3_1.0,15,11,23,5,0,2,2,0,3,4,7,1,2,3
student1_Prompt2_1.0,1,0,1,0,0,1,1,1,0,1,0,0,0,0
student2_Prompt3_0.8,3,2,3,0,0,1,0,0,2,1,0,0,1,0
student2_Prompt7_1.0,6,3,9,2,1,0,1,1,0,1,2,0,0,0
student2_Prompt10_1.0,4,5,5,0,0,0,0,0,0,2,2,0,0,0
student2_Prompt5_1.0,2,5,1,0,0,0,0,1,0,1,1,0,0,1
student2_Prompt6_1.0,2,0,1,0,0,0,1,1,0,1,0,0,0,0
student2_Prompt8_1.0,8,2,7,2,1,1,1,1,1,2,2,1,1,0
student2_Capstone_0.9,2,4,4,1,0,0,1,0,0,0,0,0,0,0
student2_Prompt11_1.0,8,6,6,2,0,0,3,0,0,3,1,0,3,0
student2_Prompt2_0.0,2,1,4,1,0,0,0,0,0,1,1,0,0,0
student3_Prompt9_1.0,5,3,6,0,1,2,0,0,0,2,5,1,1,1
student3_Prompt3_1.0,8,2,7,1,0,1,0,0,0,1,0,1,1,1
student3_Capstone_1.0,14,10,20,2,1,1,2,1,0,1,4,4,2,1
student3_Prompt5_1.0,4,5,2,0,0,0,1,1,0,2,3,1,0,2
student3_Prompt6_1.0,5,5,7,0,0,1,1,0,0,1,1,1,1,1
student3_Prompt8_1.0,6,3,7,1,0,0,0,1,0,1,1,2,0,0
student3_Integration3_1.0,27,10,24,8,2,0,5,10,2,5,10,4,1,2
student3_Prompt2_1.0,6,0,1,2,0,2,0,1,0,1,1,0,1,2
student4_Prompt9_1.0,3,4,2,0,0,0,0,1,0,1,0,0,0,0
student4_Prompt3_1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
student4_Prompt4_1.0,4,3,3,0,0,1,0,1,2,1,0,0,1,1
