student_assignment_grade,struc0,struc1,struc2,struc3
student1_Prompt9_1.0,0,0,0,3
student1_Prompt3_1.0,0,0,0,6
student1_Capstone_1.0,7,5,4,26
student1_Prompt6_1.0,0,0,0,7
student1_Prompt8_1.0,6,3,4,13
student1_Integration3_1.0,9,8,16,45
student1_Prompt2_1.0,1,0,1,4
student2_Prompt3_0.8,2,1,0,10
student2_Prompt7_1.0,4,2,6,14
student2_Prompt10_1.0,4,1,1,12
student2_Prompt5_1.0,2,1,0,9
student2_Prompt6_1.0,1,1,1,3
student2_Prompt8_1.0,5,2,3,20
student2_Capstone_0.9,3,2,2,5
student2_Prompt11_1.0,5,4,6,17
student2_Prompt2_0.0,1,0,2,7
student3_Prompt9_1.0,1,1,8,17
student3_Prompt3_1.0,2,1,3,17
student3_Capstone_1.0,5,7,11,40
student3_Prompt5_1.0,2,1,1,17
student3_Prompt6_1.0,3,1,1,19
student3_Prompt8_1.0,2,2,4,14
student3_Integration3_1.0,7,15,24,64
student3_Prompt2_1.0,1,1,3,12
student4_Prompt9_1.0,1,1,2,7
student4_Prompt3_1.0,0,0,0,2
student4_Prompt4_1.0,3,2,1,11
student4_Prompt5_1.0,3,4,1,12
student4_Prompt8_1.0,0,0,0,3
student4_Capstone_1.0,0,0,0,3
student4_Prompt7_1.0,11,11,10,34
student5_Prompt9_1.0,1,0,0,9
student5_Prompt3_1.0,5,3,1,17
student5_Prompt4_1.0,2,3,3,20
student5_Prompt10_1.0,0,0,0,8
student5_Prompt5_1.0,3,2,2,18
student5_Prompt6_1.0,0,0,0,9
student5_Prompt8_1.0,0,0,1,5
student5_Capstone_1.0,5,3,12,26
student5_Prompt7_1.0,3,0,2,8
student5_Prompt2_1.0,0,0,7,13
student6_Prompt9_1.0,4,2,3,12
student6_Prompt6_1.0,1,0,1,6
student6_Prompt7_1.0,4,3,4,21
student6_Prompt10_1.0,2,1,3,14
student6_Prompt5_1.0,2,3,2,17
student6_Prompt3_1.0,1,1,2,14
student6_Integration3_1.0,0,6,7,28
student6_Prompt2_1.0,1,1,7,14
student7_Prompt9_0.9,1,1,6,18
student7_Prompt3_1.0,0,0,0,3
student7_Prompt5_1.0,5,3,2,19
student7_Prompt6_0.8,2,0,0,8
student7_Prompt8_0.9,3,0,2,8
student7_Integration3_1.0,0,1,0,16
student7_Prompt2_1.0,2,0,4,13
student8_Prompt3_1.0,0,0,0,2
student8_Prompt7_1.0,0,0,1,5
student8_Prompt10_1.0,1,2,0,7
student8_Prompt5_1.0,0,0,0,4
student8_Prompt6_1.0,2,2,5,25
student8_Prompt8_1.0,4,1,1,8
student8_Integration3_1.0,3,0,4,16
student9_Prompt9_1.0,0,0,1,14
student9_Prompt4_1.0,0,2,0,14
student9_Prompt5_1.0,3,1,1,13
student9_Prompt8_1.0,1,1,1,10
student9_Capstone_1.0,1,1,7,15
student9_Prompt11_0.0,1,2,3,8
student9_Prompt7_1.0,2,1,6,21
student10_Prompt9_1.0,2,2,0,15
student10_Prompt3_1.0,1,1,2,10
student10_Prompt10_1.0,3,2,1,15
student10_Prompt5_1.0,2,0,1,10
student10_Prompt6_1.0,3,2,1,11
student10_Prompt8_1.0,2,2,3,16
student10_Integration3_1.0,2,4,1,32
student10_Prompt2_1.0,4,4,9,27
student11_Prompt3_1.0,0,0,0,2
student11_Prompt7_1.0,3,1,1,17
student11_Prompt10_1.0,2,3,1,12
student11_Prompt5_1.0,3,1,2,14
student11_Capstone_1.0,6,4,16,35
student11_Prompt6_1.0,2,0,3,13
student11_Prompt8_1.0,1,1,1,11
student11_Integration3_1.0,4,4,2,12
student12_Prompt9_1.0,1,1,3,13
student12_Prompt3_1.0,1,0,1,8
student12_Capstone_1.0,3,3,6,21
student12_Prompt6_1.0,2,4,2,34
student12_Prompt8_1.0,2,2,8,17
student12_Integration3_1.0,0,0,0,5
student12_Prompt2_1.0,3,2,4,14
student13_Prompt3_1.0,0,0,0,2
student13_Prompt4_1.0,7,5,3,16
student13_Prompt10_1.0,0,0,0,2
student13_Prompt5_1.0,3,2,0,10
student13_Capstone_1.0,7,3,6,10
