sequence,struc2vec128D,community
1001|42.43,1,10
1002|42.43,1,10
11|1002,2,9
124|1001,2,1
51|1001,2,11
11|1001,2,9
101|1002,2,0
12|1002,2,9
124|1002,2,1
12|1001,2,9
51|1002,2,11
1001|1000.54,1,11
1002|1000.54,1,11
81|1000.82,1,8
1001|54,1,11
1000|1003.1000.0.101,0,4
101|1001,2,0
83|1001,2,12
1000|1002.1000.124,2,1
1002|54,1,11
1003|1000.42.1000,1,8
1001|93,1,3
1000|1002.1000.121,2,1
1002|1000.101,1,7
1002|41,1,10
1000|1003.1000.0.93,0,4
1001|1000.101,1,0
1000|1003.1000.0.124,2,1
1000|1003.1000.0.111,2,7
1003|1000.32.1000.33,0,5
93|1001,2,3
1000|1003.1000.122,2,1
1003|1000.124,1,1
21|1001,2,11
1002|101,1,0
72|1002,2,2
54|1001,2,11
1002|51,2,11
71|1002,2,2
112|0,2,6
1003|1000.0.1001,0,14
72|1001,2,2
111|1001,2,7
1003|1000.0.1000.1003.1000.32,0,8
54|1002,2,11
111|1002,2,7
1000|1003.1000.123,2,1
52|1000.1003.1000.41,1,11
113|112.1000.1003.1000.0,0,4
1001|51,2,11
22|1001,2,5
103|0,2,6
83|81.1001,1,12
1001|101,1,0
71|72,1,2
1002|93,1,7
42|1000.1001,2,8
11|1000.1002,2,9
1001|0,2,6
1002|1000.82,1,8
1003|1000.71,1,2
0|41,1,10
71|1001,2,2
102|103.1000.1003.1000.0,0,4
1003|1000.0.1002,0,14
1002|0,2,6
1002|113,1,7
1001|113,1,7
1003|1000.54,1,2
1001|72,1,2
32|1002,2,13
83|81.1000.82,1,8
1000|1003.1000.81,1,3
51|0,2,6
1002|72,1,2
1000|1002.1000.0.1000,1,2
1003|1000.0.32,0,13
1000|1003.1000.0.82,1,3
1002|1000.32,1,13
82|1000.1002,2,8
12|1000.1002,2,9
122|1001,2,1
12|1000.1001,2,9
71|1000.1001,2,8
1003|0,2,6
83|1000,2,12
1003|1000.0.111,1,7
11|0,2,6
52|1001,2,11
1000|1003.1000.0.1002,1,14
1000|1003.1000.0.1001,1,14
1000|1002.1000.54,2,11
123|0,2,6
51|1000.1003.1000.41,1,11
52|1002,2,11
52|0,2,6
1000|1003.1000.0.1000.1002,1,2
1003|1000.0.124,1,1
32|1001,2,13
0|1000.1003.1000.82,2,6
103|1000.1002,2,8
1000|1001.1000.54,2,11
0|1000.1003.1000.83,2,3
12|0,2,6
1003|123,2,1
42|1000.1002,2,8
1000|1002.1000.72,1,2
1002|123,2,1
1000|1002.1000.52,2,11
91|0,2,6
72|0,2,6
93|1002,2,7
1002|1000.52,1,11
82|1000.1001,2,8
54|51.52,1,11
123|1000.0,2,1
0|1000.1003.1000.93,2,6
42|1000.43,1,8
54|0,2,6
1000|0.21,2,14
103|1000.0,2,9
92|0,2,6
1003|1000.82,1,6
83|81.1000.72,1,12
1000|1003.1000.0.21,1,14
1002|1000.124,1,1
1003|1000.101,1,0
83|81.1000.1003.1000.72,1,2
43|1000.0,2,9
83|81.82,1,12
72|1000,2,2
1000|0.22,2,14
92|1002,2,3
82|83.81.1000.1003.1000.0,1,14
42|1002.42.43,1,10
42|1001.42.43,1,10
32|1000.32,1,13
92|1001,2,3
1000|0.1000.1002,1,2
91|1002,2,3
1001|92,1,3
113|112.111,1,7
1003|1000.72,1,2
1001|1000.32,1,13
1000|1003.1000.124,2,1
11|1000.0,2,9
0|1000.82,2,9
1003|1000.83,1,3
81|0,2,6
1001|122,1,1
1000|1003.1000.0.72,1,14
72|1000.1002,2,8
1002|81,1,12
1000|33.1000.1003.1000.11,2,5
0|1000.22,2,9
1000|1001.1000.101,2,0
0|54,2,9
91|1001,2,3
1000|11,2,9
1000|0.12,2,9
1003|1000.41,1,11
32|1003,2,13
54|1000,2,11
71|0,2,6
0|12,2,9
