2 36 => 10 23
2 36 => 24 11
2 36 => 18 76
31 37 18 37 => 18 54
22 37 18 37 18 => 36 10
22 37 18 37 18 => 13 12
22 37 18 37 18 => 37 107
18 21 33 => 37 11
2 10 => 36 25
2 10 => 24 51
2 10 => 18 22
2 10 => 37 48
24 37 18 24 => 36 19
24 37 18 24 => 37 20
18 36 18 23 => 36 17
18 36 18 23 => 26 11
34 37 18 37 => 18 183
23 37 18 37 => 18 89
16 18 => 36 10
16 18 => 37 26
7 36 => 18 40
24 26 16 => 36 10
24 26 16 => 23 16
24 26 16 => 37 11
8 36 => 30 11
8 36 => 18 55
18 8 => 30 10
18 8 => 13 12
18 8 => 37 10
18 36 18 5 => 37 12
16 36 => 18 63
16 36 => 23 26
36 2 => 10 10
36 2 => 36 24
36 2 => 37 38
36 18 30 => 36 10
36 18 30 => 37 12
33 24 => 37 28
0 37 18 => 11 10
0 37 18 => 37 37
18 22 => 36 27
18 22 => 18 11
18 22 => 9 63
18 22 => 37 35
27 28 37 18 37 => 18 114
20 24 => 36 10
20 24 => 37 25
33 37 18 37 => 18 158
37 18 37 18 3 => 5 12
37 18 37 18 3 => 37 12
36 11 => 36 10
36 11 => 37 21
36 11 => 20 15
36 30 => 37 14
5 37 => 18 175
18 6 36 => 34 52
18 6 36 => 18 28
36 26 16 => 37 17
23 37 18 => 36 20
23 37 18 => 29 27
23 37 18 => 37 89
23 36 18 => 16 10
23 36 18 => 37 40
18 37 => 18 19204
9 37 => 18 135
18 37 18 23 => 36 23
18 37 18 23 => 16 19
18 37 18 23 => 26 67
18 4 => 24 15
18 4 => 33 50
18 4 => 37 35
18 4 => 21 145
18 4 => 36 51
18 4 => 18 26
6 24 => 34 10
18 => 31 131
18 => 33 69
18 => 10 222
18 => 6 331
18 => 21 256
18 => 36 3771
18 => 34 180
18 => 17 310
18 => 23 319
18 => 3 177
18 => 28 85
18 => 30 224
18 => 29 1046
18 => 32 40
18 => 14 521
18 => 9 416
18 => 12 323
18 => 25 54
18 => 37 19292
18 => 4 338
18 => 0 342
18 => 27 75
18 => 22 150
18 => 16 89
18 => 15 166
18 => 13 244
18 => 24 2141
18 => 11 81
18 => 19 976
18 => 7 72
18 => 2 392
18 => 8 57
18 => 20 68
18 => 26 172
18 => 5 414
36 6 => 36 19
36 6 => 34 19
36 6 => 37 14
6 18 => 34 22
36 18 16 => 26 10
9 36 18 => 37 27
10 24 => 36 27
10 24 => 18 14
10 24 => 37 37
16 37 => 18 186
37 => 4 11
37 => 7 16
37 => 25 15
37 => 19 11
37 => 24 12
37 => 18 25819
37 => 17 14
37 => 9 10
37 18 37 => 18 15294
19 37 18 36 => 18 74
3 37 18 => 14 12
3 37 18 => 36 11
3 37 18 => 5 12
3 37 18 => 37 62
19 => 15 12
19 => 24 16
19 => 37 678
19 => 29 16
19 => 36 225
19 => 18 101
2 18 24 => 37 12
6 => 4 13
6 => 24 21
6 => 37 123
6 => 36 159
6 => 34 221
6 => 18 46
37 18 13 => 30 11
37 18 13 => 8 136
37 18 13 => 18 11
18 31 => 36 24
18 31 => 32 25
18 31 => 37 43
18 31 => 17 20
37 18 12 27 => 28 139
37 18 12 27 => 36 10
22 37 => 18 200
33 => 4 22
33 => 24 46
33 => 37 237
33 => 21 57
33 => 36 84
33 => 18 67
36 18 37 => 18 2733
4 36 21 36 => 33 10
32 37 18 37 => 18 113
24 7 => 37 10
24 16 => 26 21
18 24 34 => 6 14
27 37 => 18 76
11 37 => 18 119
24 9 22 => 36 10
24 9 22 => 37 31
4 37 => 18 77
19 37 18 36 18 => 36 14
19 37 18 36 18 => 19 13
19 37 18 36 18 => 37 32
7 37 18 => 36 12
7 37 18 => 19 42
7 37 18 => 37 120
37 18 12 => 36 36
37 18 12 => 24 13
37 18 12 => 18 12
37 18 12 => 37 14
37 18 12 => 27 161
36 9 22 => 37 10
13 37 18 => 37 18
31 37 18 => 17 13
31 37 18 => 37 54
24 23 36 => 26 10
27 28 37 18 => 36 11
27 28 37 18 => 17 13
27 28 37 18 => 37 115
13 => 30 24
13 => 24 12
13 => 37 40
13 => 36 32
13 => 8 355
13 => 18 26
28 24 => 36 10
28 24 => 37 37
37 18 37 18 37 => 18 9291
37 18 37 18 => 7 26
37 18 37 18 => 10 45
37 18 37 18 => 21 78
37 18 37 18 => 36 1416
37 18 37 18 => 34 49
37 18 37 18 => 17 129
37 18 37 18 => 23 113
37 18 37 18 => 0 150
37 18 37 18 => 28 29
37 18 37 18 => 4 163
37 18 37 18 => 24 977
37 18 37 18 => 5 114
37 18 37 18 => 27 21
37 18 37 18 => 14 229
37 18 37 18 => 3 54
37 18 37 18 => 9 175
37 18 37 18 => 12 158
37 18 37 18 => 25 16
37 18 37 18 => 37 9328
37 18 37 18 => 30 105
37 18 37 18 => 29 469
37 18 37 18 => 31 48
37 18 37 18 => 22 46
37 18 37 18 => 16 21
37 18 37 18 => 11 27
37 18 37 18 => 15 63
37 18 37 18 => 13 115
37 18 37 18 => 6 104
37 18 37 18 => 19 441
37 18 37 18 => 2 99
37 18 37 18 => 26 55
37 18 37 18 => 20 20
18 37 18 36 18 => 12 24
18 37 18 36 18 => 37 826
18 37 18 36 18 => 21 18
18 37 18 36 18 => 36 238
18 37 18 36 18 => 4 14
18 37 18 36 18 => 22 14
18 37 18 36 18 => 17 22
18 37 18 36 18 => 23 22
18 37 18 36 18 => 0 14
18 37 18 36 18 => 10 18
18 37 18 36 18 => 13 10
18 37 18 36 18 => 29 71
18 37 18 36 18 => 6 28
18 37 18 36 18 => 19 71
18 37 18 36 18 => 14 28
18 37 18 36 18 => 24 98
18 37 18 36 18 => 2 31
18 37 18 36 18 => 5 15
18 37 18 36 18 => 9 37
18 37 18 36 18 => 26 10
18 26 => 36 32
18 26 => 23 17
18 26 => 18 18
18 26 => 16 46
18 26 => 37 43
33 18 => 37 40
32 18 37 => 18 18
12 37 18 => 37 27
23 16 => 36 16
23 16 => 26 35
23 16 => 37 13
18 6 36 18 => 34 12
24 2 => 36 16
24 2 => 37 23
6 36 => 34 78
6 36 => 18 59
37 18 2 36 => 10 12
18 16 26 => 37 12
29 37 => 18 605
24 0 => 11 46
18 16 => 36 10
18 16 => 23 13
18 16 => 37 23
18 16 => 26 25
31 => 24 17
31 => 32 205
31 => 37 114
31 => 36 114
31 => 18 13
31 => 17 27
24 36 2 => 37 13
5 3 => 36 48
5 3 => 24 36
5 3 => 18 23
5 3 => 37 39
5 => 14 12
5 => 24 58
5 => 37 175
5 => 21 26
5 => 10 43
5 => 36 151
5 => 18 54
5 => 3 157
5 => 9 10
18 30 24 => 37 13
18 12 => 28 14
18 12 => 24 14
18 12 => 37 20
18 12 => 36 45
18 12 => 27 211
18 12 => 18 14
28 36 18 => 37 38
18 37 18 24 => 10 17
18 37 18 24 => 21 35
18 37 18 24 => 36 156
18 37 18 24 => 34 19
18 37 18 24 => 17 47
18 37 18 24 => 23 28
18 37 18 24 => 16 16
18 37 18 24 => 28 13
18 37 18 24 => 4 34
18 37 18 24 => 5 12
18 37 18 24 => 14 12
18 37 18 24 => 9 46
18 37 18 24 => 12 50
18 37 18 24 => 37 287
18 37 18 24 => 30 62
18 37 18 24 => 22 25
18 37 18 24 => 0 31
18 37 18 24 => 15 20
18 37 18 24 => 13 23
18 37 18 24 => 26 29
18 37 18 24 => 19 12
18 37 18 24 => 2 34
18 37 18 24 => 18 135
18 37 18 24 => 6 39
24 12 27 => 28 37
18 24 => 31 11
18 24 => 10 37
18 24 => 21 48
18 24 => 36 300
18 24 => 34 29
18 24 => 17 68
18 24 => 23 35
18 24 => 16 21
18 24 => 28 20
18 24 => 4 53
18 24 => 29 11
18 24 => 5 21
18 24 => 11 13
18 24 => 14 20
18 24 => 9 63
18 24 => 12 71
18 24 => 37 591
18 24 => 30 80
18 24 => 0 52
18 24 => 27 16
18 24 => 22 33
18 24 => 3 12
18 24 => 15 33
18 24 => 13 33
18 24 => 6 70
18 24 => 19 21
18 24 => 7 12
18 24 => 2 49
18 24 => 18 240
18 24 => 26 47
32 37 18 37 18 => 0 19
32 37 18 37 18 => 37 69
24 30 => 36 22
24 30 => 13 29
24 30 => 18 10
24 30 => 8 10
24 30 => 37 22
16 37 18 37 => 18 123
34 6 36 => 18 12
0 18 => 37 10
29 37 18 36 => 18 79
30 36 13 => 8 28
24 37 18 => 29 14
24 37 18 => 37 578
24 37 18 => 17 22
24 37 18 => 21 12
24 37 18 => 36 99
24 37 18 => 19 22
24 37 18 => 0 17
24 37 18 => 23 14
24 37 18 => 2 19
24 37 18 => 4 19
24 37 18 => 12 16
24 37 18 => 24 102
24 37 18 => 6 24
24 37 18 => 30 11
24 37 18 => 14 39
24 37 18 => 10 12
24 37 18 => 13 11
24 37 18 => 5 17
24 13 8 => 30 24
14 => 24 20
14 => 5 32
14 => 37 125
14 => 36 77
14 => 18 323
14 => 3 15
14 => 6 14
36 18 14 18 => 37 18
18 37 18 28 => 37 11
24 6 => 36 21
24 6 => 34 37
24 6 => 37 19
36 16 => 36 13
36 16 => 37 20
14 18 5 => 36 10
14 18 5 => 3 35
14 18 5 => 37 12
30 36 => 13 37
30 36 => 18 63
36 18 13 => 8 24
23 37 18 37 18 => 29 17
23 37 18 37 18 => 37 56
27 36 => 28 34
27 36 => 18 23
9 => 36 119
9 => 18 50
9 => 24 20
9 => 22 343
9 => 37 137
13 30 => 8 11
28 18 => 37 40
36 18 9 22 => 37 16
12 36 => 27 57
12 36 => 18 15
36 9 => 36 17
36 9 => 22 23
36 9 => 37 15
25 37 18 => 37 23
25 37 18 => 19 10
36 0 11 => 20 16
32 37 => 18 202
18 36 26 => 36 10
36 18 12 => 27 35
24 37 18 37 18 => 4 10
24 37 18 37 18 => 12 11
24 37 18 37 18 => 19 20
24 37 18 37 18 => 37 298
24 37 18 37 18 => 29 16
24 37 18 37 18 => 14 15
24 37 18 37 18 => 36 40
24 37 18 37 18 => 24 65
24 37 18 37 18 => 0 10
24 37 18 37 18 => 6 11
24 13 8 30 => 37 14
30 18 13 => 8 14
36 7 => 37 28
2 37 18 37 18 37 18 => 14 13
2 37 18 37 18 37 18 => 37 34
7 36 18 => 37 25
36 18 13 8 => 37 11
30 8 => 37 16
3 36 => 24 19
3 36 => 18 65
22 24 37 18 => 37 37
18 2 10 18 => 24 10
26 16 => 36 61
26 16 => 24 27
26 16 => 18 38
26 16 => 23 37
26 16 => 37 125
23 36 => 18 68
23 36 => 16 19
23 36 => 26 40
23 18 => 37 18
18 33 => 36 11
18 33 => 37 31
24 37 18 17 => 31 12
24 37 18 6 => 34 11
14 18 5 3 => 24 12
17 36 31 => 36 14
4 => 24 17
4 => 33 129
4 => 37 84
4 => 21 194
4 => 36 120
4 => 18 47
4 => 23 16
25 15 => 37 16
33 37 18 37 18 => 24 22
33 37 18 37 18 => 23 14
33 37 18 37 18 => 37 102
24 => 27 25
24 => 10 47
24 => 21 58
24 => 36 564
24 => 34 43
24 => 17 73
24 => 23 43
24 => 3 17
24 => 28 26
24 => 4 56
24 => 29 11
24 => 5 30
24 => 14 26
24 => 13 40
24 => 9 71
24 => 12 76
24 => 25 10
24 => 37 1146
24 => 30 95
24 => 0 58
24 => 31 20
24 => 22 41
24 => 16 30
24 => 11 22
24 => 15 39
24 => 6 83
24 => 19 26
24 => 7 14
24 => 2 53
24 => 8 16
24 => 20 14
24 => 18 389
24 => 26 61
15 25 36 => 7 12
32 37 18 37 18 37 18 => 0 16
32 37 18 37 18 37 18 => 37 39
24 5 => 37 16
30 13 => 8 68
24 13 => 8 36
27 28 37 => 18 167
37 18 37 18 37 18 5 => 3 20
2 37 18 37 => 18 117
8 30 18 => 37 18
24 4 => 36 13
24 4 => 21 24
36 => 27 80
36 => 33 108
36 => 6 62
36 => 21 111
36 => 34 120
36 => 17 53
36 => 23 97
36 => 3 55
36 => 28 52
36 => 4 112
36 => 12 39
36 => 32 79
36 => 14 21
36 => 2 92
36 => 11 56
36 => 29 48
36 => 25 30
36 => 30 28
36 => 0 69
36 => 31 58
36 => 22 68
36 => 16 50
36 => 15 39
36 => 13 80
36 => 24 172
36 => 9 72
36 => 19 46
36 => 7 43
36 => 10 85
36 => 8 30
36 => 20 47
36 => 18 5478
36 => 26 97
36 => 5 89
3 37 => 18 116
34 => 24 45
34 => 6 67
34 => 37 291
34 => 21 12
34 => 36 120
34 => 18 44
30 37 18 37 18 37 18 => 12 12
30 37 18 37 18 37 18 => 37 40
29 37 18 36 18 => 36 16
29 37 18 36 18 => 29 14
29 37 18 36 18 => 37 34
36 18 14 => 18 41
36 18 14 => 37 23
37 18 37 18 37 18 2 => 10 22
16 37 18 => 36 10
16 37 18 => 29 36
16 37 18 => 37 124
18 10 => 24 30
18 10 => 5 22
18 10 => 37 52
18 10 => 2 40
18 10 => 36 33
18 10 => 18 30
20 18 => 37 25
37 7 => 37 14
32 37 18 => 36 21
32 37 18 => 24 17
32 37 18 => 0 33
32 37 18 => 37 113
2 37 18 37 18 => 14 10
2 37 18 37 18 => 36 10
2 37 18 37 18 => 5 10
2 37 18 37 18 => 37 66
32 37 18 37 18 37 => 18 69
5 18 => 37 19
2 18 => 10 12
2 18 => 36 14
2 18 => 24 19
2 18 => 37 28
27 12 => 28 10
27 12 => 37 16
18 7 => 36 12
18 7 => 25 15
18 7 => 37 27
21 36 4 => 36 15
21 36 4 => 33 20
20 0 => 11 15
19 36 18 => 36 34
19 36 18 => 19 10
19 36 18 => 37 77
30 18 13 8 => 37 11
16 24 => 37 16
37 18 20 => 0 10
8 30 36 => 18 22
32 24 => 37 28
3 36 18 => 37 37
30 37 18 => 36 14
30 37 18 => 13 14
30 37 18 => 12 13
30 37 18 => 24 14
30 37 18 => 37 104
34 37 => 18 285
33 37 => 18 235
34 37 18 => 4 14
34 37 18 => 24 22
34 37 18 => 6 18
34 37 18 => 37 184
34 37 18 => 14 10
34 37 18 => 36 20
10 37 => 18 165
12 => 28 31
12 => 24 17
12 => 37 53
12 => 36 82
12 => 27 313
12 => 18 27
36 18 => 27 18
36 18 => 33 26
36 18 => 10 71
36 18 => 21 56
36 18 => 36 852
36 18 => 34 51
36 18 => 17 51
36 18 => 23 78
36 18 => 3 27
36 18 => 28 14
36 18 => 30 35
36 18 => 12 51
36 18 => 5 77
36 18 => 11 17
36 18 => 14 87
36 18 => 9 83
36 18 => 29 185
36 18 => 25 10
36 18 => 37 2747
36 18 => 4 54
36 18 => 0 44
36 18 => 31 20
36 18 => 22 41
36 18 => 16 26
36 18 => 15 28
36 18 => 13 36
36 18 => 24 243
36 18 => 6 70
36 18 => 19 161
36 18 => 7 13
36 18 => 2 85
36 18 => 8 20
36 18 => 26 43
36 18 => 20 18
24 37 18 37 18 24 => 37 16
18 17 => 24 15
18 17 => 32 47
18 17 => 37 28
18 17 => 36 35
18 17 => 31 158
18 17 => 18 20
13 37 => 18 38
16 36 18 37 => 18 41
26 37 => 18 131
10 5 => 36 18
5 10 => 37 15
21 36 => 18 87
21 36 => 33 50
21 36 => 4 39
9 22 => 36 68
9 22 => 24 81
9 22 => 18 44
9 22 => 37 136
21 36 18 => 36 21
21 36 18 => 33 14
21 36 18 => 37 33
18 37 18 36 => 4 15
18 37 18 36 => 13 12
18 37 18 36 => 29 11
18 37 18 36 => 9 10
18 37 18 36 => 19 11
18 37 18 36 => 21 15
18 37 18 36 => 2 10
18 37 18 36 => 24 20
18 37 18 36 => 18 1699
18 37 18 36 => 23 13
18 37 18 36 => 5 10
11 => 24 17
11 => 37 123
11 => 36 78
11 => 18 38
11 => 0 45
11 => 20 236
17 18 => 31 11
30 => 13 80
30 => 24 69
30 => 37 178
30 => 36 113
30 => 8 32
30 => 18 83
37 18 37 18 22 => 9 25
18 3 => 36 31
18 3 => 24 30
18 3 => 18 12
18 3 => 5 36
18 3 => 37 51
26 36 18 => 37 29
0 => 24 16
0 => 37 75
0 => 36 57
0 => 18 27
0 => 11 348
0 => 20 19
23 36 26 => 16 30
28 12 => 27 17
18 23 => 24 10
18 23 => 26 124
18 23 => 37 38
18 23 => 36 68
18 23 => 18 16
18 23 => 16 47
10 36 => 2 14
10 36 => 18 66
36 18 21 => 36 18
36 18 21 => 37 18
36 23 36 => 18 13
14 18 6 => 34 22
18 23 16 => 26 29
4 18 => 21 16
4 21 => 36 19
4 21 => 33 147
24 17 31 => 36 13
24 17 31 => 32 23
8 18 => 37 21
9 18 => 22 11
9 18 => 37 23
36 27 => 28 35
36 27 => 36 19
36 27 => 37 13
18 37 18 => 7 32
18 37 18 => 33 11
18 37 18 => 6 125
18 37 18 => 21 105
18 37 18 => 36 1917
18 37 18 => 34 61
18 37 18 => 17 156
18 37 18 => 23 139
18 37 18 => 3 69
18 37 18 => 28 37
