source,target,value
36|2,10|36.2,11
36|2,24|36,11
36|2,18|36.2,13
37|18.37.31,18|37.18.37.31,10
37|18.37.34,18|37.18.37.34,14
33|21.18,37|33,11
24|18.37.24,36|24,19
24|18.37.24,37|24,20
23|18.36.18,36|23,17
23|18.36.18,26|23,11
23|18.37.18,16|23.18,19
23|18.37.18,26|23,67
23|18.37.18,36|23,23
37|18.37.23,18|37.18.37.23,17
37|18.37.18.37.16,18|37.18.37.18.37.16,19
18|16,36|18,10
18|16,37|18,26
36|7,18|36.7,25
16|26.24,37|16,11
16|26.24,23|16,16
16|26.24,36|16.26.24,10
36|8,18|36.8,33
36|8,30|36,11
18|37.18.37.30,37|18.37.18.37.30,77
8|18,30|8,10
8|18,37|8,10
8|18,13|8,12
36|16,18|36.16,42
36|16,23|36.16,20
2|36,36|2,24
2|36,10|2,10
2|36,37|2,38
30|18.36,37|30,12
30|18.36,36|30,10
18|37.0,37|18.37,37
18|37.0,11|,10
36|21.36.4,33|36.21,10
37|18.37.28.27,18|37.18.37.28.27,13
24|20,36|24,10
24|20,37|24,25
37|18.37.33,18|37.18.37.33,22
3|18.37.18.37,37|3,12
3|18.37.18.37,5|3.18,12
11|36,20|,15
11|36,36|11,10
11|36,37|11,21
30|36,37|30,14
37|5,18|37.5,11
36|6.18,34|36,52
36|6.18,18|36.6.18,12
16|26.36,37|16,17
18|37.23,36|18,20
18|37.23,29|,27
18|37.23,37|18.37.23,89
18|36.23,37|18.36,40
18|36.23,16|18.36,10
37|18,18|37.18,32
37|9,18|37.9,16
33|36.21,37|33,31
4|18,37|4,35
4|18,18|4,26
4|18,33|4.18,14
4|18,21|4,145
4|18,24|,15
4|18,36|4,51
18|,36|18,25
18|,32|18,19
18|,25|,54
18|,3|18,31
18|,17|18,15
18|,13|,244
18|,2|18,138
18|,6|18,87
18|,22|18,27
18|,11|,81
18|,28|,85
18|,16|18,10
18|,0|,342
18|,37|18,19204
18|,5|,414
18|,4|18,15
18|,29|,1046
18|,20|,68
18|,34|,180
18|,33|18,11
18|,12|18,14
18|,15|,166
18|,8|18,10
18|,14|,521
18|,10|18,30
18|,19|,976
18|,31|18,24
18|,9|,416
18|,7|18,12
18|,26|18,32
18|,27|,75
18|,23|18,10
18|,21|18,79
18|,30|18,44
18|,24|18,11
6|36,36|6,19
6|36,34|6.36,13
6|36,37|,14
18|6,34|18.6,16
0|24,11|0.24,12
18|36.9,37|18.36,27
27|28,37|27,13
37|16,18|37.16,10
37|,7|37,14
37|,25|,15
37|,19|,11
37|,4|,11
37|,18|37,96
37|,17|,14
37|,24|,12
37|,9|,10
17|18.36,37|17,10
17|18.36,31|17,18
36|18.37.19,18|36.18.37.19,14
33|36.4,21|33,11
33|36.4,36|33,10
33|36.4,37|33,10
18|37.3,5|,12
18|37.3,37|18.37,62
18|37.3,14|,12
18|37.3,36|18,11
19|,36|19,161
19|,15|,12
19|,37|19,666
19|,24|,16
19|,29|,16
19|,18|19,15
6|,34|,221
6|,37|,123
